Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),DEPTH
AAVE_USDT,CHECKED,03:22:39,,CHECKED,10:15:13,,CHECKED,15:38:56,,$15.0K / $15.0K
AxCNH_USDT,CHECKED,03:22:39,A4:MEDIUM,CHECKED,10:15:13,A4:MEDIUM,CHECKED,15:38:56,A4:MEDIUM,$155 / $180
ADA_USDT,CHECKED,03:22:39,,CHECKED,10:15:13,,CHECKED,15:38:56,,$17.3K / $25.4K
ALGO_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BCH_USDT,CHECKED,03:22:39,,CHECKED,10:15:13,,CHECKED,15:38:56,,$10.6K / $14.2K
BNB_USDT,CHECKED,03:22:39,,CHECKED,10:15:13,,CHECKED,15:38:56,,$84.5K / $84.5K
BONK_USDT,CHECKED,03:22:39,A4:MEDIUM,CHECKED,10:15:13,A4:MEDIUM,CHECKED,15:38:56,,$5.0K / $5.6K
BTC_USDT,CHECKED,03:22:39,,CHECKED,10:15:13,,CHECKED,15:38:56,,$1.33M / $1.89M
CAKE_USDT,CHECKED,03:22:39,,CHECKED,10:15:13,,CHECKED,15:38:56,,$34.7K / $47.3K
CFX_USDT,CHECKED,03:22:39,,CHECKED,10:15:13,,CHECKED,15:38:56,,$18.0K / $19.9K
DASH_USDT,CHECKED,03:22:39,,CHECKED,10:15:13,,CHECKED,15:38:56,,$23.5K / $23.5K
DOT_USDT,CHECKED,03:22:39,,CHECKED,10:15:13,,CHECKED,15:38:56,,$11.3K / $12.6K
DOGE_USDT,CHECKED,03:22:39,,CHECKED,10:15:13,,CHECKED,15:38:56,,$15.7K / $18.5K
ETH_USDT,CHECKED,03:22:39,,CHECKED,10:15:13,,CHECKED,15:38:56,,$225.2K / $280.0K
FARTCOIN_USDT,CHECKED,03:22:39,,CHECKED,10:15:13,,CHECKED,15:38:56,,$17.1K / $23.4K
FLOKI_USDT,CHECKED,03:22:39,,SKIPPED,,,CHECKED,15:38:56,,$5.5K / $6.4K
HYPE_USDT,WARNING,03:22:39,A2:HIGH,WARNING,10:15:13,A2:HIGH,CHECKED,15:38:56,A2:HIGH,$26.8K / $36.7K
