Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),DEPTH
AAVE_USDT,CHECKED,02:10:27,,CHECKED,07:00:59,,$11.4K / $12.7K
AxCNH_USDT,CHECKED,02:10:27,A4:MEDIUM,CHECKED,07:00:59,A4:MEDIUM,$181 / $197
ADA_USDT,CHECKED,02:10:27,,CHECKED,07:00:59,,$35.6K / $46.2K
ALGO_USDT,SKIPPED,,,SKIPPED,,,
BCH_USDT,CHECKED,02:10:27,,CHECKED,07:00:59,,$9.2K / $12.4K
BNB_USDT,CHECKED,02:10:27,,CHECKED,07:00:59,,$76.2K / $76.2K
BONK_USDT,CHECKED,02:10:27,,CHECKED,07:00:59,A4:MEDIUM,$2.4K / $2.7K
BTC_USDT,CHECKED,02:10:27,,CHECKED,07:00:59,,$1.49M / $1.49M
CAKE_USDT,CHECKED,02:10:27,,CHECKED,07:00:59,,$39.7K / $54.4K
CFX_USDT,CHECKED,02:10:27,,CHECKED,07:00:59,,$24.1K / $26.3K
DASH_USDT,CHECKED,02:10:27,,CHECKED,07:00:59,,$34.6K / $38.3K
DOT_USDT,CHECKED,02:10:27,,CHECKED,07:00:59,,$14.2K / $15.1K
DOGE_USDT,CHECKED,02:10:27,,CHECKED,07:00:59,,$20.1K / $28.1K
ETH_USDT,CHECKED,02:10:27,,CHECKED,07:00:59,,$177.1K / $177.1K
FARTCOIN_USDT,CHECKED,02:10:27,,CHECKED,07:00:59,,$25.7K / $28.2K
FLOKI_USDT,CHECKED,02:10:27,,CHECKED,07:00:59,,$16.9K / $18.8K
HYPE_USDT,WARNING,02:10:27,A2:HIGH,CHECKED,07:00:59,A2:HIGH,$36.1K / $43.2K
LINK_USDT,CHECKED,02:10:27,,CHECKED,07:00:59,,$45.7K / $45.7K
LSK_USDT,CHECKED,02:10:27,A4:MEDIUM,CHECKED,07:00:59,A4:MEDIUM,$232 / $317
LTC_USDT,CHECKED,02:10:27,,CHECKED,07:00:59,,$51.9K / $51.9K
NEAR_USDT,SKIPPED,,,SKIPPED,,,
NOS_USDT,SKIPPED,,,SKIPPED,,,
PEPE_USDT,CHECKED,02:10:27,,CHECKED,07:00:59,,$32.5K / $42.0K
POL_USDT,CHECKED,02:10:27,,CHECKED,07:00:59,,$134.2K / $139.9K
RENDER_USDT,SKIPPED,,,SKIPPED,,,
Sonic_USDT,SKIPPED,,,SKIPPED,,,
SHIB_USDT,CHECKED,02:10:27,,CHECKED,07:00:59,,$40.5K / $43.5K
SLP_USDT,SKIPPED,,,SKIPPED,,,
SOL_USDT,CHECKED,02:10:27,,CHECKED,07:00:59,,$66.2K / $76.5K
STRK_USDT,SKIPPED,,,SKIPPED,,,
SUI_USDT,CHECKED,02:10:27,A4:MEDIUM,CHECKED,07:00:59,,$5.9K / $6.5K
TON_USDT,CHECKED,02:10:27,A4:MEDIUM,CHECKED,07:00:59,,$6.8K / $7.8K
TRX_USDT,CHECKED,02:10:27,,CHECKED,07:00:59,,$706.7K / $706.7K
USDC_USDT,CHECKED,02:10:27,,CHECKED,07:00:59,,$708.4K / $708.4K
WIF_USDT,SKIPPED,,,SKIPPED,,,
XLM_USDT,CHECKED,02:10:27,,CHECKED,07:00:59,,$76.8K / $76.8K
XRP_USDT,CHECKED,02:10:27,,CHECKED,07:00:59,,$50.2K / $50.2K
XYO_USDT,CHECKED,02:10:27,A4:MEDIUM,CHECKED,07:00:59,A4:MEDIUM,$1.4K / $2.2K
ZKSync_USDT,SKIPPED,,,SKIPPED,,,
BTC_NGN,CHECKED,02:10:27,,CHECKED,07:00:59,,$2630.76M / $2630.76M
USDT_NGN,CHECKED,02:10:27,A2:HIGH,CHECKED,07:00:59,A2:HIGH,$4529.36M / $5912.64M
ETH_NGN,CHECKED,02:10:27,,CHECKED,07:00:59,,$1438.74M / $1438.74M
TRX_NGN,CHECKED,02:10:27,,CHECKED,07:00:59,,$480.86M / $480.86M
XRP_NGN,CHECKED,02:10:27,,CHECKED,07:00:59,,$246.09M / $246.09M
DASH_NGN,CHECKED,02:10:27,,CHECKED,07:00:59,,$62.30M / $62.30M
LTC_NGN,CHECKED,02:10:27,,CHECKED,07:00:59,,$258.27M / $258.27M
SOL_NGN,CHECKED,02:10:27,,CHECKED,07:00:59,,$175.50M / $175.50M
USDC_NGN,CHECKED,02:10:27,A2:HIGH,CHECKED,07:00:59,A2:HIGH,$5415.43M / $5415.43M
USDT_GHS,CHECKED,02:10:27,,CHECKED,07:00:59,,$2.54M / $3.33M
