Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),DEPTH
AAVE_USDT,CHECKED,00:56:46,,CHECKED,03:48:26,,$12.9K / $12.9K
AxCNH_USDT,CHECKED,00:56:46,A4:MEDIUM,CHECKED,03:48:26,A4:MEDIUM,$269 / $322
ADA_USDT,CHECKED,00:56:46,,CHECKED,03:48:26,,$40.5K / $52.7K
ALGO_USDT,SKIPPED,,,SKIPPED,,,
BCH_USDT,WARNING,00:56:46,A2:HIGH|A4:MEDIUM,CHECKED,03:48:26,,$8.1K / $10.7K
BNB_USDT,CHECKED,00:56:46,,CHECKED,03:48:26,,$41.3K / $41.3K
BONK_USDT,CHECKED,00:56:46,A4:MEDIUM,CHECKED,03:48:26,A4:MEDIUM,$3.2K / $3.7K
BTC_USDT,CHECKED,00:56:46,,CHECKED,03:48:26,,$1.45M / $1.45M
CAKE_USDT,CHECKED,00:56:46,,CHECKED,03:48:26,,$15.8K / $23.0K
CFX_USDT,CHECKED,00:56:46,,CHECKED,03:48:26,,$20.7K / $22.9K
DASH_USDT,CHECKED,00:56:46,,CHECKED,03:48:26,,$22.5K / $26.0K
DOT_USDT,CHECKED,00:56:46,,CHECKED,03:48:26,,$14.6K / $15.6K
DOGE_USDT,CHECKED,00:56:46,,CHECKED,03:48:26,,$21.7K / $25.8K
ETH_USDT,CHECKED,00:56:46,,CHECKED,03:48:26,,$95.6K / $128.8K
FARTCOIN_USDT,CHECKED,00:56:46,,CHECKED,03:48:26,,$23.6K / $25.2K
FLOKI_USDT,CHECKED,00:56:46,,CHECKED,03:48:26,,$11.4K / $17.0K
HYPE_USDT,CHECKED,00:56:46,A2:HIGH,CHECKED,03:48:26,A2:HIGH|A4:MEDIUM,$4.7K / $4.7K
LINK_USDT,CHECKED,00:56:46,,CHECKED,03:48:26,,$36.2K / $44.7K
LSK_USDT,CHECKED,00:56:46,,CHECKED,03:48:26,,$6.7K / $9.4K
LTC_USDT,CHECKED,00:56:46,,CHECKED,03:48:26,,$103.9K / $103.9K
NEAR_USDT,SKIPPED,,,SKIPPED,,,
NOS_USDT,SKIPPED,,,SKIPPED,,,
PEPE_USDT,CHECKED,00:56:46,,CHECKED,03:48:26,,$26.8K / $34.2K
POL_USDT,CHECKED,00:56:46,,CHECKED,03:48:26,,$59.2K / $75.3K
RENDER_USDT,SKIPPED,,,SKIPPED,,,
Sonic_USDT,SKIPPED,,,SKIPPED,,,
SHIB_USDT,CHECKED,00:56:46,,CHECKED,03:48:26,,$42.7K / $42.7K
SLP_USDT,SKIPPED,,,SKIPPED,,,
SOL_USDT,CHECKED,00:56:46,,CHECKED,03:48:26,,$36.4K / $48.6K
STRK_USDT,SKIPPED,,,SKIPPED,,,
SUI_USDT,CHECKED,00:56:46,A4:MEDIUM,WARNING,03:48:26,A2:HIGH|A4:MEDIUM,$2.3K / $2.3K
TON_USDT,CHECKED,00:56:46,,CHECKED,03:48:26,A4:MEDIUM,$4.9K / $5.9K
TRX_USDT,CHECKED,00:56:46,,CHECKED,03:48:26,,$683.2K / $683.2K
USDC_USDT,CHECKED,00:56:46,,CHECKED,03:48:26,,$358.2K / $358.2K
WIF_USDT,SKIPPED,,,SKIPPED,,,
XLM_USDT,CHECKED,00:56:46,,CHECKED,03:48:26,,$86.8K / $86.8K
XRP_USDT,CHECKED,00:56:46,,CHECKED,03:48:26,,$92.8K / $92.8K
XYO_USDT,CHECKED,00:56:46,A4:MEDIUM,CHECKED,03:48:26,A4:MEDIUM,$1.2K / $1.6K
ZKSync_USDT,SKIPPED,,,SKIPPED,,,
BTC_NGN,CHECKED,00:56:46,,CHECKED,03:48:26,,$3691.63M / $3691.63M
USDT_NGN,CHECKED,00:56:46,A2:HIGH,CHECKED,03:48:26,A2:HIGH,$2237.59M / $6289.50M
ETH_NGN,CHECKED,00:56:46,,CHECKED,03:48:26,,$1737.54M / $1737.54M
TRX_NGN,CHECKED,00:56:46,,CHECKED,03:48:26,,$654.10M / $654.10M
XRP_NGN,CHECKED,00:56:46,,CHECKED,03:48:26,,$182.42M / $182.42M
DASH_NGN,CHECKED,00:56:46,,CHECKED,03:48:26,,$46.69M / $46.69M
LTC_NGN,CHECKED,00:56:46,,CHECKED,03:48:26,,$154.89M / $154.89M
SOL_NGN,CHECKED,00:56:46,,CHECKED,03:48:26,,$102.59M / $102.59M
USDC_NGN,CHECKED,00:56:46,,CHECKED,03:48:26,,$5135.52M / $5135.52M
USDT_GHS,CHECKED,00:56:46,,CHECKED,03:48:26,,$2.72M / $3.26M
