Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),DEPTH
AAVE_USDT,CHECKED,00:40:15,,CHECKED,05:54:50,,$23.7K / $23.7K
AxCNH_USDT,CHECKED,00:40:15,A4:MEDIUM,CHECKED,05:54:50,A4:MEDIUM,$301 / $331
ADA_USDT,CHECKED,00:40:15,,CHECKED,05:54:50,,$48.2K / $61.9K
ALGO_USDT,SKIPPED,,,SKIPPED,,,
BCH_USDT,CHECKED,00:40:15,,CHECKED,05:54:50,,$10.4K / $13.2K
BNB_USDT,CHECKED,00:40:15,,CHECKED,05:54:50,,$97.1K / $97.1K
BONK_USDT,CHECKED,00:40:15,,CHECKED,05:54:50,,$5.2K / $5.4K
BTC_USDT,CHECKED,00:40:15,,CHECKED,05:54:50,,$1.08M / $1.51M
CAKE_USDT,CHECKED,00:40:15,,CHECKED,05:54:50,,$47.4K / $63.3K
CFX_USDT,CHECKED,00:40:15,,CHECKED,05:54:50,,$24.3K / $27.0K
DASH_USDT,CHECKED,00:40:15,,CHECKED,05:54:50,,$55.1K / $60.8K
DOT_USDT,CHECKED,00:40:15,,CHECKED,05:54:50,,$14.3K / $14.3K
DOGE_USDT,CHECKED,00:40:15,,CHECKED,05:54:50,,$25.7K / $33.0K
ETH_USDT,CHECKED,00:40:15,,CHECKED,05:54:50,,$189.4K / $189.4K
FARTCOIN_USDT,CHECKED,00:40:15,,CHECKED,05:54:50,,$31.0K / $33.5K
FLOKI_USDT,CHECKED,00:40:15,,CHECKED,05:54:50,,$16.1K / $18.8K
HYPE_USDT,WARNING,00:40:15,A2:HIGH,WARNING,05:54:50,A2:HIGH,$52.1K / $65.3K
LINK_USDT,CHECKED,00:40:15,,CHECKED,05:54:50,,$45.0K / $45.0K
LSK_USDT,CHECKED,00:40:15,A4:MEDIUM,CHECKED,05:54:50,A4:MEDIUM,$278 / $351
LTC_USDT,CHECKED,00:40:15,,CHECKED,05:54:50,,$111.8K / $111.8K
NEAR_USDT,SKIPPED,,,SKIPPED,,,
NOS_USDT,SKIPPED,,,SKIPPED,,,
PEPE_USDT,CHECKED,00:40:15,,CHECKED,05:54:50,,$28.0K / $44.4K
POL_USDT,CHECKED,00:40:15,,CHECKED,05:54:50,,$145.0K / $145.0K
RENDER_USDT,SKIPPED,,,SKIPPED,,,
Sonic_USDT,SKIPPED,,,SKIPPED,,,
SHIB_USDT,CHECKED,00:40:15,,CHECKED,05:54:50,,$50.4K / $50.4K
SLP_USDT,SKIPPED,,,SKIPPED,,,
SOL_USDT,CHECKED,00:40:15,,CHECKED,05:54:50,,$92.5K / $128.1K
STRK_USDT,SKIPPED,,,SKIPPED,,,
SUI_USDT,CHECKED,00:40:15,,CHECKED,05:54:50,,$6.6K / $7.2K
TON_USDT,CHECKED,00:40:15,A4:MEDIUM,CHECKED,05:54:50,,$5.2K / $7.5K
TRX_USDT,CHECKED,00:40:15,,CHECKED,05:54:50,,$662.4K / $662.4K
USDC_USDT,CHECKED,00:40:15,,CHECKED,05:54:50,,$943.3K / $1.34M
WIF_USDT,SKIPPED,,,SKIPPED,,,
XLM_USDT,CHECKED,00:40:15,,CHECKED,05:54:50,,$127.4K / $127.4K
XRP_USDT,CHECKED,00:40:15,,CHECKED,05:54:50,,$117.5K / $117.5K
XYO_USDT,CHECKED,00:40:15,A4:MEDIUM,CHECKED,05:54:50,A4:MEDIUM,$1.6K / $2.0K
ZKSync_USDT,SKIPPED,,,SKIPPED,,,
BTC_NGN,CHECKED,00:40:15,,CHECKED,05:54:50,,$2153.16M / $2153.16M
USDT_NGN,CHECKED,00:40:15,A2:HIGH,CHECKED,05:54:50,A2:HIGH,$420.39M / $625.74M
ETH_NGN,CHECKED,00:40:15,,CHECKED,05:54:50,,$1659.77M / $1659.77M
TRX_NGN,CHECKED,00:40:15,,CHECKED,05:54:50,,$780.63M / $780.63M
XRP_NGN,CHECKED,00:40:15,,CHECKED,05:54:50,,$256.85M / $256.85M
DASH_NGN,CHECKED,00:40:15,,CHECKED,05:54:50,,$80.17M / $80.17M
LTC_NGN,CHECKED,00:40:15,,CHECKED,05:54:50,,$228.48M / $228.48M
SOL_NGN,CHECKED,00:40:15,,CHECKED,05:54:50,,$157.31M / $157.31M
USDC_NGN,CHECKED,00:40:15,A2:HIGH,CHECKED,05:54:50,,$5810.02M / $5810.02M
USDT_GHS,CHECKED,00:40:15,,CHECKED,05:54:50,,$4.36M / $6.00M
