Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),ISSUES (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),ISSUES (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),ISSUES (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),ISSUES (CHECK 10),STATUS (CHECK 11),TIME (CHECK 11),ISSUES (CHECK 11),DEPTH
AAVE_USDT,CHECKED,00:12:01,,CHECKED,01:07:08,,CHECKED,04:07:54,,CHECKED,06:14:54,,CHECKED,07:52:51,,CHECKED,09:45:52,,CHECKED,11:33:05,A2:HIGH,SKIPPED,,,CHECKED,14:53:56,A4:MEDIUM,CHECKED,16:15:28,,CHECKED,17:14:29,,$7.1K / $7.1K
AxCNH_USDT,CHECKED,00:12:01,A4:MEDIUM,CHECKED,01:07:08,A4:MEDIUM,CHECKED,04:07:54,A4:MEDIUM,CHECKED,06:14:54,A4:MEDIUM,CHECKED,07:52:51,A4:MEDIUM,CHECKED,09:45:52,A4:MEDIUM,CHECKED,11:33:05,A4:MEDIUM,CHECKED,13:06:50,A4:MEDIUM,CHECKED,14:53:56,A4:MEDIUM,CHECKED,16:15:28,A4:MEDIUM,CHECKED,17:14:29,A4:MEDIUM,$234 / $276
ADA_USDT,CHECKED,00:12:01,,WARNING,01:07:08,A2:HIGH,CHECKED,04:07:54,,CHECKED,06:14:54,,CHECKED,07:52:51,,CHECKED,09:45:52,,CHECKED,11:33:05,,CHECKED,13:06:50,,CHECKED,14:53:56,,CHECKED,16:15:28,,CHECKED,17:14:29,,$25.8K / $31.4K
ALGO_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BCH_USDT,CHECKED,00:12:01,,CHECKED,01:07:08,A4:MEDIUM,CHECKED,04:07:54,,CHECKED,06:14:54,,CHECKED,07:52:51,,CHECKED,09:45:52,A4:MEDIUM,CHECKED,11:33:05,,CHECKED,13:06:50,,CHECKED,14:53:56,A4:MEDIUM,CHECKED,16:15:28,A4:MEDIUM,CHECKED,17:14:29,,$9.2K / $11.5K
BNB_USDT,CHECKED,00:12:01,,CHECKED,01:07:08,,CHECKED,04:07:54,,CHECKED,06:14:54,,CHECKED,07:52:51,,CHECKED,09:45:52,,CHECKED,11:33:05,,CHECKED,13:06:50,,CHECKED,14:53:56,,CHECKED,16:15:28,,CHECKED,17:14:29,,$67.1K / $67.1K
BONK_USDT,CHECKED,00:12:01,A4:MEDIUM,CHECKED,01:07:08,A4:MEDIUM,CHECKED,04:07:54,A4:MEDIUM,CHECKED,06:14:54,A4:MEDIUM,CHECKED,07:52:51,A4:MEDIUM,CHECKED,09:45:52,A4:MEDIUM,CHECKED,11:33:05,A4:MEDIUM,SKIPPED,,,CHECKED,14:53:56,A4:MEDIUM,CHECKED,16:15:28,A4:MEDIUM,CHECKED,17:14:29,A4:MEDIUM,$3.9K / $4.3K
BTC_USDT,CHECKED,00:12:01,,CHECKED,01:07:08,,CHECKED,04:07:54,,CHECKED,06:14:54,,CHECKED,07:52:51,,CHECKED,09:45:52,,CHECKED,11:33:05,,CHECKED,13:06:50,,CHECKED,14:53:56,,CHECKED,16:15:28,A2:HIGH,CHECKED,17:14:29,,$1.05M / $1.43M
CAKE_USDT,CHECKED,00:12:01,,CHECKED,01:07:08,,CHECKED,04:07:54,,CHECKED,06:14:54,,CHECKED,07:52:51,,CHECKED,09:45:52,,CHECKED,11:33:05,,CHECKED,13:06:50,,CHECKED,14:53:56,,CHECKED,16:15:28,,CHECKED,17:14:29,,$31.3K / $40.1K
CFX_USDT,CHECKED,00:12:01,,CHECKED,01:07:08,,CHECKED,04:07:54,,CHECKED,06:14:54,,CHECKED,07:52:51,,CHECKED,09:45:52,,CHECKED,11:33:05,,CHECKED,13:06:50,,CHECKED,14:53:56,,CHECKED,16:15:28,,CHECKED,17:14:29,,$23.9K / $26.3K
DASH_USDT,CHECKED,00:12:01,,CHECKED,01:07:08,,CHECKED,04:07:54,,CHECKED,06:14:54,,CHECKED,07:52:51,,CHECKED,09:45:52,,CHECKED,11:33:05,,CHECKED,13:06:50,,CHECKED,14:53:56,,CHECKED,16:15:28,,CHECKED,17:14:29,,$19.7K / $22.0K
DOT_USDT,CHECKED,00:12:01,,CHECKED,01:07:08,,CHECKED,04:07:54,,CHECKED,06:14:54,,CHECKED,07:52:51,,CHECKED,09:45:52,,CHECKED,11:33:05,A2:HIGH,CHECKED,13:06:50,,CHECKED,14:53:56,,CHECKED,16:15:28,,CHECKED,17:14:29,,$9.9K / $12.4K
DOGE_USDT,CHECKED,00:12:01,,CHECKED,01:07:08,,CHECKED,04:07:54,,CHECKED,06:14:54,,CHECKED,07:52:51,,CHECKED,09:45:52,,CHECKED,11:33:05,,CHECKED,13:06:50,,CHECKED,14:53:56,,CHECKED,16:15:28,,CHECKED,17:14:29,,$12.4K / $14.9K
ETH_USDT,CHECKED,00:12:01,,CHECKED,01:07:08,,CHECKED,04:07:54,,CHECKED,06:14:54,,CHECKED,07:52:51,,CHECKED,09:45:52,,CHECKED,11:33:05,,CHECKED,13:06:50,,CHECKED,14:53:56,,CHECKED,16:15:28,,CHECKED,17:14:29,,$140.1K / $140.1K
FARTCOIN_USDT,CHECKED,00:12:01,,CHECKED,01:07:08,,CHECKED,04:07:54,,CHECKED,06:14:54,,CHECKED,07:52:51,,CHECKED,09:45:52,,CHECKED,11:33:05,,CHECKED,13:06:50,,CHECKED,14:53:56,,CHECKED,16:15:28,,CHECKED,17:14:29,,$28.0K / $30.6K
FLOKI_USDT,CHECKED,00:12:01,,CHECKED,01:07:08,,CHECKED,04:07:54,,CHECKED,06:14:54,,CHECKED,07:52:51,,CHECKED,09:45:52,,CHECKED,11:33:05,,CHECKED,13:06:50,,CHECKED,14:53:56,,CHECKED,16:15:28,,CHECKED,17:14:29,,$15.7K / $17.6K
