Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),DEPTH
AAVE_USDT,CHECKED,00:20:35,,CHECKED,01:16:14,,CHECKED,04:57:55,,$7.9K / $7.9K
AxCNH_USDT,CHECKED,00:20:35,A4:MEDIUM,CHECKED,01:16:14,A4:MEDIUM,SKIPPED,,,$159 / $170
ADA_USDT,CHECKED,00:20:35,,CHECKED,01:16:14,,CHECKED,04:57:55,,$20.8K / $28.4K
ALGO_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BCH_USDT,CHECKED,00:20:35,,CHECKED,01:16:14,,SKIPPED,,,$7.1K / $8.5K
BNB_USDT,CHECKED,00:20:35,,CHECKED,01:16:14,,CHECKED,04:57:55,,$33.7K / $33.7K
BONK_USDT,CHECKED,00:20:35,,CHECKED,01:16:14,A4:MEDIUM,CHECKED,04:57:55,A4:MEDIUM,$3.6K / $3.7K
BTC_USDT,CHECKED,00:20:35,,CHECKED,01:16:14,A2:HIGH,CHECKED,04:57:55,,$1.36M / $1.36M
CAKE_USDT,CHECKED,00:20:35,,CHECKED,01:16:14,,CHECKED,04:57:55,,$40.5K / $54.9K
CFX_USDT,CHECKED,00:20:35,,CHECKED,01:16:14,,CHECKED,04:57:55,,$22.2K / $24.3K
DASH_USDT,CHECKED,00:20:35,,CHECKED,01:16:14,,CHECKED,04:57:55,,$16.9K / $19.7K
DOT_USDT,CHECKED,00:20:35,,CHECKED,01:16:14,,SKIPPED,,,$8.3K / $9.8K
DOGE_USDT,CHECKED,00:20:35,,CHECKED,01:16:14,,CHECKED,04:57:55,,$14.0K / $17.2K
ETH_USDT,CHECKED,00:20:35,,CHECKED,01:16:14,,CHECKED,04:57:55,,$95.1K / $152.6K
FARTCOIN_USDT,CHECKED,00:20:35,,CHECKED,01:16:14,,CHECKED,04:57:55,,$22.6K / $23.5K
FLOKI_USDT,CHECKED,00:20:35,,CHECKED,01:16:14,,CHECKED,04:57:55,,$14.3K / $17.0K
HYPE_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
LINK_USDT,CHECKED,00:20:35,,CHECKED,01:16:14,,CHECKED,04:57:55,,$41.0K / $42.3K
LSK_USDT,CHECKED,00:20:35,,CHECKED,01:16:14,,CHECKED,04:57:55,,$8.6K / $10.8K
LTC_USDT,CHECKED,00:20:35,,CHECKED,01:16:14,,CHECKED,04:57:55,,$89.3K / $89.3K
NEAR_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
NOS_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
PEPE_USDT,CHECKED,00:20:35,,CHECKED,01:16:14,,SKIPPED,,,$16.6K / $20.3K
POL_USDT,CHECKED,00:20:35,,CHECKED,01:16:14,,CHECKED,04:57:55,,$81.9K / $101.7K
RENDER_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
Sonic_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SHIB_USDT,CHECKED,00:20:35,,CHECKED,01:16:14,,CHECKED,04:57:55,,$30.4K / $30.4K
SLP_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SOL_USDT,CHECKED,00:20:35,,CHECKED,01:16:14,,CHECKED,04:57:55,,$36.6K / $45.1K
STRK_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SUI_USDT,CHECKED,00:20:35,,CHECKED,01:16:14,A4:MEDIUM,CHECKED,04:57:55,A4:MEDIUM,$3.1K / $3.3K
TON_USDT,CHECKED,00:20:35,A4:MEDIUM,CHECKED,01:16:14,,CHECKED,04:57:55,A4:MEDIUM,$3.5K / $4.3K
TRX_USDT,CHECKED,00:20:35,,CHECKED,01:16:14,,CHECKED,04:57:55,,$385.8K / $385.8K
USDC_USDT,CHECKED,00:20:35,,CHECKED,01:16:14,,CHECKED,04:57:55,,$344.4K / $494.5K
WIF_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
XLM_USDT,CHECKED,00:20:35,,CHECKED,01:16:14,,CHECKED,04:57:55,,$70.0K / $70.0K
XRP_USDT,CHECKED,00:20:35,,CHECKED,01:16:14,,SKIPPED,,,$89.8K / $89.8K
XYO_USDT,CHECKED,00:20:35,A4:MEDIUM,CHECKED,01:16:14,A4:MEDIUM,CHECKED,04:57:55,A4:MEDIUM,$1.5K / $1.7K
ZKSync_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BTC_NGN,CHECKED,00:20:35,,CHECKED,01:16:14,,CHECKED,04:57:55,,$4068.43M / $4068.43M
USDT_NGN,CHECKED,00:20:35,A2:HIGH,CHECKED,01:16:14,A2:HIGH,CHECKED,04:57:55,A2:HIGH,$3149.11M / $3149.11M
