Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),ISSUES (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),ISSUES (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),ISSUES (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),ISSUES (CHECK 10),DEPTH
AAVE_USDT,CHECKED,00:22:17,,CHECKED,01:20:19,A4:MEDIUM,CHECKED,04:55:02,,CHECKED,07:46:07,,CHECKED,10:46:21,,CHECKED,13:04:07,,CHECKED,15:48:43,,CHECKED,17:57:50,,CHECKED,19:55:48,,CHECKED,21:44:18,,$8.0K / $8.0K
AxCNH_USDT,CHECKED,00:22:17,A4:MEDIUM,CHECKED,01:20:19,A4:MEDIUM,CHECKED,04:55:02,A4:MEDIUM,CHECKED,07:46:07,A4:MEDIUM,CHECKED,10:46:21,A4:MEDIUM,CHECKED,13:04:07,A4:MEDIUM,CHECKED,15:48:43,A4:MEDIUM,CHECKED,17:57:50,A4:MEDIUM,CHECKED,19:55:48,A4:MEDIUM,CHECKED,21:44:18,A4:MEDIUM,$202 / $220
ADA_USDT,CHECKED,00:22:17,,CHECKED,01:20:19,,CHECKED,04:55:02,,CHECKED,07:46:07,,WARNING,10:46:21,A2:HIGH,CHECKED,13:04:07,,CHECKED,15:48:43,,CHECKED,17:57:50,,CHECKED,19:55:48,,CHECKED,21:44:18,,$15.9K / $21.1K
ALGO_USDT,CHECKED,00:22:17,,CHECKED,01:20:19,,WARNING,04:55:02,A2:HIGH|A2:HIGH,CHECKED,07:46:07,,CHECKED,10:46:21,,CHECKED,13:04:07,,CHECKED,15:48:43,,CHECKED,17:57:50,,CHECKED,19:55:48,,CHECKED,21:44:18,,$18.3K / $20.3K
BCH_USDT,CHECKED,00:22:17,,WARNING,01:20:19,A2:HIGH|A2:HIGH,CHECKED,04:55:02,,CHECKED,07:46:07,,CHECKED,10:46:21,,CHECKED,13:04:07,,CHECKED,15:48:43,,CHECKED,17:57:50,A4:MEDIUM,CHECKED,19:55:48,,CHECKED,21:44:18,,$7.8K / $9.3K
BNB_USDT,CHECKED,00:22:17,,CHECKED,01:20:19,,CHECKED,04:55:02,,CHECKED,07:46:07,,CHECKED,10:46:21,,CHECKED,13:04:07,,CHECKED,15:48:43,,CHECKED,17:57:50,,CHECKED,19:55:48,,CHECKED,21:44:18,,$33.7K / $33.7K
BONK_USDT,CHECKED,00:22:17,,CHECKED,01:20:19,,CHECKED,04:55:02,,CHECKED,07:46:07,,CHECKED,10:46:21,A4:MEDIUM,CHECKED,13:04:07,A4:MEDIUM,CHECKED,15:48:43,A4:MEDIUM,CHECKED,17:57:50,A4:MEDIUM,CHECKED,19:55:48,,CHECKED,21:44:18,,$6.6K / $7.4K
BTC_USDT,CHECKED,00:22:17,,CHECKED,01:20:19,,CHECKED,04:55:02,,CHECKED,07:46:07,,CHECKED,10:46:21,,CHECKED,13:04:07,,CHECKED,15:48:43,A2:HIGH,CHECKED,17:57:50,,CHECKED,19:55:48,,CHECKED,21:44:18,,$846.0K / $1.19M
CAKE_USDT,CHECKED,00:22:17,,CHECKED,01:20:19,,CHECKED,04:55:02,,CHECKED,07:46:07,,CHECKED,10:46:21,,CHECKED,13:04:07,,CHECKED,15:48:43,,CHECKED,17:57:50,,CHECKED,19:55:48,,CHECKED,21:44:18,,$24.1K / $29.5K
CFX_USDT,WARNING,00:22:17,A2:HIGH|A2:HIGH,CHECKED,01:20:19,,CHECKED,04:55:02,,CHECKED,07:46:07,,CHECKED,10:46:21,,CHECKED,13:04:07,,CHECKED,15:48:43,,WARNING,17:57:50,A2:HIGH|A2:HIGH,CHECKED,19:55:48,,CHECKED,21:44:18,,$19.1K / $22.1K
