Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),DEPTH
AAVE_USDT,CHECKED,02:37:53,,SKIPPED,,,CHECKED,08:51:45,,$8.2K / $8.2K
AxCNH_USDT,CHECKED,02:37:53,A4:MEDIUM,CHECKED,07:37:03,A4:MEDIUM,CHECKED,08:51:45,A4:MEDIUM,$241 / $256
ADA_USDT,CHECKED,02:37:53,,CHECKED,07:37:03,,CHECKED,08:51:45,,$19.2K / $25.7K
ALGO_USDT,CHECKED,02:37:53,,CHECKED,07:37:03,,CHECKED,08:51:45,,$38.9K / $42.6K
BCH_USDT,CHECKED,02:37:53,,CHECKED,07:37:03,,SKIPPED,,,$5.2K / $7.3K
BNB_USDT,CHECKED,02:37:53,,CHECKED,07:37:03,,SKIPPED,,,$37.5K / $37.5K
BONK_USDT,CHECKED,02:37:53,,CHECKED,07:37:03,,CHECKED,08:51:45,,$7.1K / $7.9K
BTC_USDT,CHECKED,02:37:53,,CHECKED,07:37:03,,CHECKED,08:51:45,,$1.44M / $1.44M
CAKE_USDT,CHECKED,02:37:53,,CHECKED,07:37:03,,CHECKED,08:51:45,,$35.4K / $50.4K
CFX_USDT,CHECKED,02:37:53,,CHECKED,07:37:03,,CHECKED,08:51:45,,$22.2K / $24.3K
DASH_USDT,CHECKED,02:37:53,,CHECKED,07:37:03,,CHECKED,08:51:45,,$28.5K / $31.3K
DOT_USDT,CHECKED,02:37:53,,CHECKED,07:37:03,,SKIPPED,,,$10.0K / $12.5K
DOGE_USDT,CHECKED,02:37:53,,CHECKED,07:37:03,,CHECKED,08:51:45,,$21.8K / $27.1K
ETH_USDT,CHECKED,02:37:53,,CHECKED,07:37:03,,CHECKED,08:51:45,,$107.2K / $107.2K
FARTCOIN_USDT,SKIPPED,,,CHECKED,07:37:03,,CHECKED,08:51:45,,$21.8K / $24.2K
FLOKI_USDT,CHECKED,02:37:53,,CHECKED,07:37:03,,CHECKED,08:51:45,,$11.8K / $13.8K
HYPE_USDT,WARNING,02:37:53,A2:HIGH|A4:MEDIUM,WARNING,07:37:03,A2:HIGH|A4:MEDIUM,WARNING,08:51:45,A2:HIGH|A4:MEDIUM,$592 / $1.1K
LINK_USDT,CHECKED,02:37:53,,CHECKED,07:37:03,,SKIPPED,,,$37.2K / $46.2K
LSK_USDT,CHECKED,02:37:53,,CHECKED,07:37:03,,CHECKED,08:51:45,,$10.1K / $12.6K
LTC_USDT,CHECKED,02:37:53,,CHECKED,07:37:03,,SKIPPED,,,$82.9K / $82.9K
NEAR_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
NOS_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
PEPE_USDT,CHECKED,02:37:53,,CHECKED,07:37:03,,CHECKED,08:51:45,,$12.0K / $18.4K
POL_USDT,CHECKED,02:37:53,,CHECKED,07:37:03,,CHECKED,08:51:45,,$81.8K / $95.4K
RENDER_USDT,CHECKED,02:37:53,,CHECKED,07:37:03,,SKIPPED,,,$9.0K / $9.9K
Sonic_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SHIB_USDT,CHECKED,02:37:53,,CHECKED,07:37:03,,SKIPPED,,,$35.7K / $35.7K
SLP_USDT,CHECKED,02:37:53,A4:MEDIUM,CHECKED,07:37:03,,CHECKED,08:51:45,,$7.6K / $8.3K
SOL_USDT,CHECKED,02:37:53,,CHECKED,07:37:03,,SKIPPED,,,$40.7K / $49.4K
STRK_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SUI_USDT,CHECKED,02:37:53,A4:MEDIUM,CHECKED,07:37:03,A4:MEDIUM,SKIPPED,,,$3.9K / $3.9K
TON_USDT,CHECKED,02:37:53,,CHECKED,07:37:03,A4:MEDIUM,CHECKED,08:51:45,,$5.0K / $6.6K
TRX_USDT,CHECKED,02:37:53,,CHECKED,07:37:03,,CHECKED,08:51:45,,$645.5K / $645.5K
USDC_USDT,CHECKED,02:37:53,,CHECKED,07:37:03,,CHECKED,08:51:45,,$1.72M / $2.52M
WIF_USDT,CHECKED,02:37:53,A4:MEDIUM,WARNING,07:37:03,A3:CRITICAL|A2:HIGH,CHECKED,08:51:45,A4:MEDIUM,$4.1K / $4.8K
XLM_USDT,CHECKED,02:37:53,,CHECKED,07:37:03,,CHECKED,08:51:45,,$121.1K / $121.1K
XRP_USDT,CHECKED,02:37:53,,CHECKED,07:37:03,,CHECKED,08:51:45,,$81.2K / $81.2K
XYO_USDT,CHECKED,02:37:53,A4:MEDIUM,CHECKED,07:37:03,,CHECKED,08:51:45,A4:MEDIUM,$1.6K / $2.1K
ZKSync_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BTC_NGN,CHECKED,02:37:53,,CHECKED,07:37:03,,CHECKED,08:51:45,,$1921.25M / $1921.25M
USDT_NGN,CHECKED,02:37:53,,SKIPPED,,,CHECKED,08:51:45,A2:HIGH,$22.59M / $22.59M
ETH_NGN,CHECKED,02:37:53,,CHECKED,07:37:03,,CHECKED,08:51:45,,$995.65M / $995.65M
TRX_NGN,CHECKED,02:37:53,,CHECKED,07:37:03,,CHECKED,08:51:45,,$478.90M / $478.90M
