Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),DEPTH
AAVE_USDT,CHECKED,01:17:11,,SKIPPED,,,CHECKED,11:11:02,,CHECKED,20:09:52,,CHECKED,23:24:41,,$13.7K / $13.7K
AxCNH_USDT,SKIPPED,,,CHECKED,06:14:21,A4:MEDIUM,CHECKED,11:11:02,A4:MEDIUM,CHECKED,20:09:52,A4:MEDIUM,CHECKED,23:24:41,A4:MEDIUM,$216 / $261
ADA_USDT,CHECKED,01:17:11,,SKIPPED,,,CHECKED,11:11:02,,CHECKED,20:09:52,,CHECKED,23:24:41,,$28.8K / $43.3K
ALGO_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BCH_USDT,CHECKED,01:17:11,,CHECKED,06:14:21,A4:MEDIUM,CHECKED,11:11:02,,CHECKED,20:09:52,,CHECKED,23:24:41,A2:HIGH|A4:MEDIUM,$1.3K / $1.3K
BNB_USDT,CHECKED,01:17:11,,CHECKED,06:14:21,,CHECKED,11:11:02,,CHECKED,20:09:52,,SKIPPED,,,$53.9K / $53.9K
BONK_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BTC_USDT,SKIPPED,,,CHECKED,06:14:21,,CHECKED,11:11:02,,CHECKED,20:09:52,,SKIPPED,,,$1.24M / $1.86M
CAKE_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
CFX_USDT,CHECKED,01:17:11,,SKIPPED,,,CHECKED,11:11:02,,CHECKED,20:09:52,,CHECKED,23:24:41,,$7.4K / $8.9K
DASH_USDT,CHECKED,01:17:11,,CHECKED,06:14:21,,CHECKED,11:11:02,,CHECKED,20:09:52,,CHECKED,23:24:41,,$15.2K / $16.0K
DOT_USDT,CHECKED,01:17:11,,CHECKED,06:14:21,,CHECKED,11:11:02,,CHECKED,20:09:52,,CHECKED,23:24:41,,$14.6K / $16.3K
DOGE_USDT,CHECKED,01:17:11,,CHECKED,06:14:21,,CHECKED,11:11:02,,CHECKED,20:09:52,,CHECKED,23:24:41,,$13.6K / $18.5K
ETH_USDT,CHECKED,01:17:11,,CHECKED,06:14:21,,CHECKED,11:11:02,,CHECKED,20:09:52,,CHECKED,23:24:41,,$138.7K / $185.2K
FARTCOIN_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
FLOKI_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
HYPE_USDT,CHECKED,01:17:11,,WARNING,06:14:21,A2:HIGH,CHECKED,11:11:02,A2:HIGH,WARNING,20:09:52,A2:HIGH,WARNING,23:24:41,A2:HIGH,$20.8K / $25.4K
LINK_USDT,CHECKED,01:17:11,,CHECKED,06:14:21,,CHECKED,11:11:02,,CHECKED,20:09:52,,CHECKED,23:24:41,,$22.5K / $28.5K
LSK_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
LTC_USDT,CHECKED,01:17:11,,CHECKED,06:14:21,,CHECKED,11:11:02,,CHECKED,20:09:52,,CHECKED,23:24:41,,$105.5K / $105.5K
NEAR_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
NOS_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
PEPE_USDT,CHECKED,01:17:11,,CHECKED,06:14:21,,CHECKED,11:11:02,,CHECKED,20:09:52,,CHECKED,23:24:41,,$40.4K / $46.7K
POL_USDT,CHECKED,01:17:11,,CHECKED,06:14:21,,CHECKED,11:11:02,,CHECKED,20:09:52,,CHECKED,23:24:41,,$76.6K / $76.6K
RENDER_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
Sonic_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SHIB_USDT,CHECKED,01:17:11,,CHECKED,06:14:21,,CHECKED,11:11:02,,CHECKED,20:09:52,,CHECKED,23:24:41,,$25.1K / $25.1K
SLP_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SOL_USDT,SKIPPED,,,CHECKED,06:14:21,,SKIPPED,,,CHECKED,20:09:52,,CHECKED,23:24:41,,$66.0K / $87.0K
STRK_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SUI_USDT,CHECKED,01:17:11,A4:MEDIUM,CHECKED,06:14:21,,CHECKED,11:11:02,,CHECKED,20:09:52,,CHECKED,23:24:41,A4:MEDIUM,$642 / $642
TON_USDT,CHECKED,01:17:11,A4:MEDIUM,CHECKED,06:14:21,A4:MEDIUM,CHECKED,11:11:02,,CHECKED,20:09:52,A4:MEDIUM,CHECKED,23:24:41,,$7.8K / $8.9K
TRX_USDT,CHECKED,01:17:11,,CHECKED,06:14:21,,SKIPPED,,,CHECKED,20:09:52,,CHECKED,23:24:41,,$407.4K / $407.4K
USDC_USDT,CHECKED,01:17:11,,CHECKED,06:14:21,,CHECKED,11:11:02,,CHECKED,20:09:52,,CHECKED,23:24:41,,$558.4K / $735.3K
WIF_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
XLM_USDT,SKIPPED,,,CHECKED,06:14:21,,CHECKED,11:11:02,,CHECKED,20:09:52,,CHECKED,23:24:41,,$66.2K / $66.2K
XRP_USDT,SKIPPED,,,CHECKED,06:14:21,,CHECKED,11:11:02,,CHECKED,20:09:52,,CHECKED,23:24:41,,$65.4K / $65.4K
XYO_USDT,WARNING,01:17:11,A2:HIGH|A4:MEDIUM,CHECKED,06:14:21,A4:MEDIUM,CHECKED,11:11:02,A4:MEDIUM,CHECKED,20:09:52,A4:MEDIUM,CHECKED,23:24:41,A4:MEDIUM,$756 / $1.0K
ZKSync_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BTC_NGN,CHECKED,01:17:11,,CHECKED,06:14:21,,CHECKED,11:11:02,,CHECKED,20:09:52,,CHECKED,23:24:41,,$2406.66M / $2406.66M
USDT_NGN,CHECKED,01:17:11,A2:HIGH,CHECKED,06:14:21,A2:HIGH,CHECKED,11:11:02,A2:HIGH,CHECKED,20:09:52,A2:HIGH,CHECKED,23:24:41,A2:HIGH,$472.82M / $1144.52M
ETH_NGN,SKIPPED,,,CHECKED,06:14:21,,CHECKED,11:11:02,,CHECKED,20:09:52,,CHECKED,23:24:41,,$2255.83M / $2255.83M
TRX_NGN,CHECKED,01:17:11,,CHECKED,06:14:21,,CHECKED,11:11:02,,CHECKED,20:09:52,,CHECKED,23:24:41,,$504.66M / $504.66M
XRP_NGN,CHECKED,01:17:11,,CHECKED,06:14:21,,CHECKED,11:11:02,,CHECKED,20:09:52,,SKIPPED,,,$155.34M / $155.34M
DASH_NGN,CHECKED,01:17:11,,CHECKED,06:14:21,,CHECKED,11:11:02,,CHECKED,20:09:52,,CHECKED,23:24:41,,$39.90M / $44.93M
LTC_NGN,CHECKED,01:17:11,,CHECKED,06:14:21,,CHECKED,11:11:02,,CHECKED,20:09:52,,CHECKED,23:24:41,,$173.06M / $173.06M
SOL_NGN,CHECKED,01:17:11,,CHECKED,06:14:21,,CHECKED,11:11:02,,CHECKED,20:09:52,,CHECKED,23:24:41,,$198.51M / $198.51M
USDC_NGN,CHECKED,01:17:11,A2:HIGH,CHECKED,06:14:21,A2:HIGH,CHECKED,11:11:02,A2:HIGH,CHECKED,20:09:52,A2:HIGH,CHECKED,23:24:41,,$2853.17M / $2853.31M
USDT_GHS,CHECKED,01:17:11,,CHECKED,06:14:21,,CHECKED,11:11:02,,CHECKED,20:09:52,,CHECKED,23:24:41,,$4.63M / $6.13M
