Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),DEPTH
AAVE_USDT,CHECKED,02:48:29,,CHECKED,08:49:59,,SKIPPED,,,WARNING,15:05:38,A3:CRITICAL|A2:HIGH,CHECKED,17:48:32,,CHECKED,19:36:25,,$19.9K / $19.9K
AxCNH_USDT,CHECKED,02:48:29,A4:MEDIUM,CHECKED,08:49:59,A4:MEDIUM,CHECKED,08:57:30,A4:MEDIUM,WARNING,15:05:38,A3:CRITICAL|A2:HIGH,CHECKED,17:48:32,A4:MEDIUM,CHECKED,19:36:25,A4:MEDIUM,$125 / $125
ADA_USDT,CHECKED,02:48:29,,SKIPPED,,,CHECKED,08:57:30,,WARNING,15:05:38,A3:CRITICAL|A2:HIGH,CHECKED,17:48:32,,SKIPPED,,,$76.2K / $117.7K
ALGO_USDT,CHECKED,02:48:29,,CHECKED,08:49:59,,SKIPPED,,,SKIPPED,,,CHECKED,17:48:32,,CHECKED,19:36:25,,$23.0K / $26.2K
BCH_USDT,SKIPPED,,,SKIPPED,,,CHECKED,08:57:30,,SKIPPED,,,SKIPPED,,,SKIPPED,,,$84.7K / $128.5K
BNB_USDT,CHECKED,02:48:29,,SKIPPED,,,CHECKED,08:57:30,,CHECKED,15:05:38,,CHECKED,17:48:32,,SKIPPED,,,$40.8K / $40.8K
BONK_USDT,SKIPPED,,,CHECKED,08:49:59,A4:MEDIUM,CHECKED,08:57:30,A4:MEDIUM,CHECKED,15:05:38,A4:MEDIUM,CHECKED,17:48:32,,CHECKED,19:36:25,A4:MEDIUM,$4.0K / $4.3K
BTC_USDT,CHECKED,02:48:29,,CHECKED,08:49:59,,CHECKED,08:57:30,,CHECKED,15:05:38,,CHECKED,17:48:32,,CHECKED,19:36:25,,$650.7K / $866.8K
CAKE_USDT,CHECKED,02:48:29,,CHECKED,08:49:59,,CHECKED,08:57:30,,CHECKED,15:05:38,A2:HIGH|A4:MEDIUM,CHECKED,17:48:32,,CHECKED,19:36:25,,$8.3K / $12.5K
CFX_USDT,CHECKED,02:48:29,,CHECKED,08:49:59,,CHECKED,08:57:30,,CHECKED,15:05:38,,CHECKED,17:48:32,,SKIPPED,,,$21.2K / $21.9K
DASH_USDT,CHECKED,02:48:29,,CHECKED,08:49:59,,CHECKED,08:57:30,,CHECKED,15:05:38,,CHECKED,17:48:32,,CHECKED,19:36:25,,$14.3K / $15.5K
DOT_USDT,CHECKED,02:48:29,,CHECKED,08:49:59,,CHECKED,08:57:30,,SKIPPED,,,CHECKED,17:48:32,,CHECKED,19:36:25,,$8.9K / $19.1K
DOGE_USDT,CHECKED,02:48:29,,CHECKED,08:49:59,,CHECKED,08:57:30,,WARNING,15:05:38,A3:CRITICAL|A2:HIGH,SKIPPED,,,SKIPPED,,,$0 / $0
ETH_USDT,CHECKED,02:48:29,,SKIPPED,,,SKIPPED,,,CHECKED,15:05:38,,SKIPPED,,,CHECKED,19:36:25,,$86.4K / $111.7K
FARTCOIN_USDT,CHECKED,02:48:29,,CHECKED,08:49:59,,WARNING,08:57:30,A2:HIGH|A2:HIGH,CHECKED,15:05:38,,CHECKED,17:48:32,,SKIPPED,,,$10.7K / $11.7K
FLOKI_USDT,CHECKED,02:48:29,,CHECKED,08:49:59,,CHECKED,08:57:30,,SKIPPED,,,CHECKED,17:48:32,,CHECKED,19:36:25,,$10.6K / $15.9K
HYPE_USDT,CHECKED,02:48:29,,CHECKED,08:49:59,A4:MEDIUM,SKIPPED,,,SKIPPED,,,WARNING,17:48:32,A2:HIGH|A4:MEDIUM,CHECKED,19:36:25,A2:HIGH|A4:MEDIUM,$1.3K / $1.8K
LINK_USDT,CHECKED,02:48:29,,CHECKED,08:49:59,,CHECKED,08:57:30,,WARNING,15:05:38,A3:CRITICAL|A2:HIGH|A2:HIGH,CHECKED,17:48:32,,CHECKED,19:36:25,,$74.8K / $74.8K
LSK_USDT,CHECKED,02:48:29,,CHECKED,08:49:59,,CHECKED,08:57:30,A4:MEDIUM,CHECKED,15:05:38,A4:MEDIUM,CHECKED,17:48:32,,SKIPPED,,,$8.7K / $11.5K
LTC_USDT,CHECKED,02:48:29,,CHECKED,08:49:59,,CHECKED,08:57:30,,SKIPPED,,,CHECKED,17:48:32,,SKIPPED,,,$78.7K / $78.7K
NEAR_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
