Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),DEPTH
AAVE_USDT,CHECKED,02:29:56,,CHECKED,08:11:05,,$10.2K / $10.2K
AxCNH_USDT,CHECKED,02:29:56,A4:MEDIUM,CHECKED,08:11:05,A4:MEDIUM,$155 / $177
ADA_USDT,CHECKED,02:29:56,,CHECKED,08:11:05,,$22.5K / $27.7K
ALGO_USDT,SKIPPED,,,SKIPPED,,,
BCH_USDT,CHECKED,02:29:56,,WARNING,08:11:05,A2:HIGH|A2:HIGH,$5.3K / $6.0K
BNB_USDT,CHECKED,02:29:56,,CHECKED,08:11:05,,$45.2K / $45.2K
BONK_USDT,CHECKED,02:29:56,A4:MEDIUM,CHECKED,08:11:05,A4:MEDIUM,$4.1K / $4.4K
BTC_USDT,CHECKED,02:29:56,,CHECKED,08:11:05,,$959.5K / $1.24M
CAKE_USDT,CHECKED,02:29:56,,CHECKED,08:11:05,,$22.1K / $26.8K
CFX_USDT,CHECKED,02:29:56,,CHECKED,08:11:05,,$15.5K / $16.7K
DASH_USDT,CHECKED,02:29:56,,SKIPPED,,,$19.3K / $21.2K
DOT_USDT,CHECKED,02:29:56,,CHECKED,08:11:05,,$5.5K / $6.5K
DOGE_USDT,CHECKED,02:29:56,,CHECKED,08:11:05,,$10.6K / $14.0K
ETH_USDT,CHECKED,02:29:56,,CHECKED,08:11:05,,$142.9K / $154.2K
FARTCOIN_USDT,CHECKED,02:29:56,,CHECKED,08:11:05,,$15.8K / $16.3K
FLOKI_USDT,CHECKED,02:29:56,,CHECKED,08:11:05,,$6.7K / $8.1K
HYPE_USDT,WARNING,02:29:56,A2:HIGH,CHECKED,08:11:05,A2:HIGH,$40.6K / $44.3K
LINK_USDT,CHECKED,02:29:56,,CHECKED,08:11:05,,$39.9K / $39.9K
LSK_USDT,CHECKED,02:29:56,A4:MEDIUM,CHECKED,08:11:05,A4:MEDIUM,$236 / $339
LTC_USDT,CHECKED,02:29:56,,CHECKED,08:11:05,,$34.6K / $50.1K
NEAR_USDT,SKIPPED,,,SKIPPED,,,
NOS_USDT,SKIPPED,,,SKIPPED,,,
PEPE_USDT,CHECKED,02:29:56,,CHECKED,08:11:05,,$15.7K / $19.8K
POL_USDT,CHECKED,02:29:56,,CHECKED,08:11:05,,$71.0K / $105.3K
RENDER_USDT,SKIPPED,,,SKIPPED,,,
Sonic_USDT,SKIPPED,,,SKIPPED,,,
SHIB_USDT,CHECKED,02:29:56,,CHECKED,08:11:05,,$23.9K / $23.9K
SLP_USDT,SKIPPED,,,SKIPPED,,,
SOL_USDT,WARNING,02:29:56,A2:HIGH,CHECKED,08:11:05,,$38.5K / $48.4K
STRK_USDT,SKIPPED,,,SKIPPED,,,
SUI_USDT,CHECKED,02:29:56,A4:MEDIUM,CHECKED,08:11:05,A4:MEDIUM,$3.9K / $4.6K
TON_USDT,CHECKED,02:29:56,A4:MEDIUM,CHECKED,08:11:05,A4:MEDIUM,$2.4K / $3.0K
TRX_USDT,CHECKED,02:29:56,,CHECKED,08:11:05,,$432.3K / $432.3K
USDC_USDT,CHECKED,02:29:56,,CHECKED,08:11:05,,$468.3K / $700.9K
WIF_USDT,SKIPPED,,,SKIPPED,,,
XLM_USDT,CHECKED,02:29:56,,CHECKED,08:11:05,A2:HIGH,$36.3K / $36.3K
XRP_USDT,CHECKED,02:29:56,,CHECKED,08:11:05,,$85.7K / $85.7K
XYO_USDT,CHECKED,02:29:56,A4:MEDIUM,CHECKED,08:11:05,A4:MEDIUM,$1.1K / $1.5K
ZKSync_USDT,SKIPPED,,,SKIPPED,,,
BTC_NGN,CHECKED,02:29:56,,CHECKED,08:11:05,,$2359.99M / $2359.99M
USDT_NGN,CHECKED,02:29:56,A2:HIGH,CHECKED,08:11:05,A2:HIGH,$512.99M / $676.09M
ETH_NGN,CHECKED,02:29:56,,CHECKED,08:11:05,,$1391.86M / $1391.86M
TRX_NGN,CHECKED,02:29:56,,CHECKED,08:11:05,,$531.12M / $531.12M
XRP_NGN,CHECKED,02:29:56,,CHECKED,08:11:05,,$115.17M / $115.17M
DASH_NGN,CHECKED,02:29:56,,CHECKED,08:11:05,,$31.65M / $31.65M
LTC_NGN,CHECKED,02:29:56,,CHECKED,08:11:05,,$257.16M / $257.16M
SOL_NGN,CHECKED,02:29:56,,CHECKED,08:11:05,,$181.85M / $181.85M
USDC_NGN,CHECKED,02:29:56,A2:HIGH,CHECKED,08:11:05,A2:HIGH,$778.76M / $1951.55M
USDT_GHS,CHECKED,02:29:56,,CHECKED,08:11:05,,$2.45M / $3.24M
