Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),DEPTH
AAVE_USDT,CHECKED,00:07:29,,SKIPPED,,,SKIPPED,,,CHECKED,14:41:40,,CHECKED,19:26:52,,$11.4K / $12.0K
AxCNH_USDT,CHECKED,00:07:29,A4:MEDIUM,SKIPPED,,,CHECKED,08:53:41,A4:MEDIUM,CHECKED,14:41:40,A4:MEDIUM,SKIPPED,,,$174 / $197
ADA_USDT,CHECKED,00:07:29,,SKIPPED,,,CHECKED,08:53:41,A2:HIGH,CHECKED,14:41:40,,WARNING,19:26:52,A2:HIGH,$67.1K / $82.4K
ALGO_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BCH_USDT,CHECKED,00:07:29,A4:MEDIUM,SKIPPED,,,WARNING,08:53:41,A2:HIGH|A2:HIGH|A4:MEDIUM,SKIPPED,,,CHECKED,19:26:52,A4:MEDIUM,$4.4K / $5.7K
BNB_USDT,CHECKED,00:07:29,,SKIPPED,,,CHECKED,08:53:41,A2:HIGH,CHECKED,14:41:40,,CHECKED,19:26:52,,$47.2K / $47.2K
BONK_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BTC_USDT,CHECKED,00:07:29,,SKIPPED,,,CHECKED,08:53:41,,SKIPPED,,,CHECKED,19:26:52,,$1.37M / $1.54M
CAKE_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
CFX_USDT,CHECKED,00:07:29,,SKIPPED,,,CHECKED,08:53:41,,CHECKED,14:41:40,,CHECKED,19:26:52,,$6.8K / $8.9K
DASH_USDT,CHECKED,00:07:29,,SKIPPED,,,CHECKED,08:53:41,,CHECKED,14:41:40,,CHECKED,19:26:52,,$26.4K / $31.0K
DOT_USDT,CHECKED,00:07:29,,SKIPPED,,,CHECKED,08:53:41,,CHECKED,14:41:40,A2:HIGH,CHECKED,19:26:52,,$13.1K / $13.1K
DOGE_USDT,CHECKED,00:07:29,,SKIPPED,,,CHECKED,08:53:41,,CHECKED,14:41:40,,CHECKED,19:26:52,,$10.2K / $14.3K
ETH_USDT,CHECKED,00:07:29,,SKIPPED,,,CHECKED,08:53:41,,CHECKED,14:41:40,,CHECKED,19:26:52,,$194.0K / $194.0K
FARTCOIN_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
FLOKI_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
HYPE_USDT,CHECKED,00:07:29,A2:HIGH,SKIPPED,,,CHECKED,08:53:41,A2:HIGH,SKIPPED,,,CHECKED,19:26:52,A2:HIGH,$15.9K / $20.6K
LINK_USDT,CHECKED,00:07:29,,SKIPPED,,,CHECKED,08:53:41,,SKIPPED,,,CHECKED,19:26:52,,$48.6K / $48.6K
LSK_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
LTC_USDT,CHECKED,00:07:29,,SKIPPED,,,CHECKED,08:53:41,,CHECKED,14:41:40,,CHECKED,19:26:52,,$59.2K / $66.6K
NEAR_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
NOS_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
PEPE_USDT,CHECKED,00:07:29,,SKIPPED,,,CHECKED,08:53:41,,SKIPPED,,,CHECKED,19:26:52,,$13.2K / $20.0K
POL_USDT,CHECKED,00:07:29,,SKIPPED,,,CHECKED,08:53:41,,CHECKED,14:41:40,,CHECKED,19:26:52,,$81.0K / $81.0K
RENDER_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
Sonic_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SHIB_USDT,CHECKED,00:07:29,,SKIPPED,,,CHECKED,08:53:41,,CHECKED,14:41:40,,CHECKED,19:26:52,,$19.9K / $20.8K
SLP_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SOL_USDT,CHECKED,00:07:29,,SKIPPED,,,CHECKED,08:53:41,,CHECKED,14:41:40,A2:HIGH,CHECKED,19:26:52,,$56.0K / $71.9K
STRK_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SUI_USDT,CHECKED,00:07:29,,SKIPPED,,,CHECKED,08:53:41,A4:MEDIUM,CHECKED,14:41:40,A4:MEDIUM,CHECKED,19:26:52,A4:MEDIUM,$3.1K / $3.4K
TON_USDT,CHECKED,00:07:29,A4:MEDIUM,SKIPPED,,,CHECKED,08:53:41,A4:MEDIUM,CHECKED,14:41:40,,SKIPPED,,,$6.0K / $6.9K
TRX_USDT,CHECKED,00:07:29,,SKIPPED,,,CHECKED,08:53:41,,CHECKED,14:41:40,,CHECKED,19:26:52,,$349.4K / $349.4K
USDC_USDT,CHECKED,00:07:29,,SKIPPED,,,CHECKED,08:53:41,,CHECKED,14:41:40,,CHECKED,19:26:52,,$490.1K / $673.8K
WIF_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
XLM_USDT,CHECKED,00:07:29,,SKIPPED,,,CHECKED,08:53:41,,CHECKED,14:41:40,,CHECKED,19:26:52,,$130.5K / $130.5K
XRP_USDT,CHECKED,00:07:29,,SKIPPED,,,CHECKED,08:53:41,,CHECKED,14:41:40,,CHECKED,19:26:52,,$90.5K / $90.5K
XYO_USDT,CHECKED,00:07:29,A4:MEDIUM,SKIPPED,,,SKIPPED,,,CHECKED,14:41:40,A4:MEDIUM,CHECKED,19:26:52,A4:MEDIUM,$990 / $1.2K
ZKSync_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BTC_NGN,CHECKED,00:07:29,,SKIPPED,,,CHECKED,08:53:41,,CHECKED,14:41:40,,CHECKED,19:26:52,,$1998.91M / $1998.91M
USDT_NGN,CHECKED,00:07:29,A2:HIGH,SKIPPED,,,CHECKED,08:53:41,A2:HIGH,CHECKED,14:41:40,A2:HIGH,CHECKED,19:26:52,A2:HIGH,$932.37M / $1233.87M
ETH_NGN,CHECKED,00:07:29,,SKIPPED,,,CHECKED,08:53:41,,CHECKED,14:41:40,,CHECKED,19:26:52,,$1557.29M / $1557.29M
TRX_NGN,CHECKED,00:07:29,,SKIPPED,,,CHECKED,08:53:41,,CHECKED,14:41:40,,CHECKED,19:26:52,,$509.02M / $509.02M
XRP_NGN,CHECKED,00:07:29,,SKIPPED,,,CHECKED,08:53:41,,CHECKED,14:41:40,,CHECKED,19:26:52,,$106.18M / $106.18M
DASH_NGN,CHECKED,00:07:29,,SKIPPED,,,CHECKED,08:53:41,,CHECKED,14:41:40,,CHECKED,19:26:52,,$51.67M / $53.99M
LTC_NGN,CHECKED,00:07:29,,SKIPPED,,,CHECKED,08:53:41,,SKIPPED,,,CHECKED,19:26:52,,$173.61M / $173.61M
SOL_NGN,CHECKED,00:07:29,,SKIPPED,,,CHECKED,08:53:41,,CHECKED,14:41:40,,CHECKED,19:26:52,,$203.99M / $203.99M
USDC_NGN,SKIPPED,,,SKIPPED,,,CHECKED,08:53:41,,CHECKED,14:41:40,,CHECKED,19:26:52,,$3206.30M / $3206.30M
USDT_GHS,CHECKED,00:07:29,,SKIPPED,,,CHECKED,08:53:41,,CHECKED,14:41:40,,CHECKED,19:26:52,,$4.87M / $4.87M
