Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),ISSUES (CHECK 7),DEPTH
AAVE_USDT,CHECKED,02:16:28,,CHECKED,06:15:49,,CHECKED,09:51:05,,CHECKED,13:17:07,,CHECKED,17:26:39,,CHECKED,18:32:45,,CHECKED,21:23:03,,$7.0K / $7.0K
AxCNH_USDT,CHECKED,02:16:28,A4:MEDIUM,CHECKED,06:15:49,A4:MEDIUM,CHECKED,09:51:05,A4:MEDIUM,CHECKED,13:17:07,A4:MEDIUM,CHECKED,17:26:39,A4:MEDIUM,CHECKED,18:32:45,A4:MEDIUM,CHECKED,21:23:03,A4:MEDIUM,$209 / $209
ADA_USDT,CHECKED,02:16:28,,WARNING,06:15:49,A3:CRITICAL|A2:HIGH|A2:HIGH,CHECKED,09:51:05,,CHECKED,13:17:07,,CHECKED,17:26:39,,CHECKED,18:32:45,,CHECKED,21:23:03,,$19.2K / $23.1K
ALGO_USDT,CHECKED,02:16:28,,CHECKED,06:15:49,,CHECKED,09:51:05,,CHECKED,13:17:07,,CHECKED,17:26:39,,CHECKED,18:32:45,,WARNING,21:23:03,A2:HIGH,$17.9K / $17.9K
BCH_USDT,CHECKED,02:16:28,,CHECKED,06:15:49,A4:MEDIUM,CHECKED,09:51:05,A4:MEDIUM,CHECKED,13:17:07,,CHECKED,17:26:39,,CHECKED,18:32:45,,WARNING,21:23:03,A2:HIGH,$8.8K / $10.2K
BNB_USDT,CHECKED,02:16:28,,CHECKED,06:15:49,,CHECKED,09:51:05,,CHECKED,13:17:07,,CHECKED,17:26:39,,CHECKED,18:32:45,,CHECKED,21:23:03,,$48.6K / $48.6K
BONK_USDT,CHECKED,02:16:28,,WARNING,06:15:49,A2:HIGH,CHECKED,09:51:05,A4:MEDIUM,CHECKED,13:17:07,,CHECKED,17:26:39,,CHECKED,18:32:45,,CHECKED,21:23:03,A4:MEDIUM,$3.7K / $4.1K
BTC_USDT,CHECKED,02:16:28,,CHECKED,06:15:49,,CHECKED,09:51:05,,CHECKED,13:17:07,,CHECKED,17:26:39,,CHECKED,18:32:45,,CHECKED,21:23:03,,$1.02M / $1.39M
CAKE_USDT,CHECKED,02:16:28,,CHECKED,06:15:49,,CHECKED,09:51:05,,CHECKED,13:17:07,,CHECKED,17:26:39,,CHECKED,18:32:45,,CHECKED,21:23:03,,$23.6K / $32.6K
CFX_USDT,CHECKED,02:16:28,,CHECKED,06:15:49,,CHECKED,09:51:05,,CHECKED,13:17:07,,CHECKED,17:26:39,,CHECKED,18:32:45,,CHECKED,21:23:03,,$10.3K / $11.7K
DASH_USDT,CHECKED,02:16:28,,CHECKED,06:15:49,,CHECKED,09:51:05,,CHECKED,13:17:07,,WARNING,17:26:39,A3:CRITICAL|A2:HIGH,WARNING,18:32:45,A2:HIGH|A4:MEDIUM,CHECKED,21:23:03,,$20.1K / $21.2K
DOT_USDT,CHECKED,02:16:28,,CHECKED,06:15:49,,CHECKED,09:51:05,,CHECKED,13:17:07,,CHECKED,17:26:39,,CHECKED,18:32:45,A2:HIGH,CHECKED,21:23:03,,$5.4K / $7.1K
DOGE_USDT,CHECKED,02:16:28,,CHECKED,06:15:49,,CHECKED,09:51:05,,CHECKED,13:17:07,,CHECKED,17:26:39,,CHECKED,18:32:45,,CHECKED,21:23:03,,$10.1K / $11.8K
ETH_USDT,CHECKED,02:16:28,,CHECKED,06:15:49,,CHECKED,09:51:05,,CHECKED,13:17:07,,CHECKED,17:26:39,,CHECKED,18:32:45,,CHECKED,21:23:03,,$69.8K / $83.6K
FARTCOIN_USDT,CHECKED,02:16:28,,CHECKED,06:15:49,,CHECKED,09:51:05,,CHECKED,13:17:07,,CHECKED,17:26:39,,CHECKED,18:32:45,,CHECKED,21:23:03,,$17.1K / $19.2K
FLOKI_USDT,CHECKED,02:16:28,,CHECKED,06:15:49,,CHECKED,09:51:05,,CHECKED,13:17:07,,CHECKED,17:26:39,,WARNING,18:32:45,A2:HIGH,CHECKED,21:23:03,,$9.4K / $11.2K
HYPE_USDT,WARNING,02:16:28,A2:HIGH|A4:MEDIUM,CHECKED,06:15:49,A2:HIGH|A4:MEDIUM,CHECKED,09:51:05,A2:HIGH|A4:MEDIUM,WARNING,13:17:07,A2:HIGH|A4:MEDIUM,CHECKED,17:26:39,A2:HIGH|A4:MEDIUM,CHECKED,18:32:45,A4:MEDIUM,WARNING,21:23:03,A2:HIGH|A4:MEDIUM,$646 / $1.0K
LINK_USDT,CHECKED,02:16:28,,CHECKED,06:15:49,,CHECKED,09:51:05,,CHECKED,13:17:07,,CHECKED,17:26:39,,CHECKED,18:32:45,,CHECKED,21:23:03,,$20.0K / $23.2K
LSK_USDT,CHECKED,02:16:28,,CHECKED,06:15:49,,CHECKED,09:51:05,,CHECKED,13:17:07,,CHECKED,17:26:39,,CHECKED,18:32:45,A4:MEDIUM,CHECKED,21:23:03,,$8.1K / $11.1K
LTC_USDT,CHECKED,02:16:28,,CHECKED,06:15:49,,CHECKED,09:51:05,,CHECKED,13:17:07,,CHECKED,17:26:39,,CHECKED,18:32:45,,CHECKED,21:23:03,A2:HIGH,$34.1K / $34.1K
NEAR_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
NOS_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
PEPE_USDT,CHECKED,02:16:28,,CHECKED,06:15:49,,CHECKED,09:51:05,,CHECKED,13:17:07,,WARNING,17:26:39,A2:HIGH,CHECKED,18:32:45,,CHECKED,21:23:03,,$12.8K / $15.3K
POL_USDT,CHECKED,02:16:28,,CHECKED,06:15:49,,CHECKED,09:51:05,,CHECKED,13:17:07,,CHECKED,17:26:39,,CHECKED,18:32:45,,CHECKED,21:23:03,,$82.4K / $125.2K
RENDER_USDT,CHECKED,02:16:28,A4:MEDIUM,CHECKED,06:15:49,,CHECKED,09:51:05,,CHECKED,13:17:07,,CHECKED,17:26:39,,CHECKED,18:32:45,,CHECKED,21:23:03,A4:MEDIUM,$4.9K / $5.4K
Sonic_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SHIB_USDT,CHECKED,02:16:28,,CHECKED,06:15:49,,CHECKED,09:51:05,,CHECKED,13:17:07,,CHECKED,17:26:39,,CHECKED,18:32:45,,CHECKED,21:23:03,,$19.7K / $19.7K
SLP_USDT,CHECKED,02:16:28,,CHECKED,06:15:49,,CHECKED,09:51:05,,CHECKED,13:17:07,,CHECKED,17:26:39,A4:MEDIUM,CHECKED,18:32:45,,CHECKED,21:23:03,A4:MEDIUM,$3.9K / $4.3K
SOL_USDT,CHECKED,02:16:28,A2:HIGH,CHECKED,06:15:49,,CHECKED,09:51:05,,CHECKED,13:17:07,,CHECKED,17:26:39,,CHECKED,18:32:45,,CHECKED,21:23:03,,$25.8K / $35.2K
STRK_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SUI_USDT,CHECKED,02:16:28,A4:MEDIUM,CHECKED,06:15:49,A4:MEDIUM,CHECKED,09:51:05,A4:MEDIUM,CHECKED,13:17:07,A4:MEDIUM,CHECKED,17:26:39,A4:MEDIUM,CHECKED,18:32:45,A4:MEDIUM,CHECKED,21:23:03,A4:MEDIUM,$3.6K / $3.6K
TON_USDT,CHECKED,02:16:28,,CHECKED,06:15:49,A4:MEDIUM,CHECKED,09:51:05,A4:MEDIUM,CHECKED,13:17:07,A4:MEDIUM,CHECKED,17:26:39,A2:HIGH|A4:MEDIUM,CHECKED,18:32:45,A4:MEDIUM,CHECKED,21:23:03,,$6.4K / $7.2K
TRX_USDT,CHECKED,02:16:28,,CHECKED,06:15:49,,CHECKED,09:51:05,,CHECKED,13:17:07,,CHECKED,17:26:39,,CHECKED,18:32:45,,CHECKED,21:23:03,,$410.1K / $410.1K
USDC_USDT,CHECKED,02:16:28,,CHECKED,06:15:49,,CHECKED,09:51:05,,CHECKED,13:17:07,,CHECKED,17:26:39,A2:HIGH,CHECKED,18:32:45,,CHECKED,21:23:03,,$567.4K / $567.4K
WIF_USDT,CHECKED,02:16:28,,CHECKED,06:15:49,A4:MEDIUM,CHECKED,09:51:05,A4:MEDIUM,CHECKED,13:17:07,A4:MEDIUM,CHECKED,17:26:39,A4:MEDIUM,CHECKED,18:32:45,,CHECKED,21:23:03,,$5.2K / $5.7K
XLM_USDT,CHECKED,02:16:28,,CHECKED,06:15:49,,CHECKED,09:51:05,,CHECKED,13:17:07,,CHECKED,17:26:39,,CHECKED,18:32:45,,WARNING,21:23:03,A2:HIGH,$46.0K / $46.0K
