Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),DEPTH
AAVE_USDT,CHECKED,01:09:24,,$20.6K / $22.5K
AxCNH_USDT,SKIPPED,,,
ADA_USDT,SKIPPED,,,
ALGO_USDT,CHECKED,01:09:24,,$47.7K / $56.9K
BCH_USDT,WARNING,01:09:24,A3:CRITICAL|A2:HIGH,$0 / $0
BNB_USDT,CHECKED,01:09:24,,$38.6K / $38.6K
BONK_USDT,SKIPPED,,,
BTC_USDT,SKIPPED,,,
CAKE_USDT,CHECKED,01:09:24,,$5.3K / $8.4K
CFX_USDT,SKIPPED,,,
DASH_USDT,CHECKED,01:09:24,,$28.5K / $31.7K
DOT_USDT,CHECKED,01:09:24,,$16.9K / $20.3K
DOGE_USDT,CHECKED,01:09:24,,$15.8K / $21.0K
ETH_USDT,SKIPPED,,,
FARTCOIN_USDT,SKIPPED,,,
FLOKI_USDT,SKIPPED,,,
HYPE_USDT,CHECKED,01:09:24,,$8.3K / $9.4K
LINK_USDT,CHECKED,01:09:24,,$72.5K / $152.0K
LSK_USDT,CHECKED,01:09:24,,$9.3K / $11.7K
LTC_USDT,CHECKED,01:09:24,,$45.8K / $45.8K
NEAR_USDT,SKIPPED,,,
NOS_USDT,SKIPPED,,,
PEPE_USDT,CHECKED,01:09:24,,$10.2K / $14.9K
POL_USDT,SKIPPED,,,
RENDER_USDT,SKIPPED,,,
Sonic_USDT,CHECKED,01:09:24,A4:MEDIUM,$3.8K / $4.0K
SHIB_USDT,CHECKED,01:09:24,A4:MEDIUM,$2.8K / $3.0K
SLP_USDT,CHECKED,01:09:24,,$7.9K / $8.5K
SOL_USDT,CHECKED,01:09:24,,$23.0K / $29.4K
STRK_USDT,CHECKED,01:09:24,A4:MEDIUM,$630 / $726
SUI_USDT,SKIPPED,,,
TON_USDT,CHECKED,01:09:24,A4:MEDIUM,$3.9K / $4.3K
TRX_USDT,CHECKED,01:09:24,,$381.5K / $381.5K
USDC_USDT,CHECKED,01:09:24,,$994.4K / $1.55M
WIF_USDT,SKIPPED,,,
XLM_USDT,CHECKED,01:09:24,A2:HIGH|A4:MEDIUM,$90 / $3.7K
XRP_USDT,CHECKED,01:09:24,,$111.8K / $111.8K
XYO_USDT,SKIPPED,,,
ZKSync_USDT,CHECKED,01:09:24,A4:MEDIUM,$2.2K / $2.6K
BTC_NGN,SKIPPED,,,
USDT_NGN,CHECKED,01:09:24,,$4526.64M / $4526.64M
ETH_NGN,CHECKED,01:09:24,,$1028.30M / $1028.30M
TRX_NGN,CHECKED,01:09:24,,$384.34M / $384.34M
XRP_NGN,CHECKED,01:09:24,,$180.59M / $180.59M
DASH_NGN,CHECKED,01:09:24,,$49.19M / $49.19M
LTC_NGN,SKIPPED,,,
SOL_NGN,SKIPPED,,,
USDC_NGN,CHECKED,01:09:24,,$4579.24M / $4579.24M
USDT_GHS,CHECKED,01:09:24,,$4.14M / $5.10M
