Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),ISSUES (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),ISSUES (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),ISSUES (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),ISSUES (CHECK 10),STATUS (CHECK 11),TIME (CHECK 11),ISSUES (CHECK 11),STATUS (CHECK 12),TIME (CHECK 12),ISSUES (CHECK 12),STATUS (CHECK 13),TIME (CHECK 13),ISSUES (CHECK 13),DEPTH
AAVE_USDT,CHECKED,00:19:18,,CHECKED,01:20:30,,CHECKED,04:48:11,,CHECKED,07:36:18,,CHECKED,10:28:52,,CHECKED,12:05:01,,CHECKED,13:43:51,,CHECKED,16:00:07,,CHECKED,17:42:02,,CHECKED,19:23:27,,CHECKED,20:41:55,,CHECKED,22:16:38,,CHECKED,23:14:19,,$9.0K / $9.0K
AxCNH_USDT,CHECKED,00:19:18,A4:MEDIUM,CHECKED,01:20:30,A4:MEDIUM,CHECKED,04:48:11,A4:MEDIUM,CHECKED,07:36:18,A4:MEDIUM,CHECKED,10:28:52,A4:MEDIUM,CHECKED,12:05:01,A4:MEDIUM,CHECKED,13:43:51,A4:MEDIUM,CHECKED,16:00:07,A4:MEDIUM,CHECKED,17:42:02,A4:MEDIUM,CHECKED,19:23:27,A4:MEDIUM,CHECKED,20:41:55,A4:MEDIUM,CHECKED,22:16:38,A4:MEDIUM,CHECKED,23:14:19,A4:MEDIUM,$117 / $131
ADA_USDT,CHECKED,00:19:18,,CHECKED,01:20:30,,CHECKED,04:48:11,,CHECKED,07:36:18,,CHECKED,10:28:52,,CHECKED,12:05:01,,CHECKED,13:43:51,,CHECKED,16:00:07,,CHECKED,17:42:02,,CHECKED,19:23:27,,CHECKED,20:41:55,,CHECKED,22:16:38,,CHECKED,23:14:19,,$15.4K / $19.8K
ALGO_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BCH_USDT,CHECKED,00:19:18,,CHECKED,01:20:30,,CHECKED,04:48:11,,CHECKED,07:36:18,A4:MEDIUM,CHECKED,10:28:52,,CHECKED,12:05:01,A4:MEDIUM,CHECKED,13:43:51,,CHECKED,16:00:07,,CHECKED,17:42:02,,CHECKED,19:23:27,A4:MEDIUM,CHECKED,20:41:55,,CHECKED,22:16:38,,CHECKED,23:14:19,A2:HIGH,$7.2K / $12.2K
BNB_USDT,CHECKED,00:19:18,,CHECKED,01:20:30,,CHECKED,04:48:11,,CHECKED,07:36:18,,CHECKED,10:28:52,,CHECKED,12:05:01,,CHECKED,13:43:51,,CHECKED,16:00:07,,CHECKED,17:42:02,,CHECKED,19:23:27,,CHECKED,20:41:55,,CHECKED,22:16:38,,CHECKED,23:14:19,,$38.7K / $38.7K
BONK_USDT,CHECKED,00:19:18,,CHECKED,01:20:30,A4:MEDIUM,CHECKED,04:48:11,A4:MEDIUM,CHECKED,07:36:18,A4:MEDIUM,CHECKED,10:28:52,,CHECKED,12:05:01,A4:MEDIUM,CHECKED,13:43:51,,CHECKED,16:00:07,,CHECKED,17:42:02,A4:MEDIUM,CHECKED,19:23:27,A4:MEDIUM,CHECKED,20:41:55,,CHECKED,22:16:38,A4:MEDIUM,CHECKED,23:14:19,,$5.5K / $6.5K
BTC_USDT,CHECKED,00:19:18,,CHECKED,01:20:30,,CHECKED,04:48:11,,CHECKED,07:36:18,A2:HIGH,CHECKED,10:28:52,,CHECKED,12:05:01,,CHECKED,13:43:51,,CHECKED,16:00:07,,CHECKED,17:42:02,,CHECKED,19:23:27,,CHECKED,20:41:55,,CHECKED,22:16:38,,CHECKED,23:14:19,,$1.08M / $1.29M
CAKE_USDT,CHECKED,00:19:18,,CHECKED,01:20:30,,CHECKED,04:48:11,,CHECKED,07:36:18,,CHECKED,10:28:52,,CHECKED,12:05:01,,CHECKED,13:43:51,,CHECKED,16:00:07,,CHECKED,17:42:02,,CHECKED,19:23:27,,CHECKED,20:41:55,,CHECKED,22:16:38,,CHECKED,23:14:19,,$18.3K / $27.4K
CFX_USDT,CHECKED,00:19:18,,CHECKED,01:20:30,,CHECKED,04:48:11,,CHECKED,07:36:18,,CHECKED,10:28:52,,WARNING,12:05:01,A2:HIGH,CHECKED,13:43:51,,CHECKED,16:00:07,,CHECKED,17:42:02,,CHECKED,19:23:27,,CHECKED,20:41:55,,CHECKED,22:16:38,,CHECKED,23:14:19,,$11.0K / $11.6K
DASH_USDT,CHECKED,00:19:18,,CHECKED,01:20:30,,CHECKED,04:48:11,,CHECKED,07:36:18,,CHECKED,10:28:52,,CHECKED,12:05:01,,CHECKED,13:43:51,,CHECKED,16:00:07,,CHECKED,17:42:02,,CHECKED,19:23:27,,CHECKED,20:41:55,,CHECKED,22:16:38,,CHECKED,23:14:19,,$24.5K / $26.8K
DOT_USDT,CHECKED,00:19:18,,CHECKED,01:20:30,,CHECKED,04:48:11,,CHECKED,07:36:18,A4:MEDIUM,CHECKED,10:28:52,,CHECKED,12:05:01,,CHECKED,13:43:51,,CHECKED,16:00:07,,CHECKED,17:42:02,,CHECKED,19:23:27,,CHECKED,20:41:55,,CHECKED,22:16:38,,CHECKED,23:14:19,,$7.1K / $8.1K
DOGE_USDT,CHECKED,00:19:18,,CHECKED,01:20:30,,CHECKED,04:48:11,,CHECKED,07:36:18,,CHECKED,10:28:52,,WARNING,12:05:01,A2:HIGH,CHECKED,13:43:51,,CHECKED,16:00:07,,CHECKED,17:42:02,,CHECKED,19:23:27,,CHECKED,20:41:55,,CHECKED,22:16:38,,CHECKED,23:14:19,,$8.5K / $10.4K
ETH_USDT,CHECKED,00:19:18,,CHECKED,01:20:30,,CHECKED,04:48:11,,CHECKED,07:36:18,,CHECKED,10:28:52,A2:HIGH,CHECKED,12:05:01,,CHECKED,13:43:51,,SKIPPED,,,CHECKED,17:42:02,,CHECKED,19:23:27,,CHECKED,20:41:55,,CHECKED,22:16:38,,CHECKED,23:14:19,,$113.8K / $134.9K
