Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),DEPTH
AAVE_USDT,CHECKED,01:18:30,,$8.4K / $8.4K
AxCNH_USDT,CHECKED,01:18:30,A4:MEDIUM,$253 / $280
ADA_USDT,CHECKED,01:18:30,,$34.2K / $43.3K
ALGO_USDT,SKIPPED,,,
BCH_USDT,CHECKED,01:18:30,,$7.1K / $10.0K
BNB_USDT,CHECKED,01:18:30,,$73.0K / $73.0K
BONK_USDT,CHECKED,01:18:30,,$5.3K / $5.8K
BTC_USDT,CHECKED,01:18:30,,$1.18M / $1.18M
CAKE_USDT,CHECKED,01:18:30,,$32.9K / $43.5K
CFX_USDT,CHECKED,01:18:30,,$20.7K / $23.0K
DASH_USDT,CHECKED,01:18:30,,$26.1K / $29.7K
DOT_USDT,CHECKED,01:18:30,,$12.3K / $14.5K
DOGE_USDT,CHECKED,01:18:30,,$7.4K / $10.0K
ETH_USDT,CHECKED,01:18:30,,$151.6K / $151.6K
FARTCOIN_USDT,CHECKED,01:18:30,,$19.7K / $22.9K
FLOKI_USDT,CHECKED,01:18:30,,$14.6K / $16.8K
HYPE_USDT,SKIPPED,,,
LINK_USDT,CHECKED,01:18:30,,$48.6K / $49.8K
LSK_USDT,CHECKED,01:18:30,,$8.5K / $10.7K
LTC_USDT,CHECKED,01:18:30,,$43.8K / $43.8K
NEAR_USDT,SKIPPED,,,
NOS_USDT,SKIPPED,,,
PEPE_USDT,CHECKED,01:18:30,,$25.7K / $35.0K
POL_USDT,CHECKED,01:18:30,,$74.3K / $94.1K
RENDER_USDT,SKIPPED,,,
Sonic_USDT,SKIPPED,,,
SHIB_USDT,CHECKED,01:18:30,,$22.5K / $22.5K
SLP_USDT,SKIPPED,,,
SOL_USDT,CHECKED,01:18:30,,$18.9K / $21.8K
STRK_USDT,SKIPPED,,,
SUI_USDT,CHECKED,01:18:30,,$5.3K / $5.9K
TON_USDT,CHECKED,01:18:30,,$6.0K / $7.4K
TRX_USDT,CHECKED,01:18:30,,$441.9K / $441.9K
USDC_USDT,CHECKED,01:18:30,,$916.4K / $1.42M
WIF_USDT,SKIPPED,,,
XLM_USDT,CHECKED,01:18:30,,$103.1K / $103.1K
XRP_USDT,CHECKED,01:18:30,,$71.2K / $71.2K
XYO_USDT,CHECKED,01:18:30,A2:HIGH|A4:MEDIUM,$73 / $73
ZKSync_USDT,SKIPPED,,,
BTC_NGN,CHECKED,01:18:30,,$1701.49M / $1701.49M
USDT_NGN,CHECKED,01:18:30,A2:HIGH,$315.82M / $646.14M
ETH_NGN,CHECKED,01:18:30,A2:HIGH,$415.42M / $501.14M
TRX_NGN,CHECKED,01:18:30,,$954.90M / $954.90M
XRP_NGN,CHECKED,01:18:30,,$158.18M / $158.18M
DASH_NGN,CHECKED,01:18:30,,$48.19M / $48.19M
LTC_NGN,CHECKED,01:18:30,,$257.97M / $257.97M
SOL_NGN,CHECKED,01:18:30,,$115.02M / $115.02M
USDC_NGN,CHECKED,01:18:30,A2:HIGH,$1644.73M / $2070.92M
USDT_GHS,CHECKED,01:18:30,,$2.92M / $3.55M
