Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),DEPTH
AAVE_USDT,CHECKED,00:23:34,,CHECKED,01:19:33,,$7.5K / $7.5K
AxCNH_USDT,CHECKED,00:23:34,A4:MEDIUM,CHECKED,01:19:33,A4:MEDIUM,$227 / $238
ADA_USDT,CHECKED,00:23:34,,CHECKED,01:19:33,,$31.7K / $36.2K
ALGO_USDT,SKIPPED,,,SKIPPED,,,
BCH_USDT,CHECKED,00:23:34,A4:MEDIUM,CHECKED,01:19:33,,$5.2K / $7.9K
BNB_USDT,CHECKED,00:23:34,,CHECKED,01:19:33,,$35.5K / $35.5K
BONK_USDT,CHECKED,00:23:34,A4:MEDIUM,CHECKED,01:19:33,,$5.1K / $5.6K
BTC_USDT,CHECKED,00:23:34,,CHECKED,01:19:33,,$1.40M / $1.43M
CAKE_USDT,CHECKED,00:23:34,,CHECKED,01:19:33,,$27.2K / $39.6K
CFX_USDT,CHECKED,00:23:34,,CHECKED,01:19:33,,$22.4K / $24.7K
DASH_USDT,CHECKED,00:23:34,,CHECKED,01:19:33,,$12.5K / $14.1K
DOT_USDT,CHECKED,00:23:34,,CHECKED,01:19:33,,$9.6K / $12.3K
DOGE_USDT,CHECKED,00:23:34,A4:MEDIUM,CHECKED,01:19:33,,$17.6K / $21.0K
ETH_USDT,CHECKED,00:23:34,,CHECKED,01:19:33,,$124.8K / $139.8K
FARTCOIN_USDT,CHECKED,00:23:34,,WARNING,01:19:33,A3:CRITICAL|A2:HIGH,$0 / $0
FLOKI_USDT,CHECKED,00:23:34,,CHECKED,01:19:33,,$8.6K / $9.5K
HYPE_USDT,SKIPPED,,,SKIPPED,,,
LINK_USDT,CHECKED,00:23:34,,CHECKED,01:19:33,,$22.9K / $25.2K
LSK_USDT,CHECKED,00:23:34,,CHECKED,01:19:33,,$7.1K / $9.2K
LTC_USDT,CHECKED,00:23:34,,CHECKED,01:19:33,,$54.6K / $54.6K
NEAR_USDT,SKIPPED,,,SKIPPED,,,
NOS_USDT,SKIPPED,,,SKIPPED,,,
PEPE_USDT,CHECKED,00:23:34,,CHECKED,01:19:33,,$20.3K / $26.9K
POL_USDT,CHECKED,00:23:34,,CHECKED,01:19:33,,$84.5K / $124.3K
RENDER_USDT,SKIPPED,,,SKIPPED,,,
Sonic_USDT,SKIPPED,,,SKIPPED,,,
SHIB_USDT,CHECKED,00:23:34,,CHECKED,01:19:33,,$19.6K / $20.4K
SLP_USDT,SKIPPED,,,SKIPPED,,,
SOL_USDT,CHECKED,00:23:34,,CHECKED,01:19:33,,$30.4K / $41.5K
STRK_USDT,SKIPPED,,,SKIPPED,,,
SUI_USDT,CHECKED,00:23:34,A4:MEDIUM,CHECKED,01:19:33,,$5.4K / $6.1K
TON_USDT,CHECKED,00:23:34,,CHECKED,01:19:33,A4:MEDIUM,$3.5K / $4.4K
TRX_USDT,CHECKED,00:23:34,,CHECKED,01:19:33,,$732.2K / $732.2K
USDC_USDT,CHECKED,00:23:34,,CHECKED,01:19:33,,$1.05M / $1.34M
WIF_USDT,SKIPPED,,,SKIPPED,,,
XLM_USDT,CHECKED,00:23:34,,CHECKED,01:19:33,,$99.9K / $99.9K
XRP_USDT,CHECKED,00:23:34,,CHECKED,01:19:33,,$87.2K / $87.2K
XYO_USDT,CHECKED,00:23:34,A4:MEDIUM,CHECKED,01:19:33,A4:MEDIUM,$1.4K / $1.8K
ZKSync_USDT,SKIPPED,,,SKIPPED,,,
BTC_NGN,CHECKED,00:23:34,,CHECKED,01:19:33,,$1978.64M / $1978.64M
USDT_NGN,CHECKED,00:23:34,,CHECKED,01:19:33,A2:HIGH,$4867.97M / $5194.22M
ETH_NGN,CHECKED,00:23:34,,CHECKED,01:19:33,,$1368.18M / $1368.18M
TRX_NGN,CHECKED,00:23:34,,CHECKED,01:19:33,,$781.75M / $781.75M
XRP_NGN,CHECKED,00:23:34,,CHECKED,01:19:33,,$94.34M / $94.34M
DASH_NGN,CHECKED,00:23:34,,CHECKED,01:19:33,,$46.75M / $46.75M
LTC_NGN,CHECKED,00:23:34,,CHECKED,01:19:33,,$260.83M / $260.83M
SOL_NGN,CHECKED,00:23:34,,CHECKED,01:19:33,,$220.49M / $220.49M
USDC_NGN,CHECKED,00:23:34,,CHECKED,01:19:33,,$5504.21M / $5504.21M
USDT_GHS,CHECKED,00:23:34,,WARNING,01:19:33,A2:HIGH,$2.22M / $2.22M
