Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),ISSUES (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),ISSUES (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),ISSUES (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),ISSUES (CHECK 10),STATUS (CHECK 11),TIME (CHECK 11),ISSUES (CHECK 11),STATUS (CHECK 12),TIME (CHECK 12),ISSUES (CHECK 12),STATUS (CHECK 13),TIME (CHECK 13),ISSUES (CHECK 13),STATUS (CHECK 14),TIME (CHECK 14),ISSUES (CHECK 14),STATUS (CHECK 15),TIME (CHECK 15),ISSUES (CHECK 15),DEPTH
AAVE_USDT,CHECKED,00:45:27,,CHECKED,03:05:18,,CHECKED,04:32:40,,CHECKED,06:10:55,,CHECKED,07:02:13,A2:HIGH,CHECKED,08:37:54,,CHECKED,10:13:12,,CHECKED,11:12:57,,CHECKED,12:02:27,,CHECKED,12:53:14,,CHECKED,14:24:00,,CHECKED,15:11:34,A2:HIGH,CHECKED,16:09:35,,CHECKED,17:04:57,,CHECKED,18:04:35,,$9.8K / $12.1K
AxCNH_USDT,CHECKED,00:45:27,A4:MEDIUM,CHECKED,03:05:18,A4:MEDIUM,CHECKED,04:32:40,A4:MEDIUM,CHECKED,06:10:55,A4:MEDIUM,CHECKED,07:02:13,A4:MEDIUM,CHECKED,08:37:54,A4:MEDIUM,CHECKED,10:13:12,A4:MEDIUM,CHECKED,11:12:57,A4:MEDIUM,CHECKED,12:02:27,A4:MEDIUM,CHECKED,12:53:14,A4:MEDIUM,CHECKED,14:24:00,A4:MEDIUM,CHECKED,15:11:34,A4:MEDIUM,CHECKED,16:09:35,A4:MEDIUM,CHECKED,17:04:57,A4:MEDIUM,CHECKED,18:04:35,A4:MEDIUM,$140 / $155
ADA_USDT,CHECKED,00:45:27,,CHECKED,03:05:18,,CHECKED,04:32:40,,CHECKED,06:10:55,,CHECKED,07:02:13,,CHECKED,08:37:54,,CHECKED,10:13:12,,CHECKED,11:12:57,,CHECKED,12:02:27,,CHECKED,12:53:14,,CHECKED,14:24:00,,CHECKED,15:11:34,,CHECKED,16:09:35,,CHECKED,17:04:57,,CHECKED,18:04:35,,$23.5K / $27.4K
ALGO_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BCH_USDT,CHECKED,00:45:27,,CHECKED,03:05:18,,CHECKED,04:32:40,A4:MEDIUM,CHECKED,06:10:55,,CHECKED,07:02:13,,CHECKED,08:37:54,,CHECKED,10:13:12,,WARNING,11:12:57,A2:HIGH,CHECKED,12:02:27,A4:MEDIUM,WARNING,12:53:14,A2:HIGH|A2:HIGH,CHECKED,14:24:00,,CHECKED,15:11:34,,CHECKED,16:09:35,,WARNING,17:04:57,A2:HIGH|A2:HIGH,CHECKED,18:04:35,,$6.3K / $8.6K
BNB_USDT,SKIPPED,,,CHECKED,03:05:18,,CHECKED,04:32:40,,CHECKED,06:10:55,,CHECKED,07:02:13,,CHECKED,08:37:54,,CHECKED,10:13:12,,CHECKED,11:12:57,,CHECKED,12:02:27,,CHECKED,12:53:14,,CHECKED,14:24:00,,CHECKED,15:11:34,,CHECKED,16:09:35,,CHECKED,17:04:57,,CHECKED,18:04:35,,$45.5K / $45.5K
BONK_USDT,CHECKED,00:45:27,A4:MEDIUM,CHECKED,03:05:18,A4:MEDIUM,CHECKED,04:32:40,A4:MEDIUM,CHECKED,06:10:55,A4:MEDIUM,CHECKED,07:02:13,A4:MEDIUM,CHECKED,08:37:54,A4:MEDIUM,CHECKED,10:13:12,A4:MEDIUM,CHECKED,11:12:57,A4:MEDIUM,CHECKED,12:02:27,A4:MEDIUM,CHECKED,12:53:14,A4:MEDIUM,CHECKED,14:24:00,A4:MEDIUM,CHECKED,15:11:34,A4:MEDIUM,CHECKED,16:09:35,A4:MEDIUM,CHECKED,17:04:57,A4:MEDIUM,CHECKED,18:04:35,A4:MEDIUM,$3.2K / $3.2K
BTC_USDT,CHECKED,00:45:27,,CHECKED,03:05:18,,CHECKED,04:32:40,,CHECKED,06:10:55,,CHECKED,07:02:13,,CHECKED,08:37:54,,CHECKED,10:13:12,A2:HIGH,CHECKED,11:12:57,,CHECKED,12:02:27,A2:HIGH,CHECKED,12:53:14,,CHECKED,14:24:00,,CHECKED,15:11:34,A2:HIGH,CHECKED,16:09:35,,CHECKED,17:04:57,,CHECKED,18:04:35,,$1.41M / $1.92M
CAKE_USDT,CHECKED,00:45:27,,CHECKED,03:05:18,,CHECKED,04:32:40,,CHECKED,06:10:55,,CHECKED,07:02:13,,CHECKED,08:37:54,,CHECKED,10:13:12,,WARNING,11:12:57,A2:HIGH,CHECKED,12:02:27,,CHECKED,12:53:14,,CHECKED,14:24:00,,CHECKED,15:11:34,,CHECKED,16:09:35,,CHECKED,17:04:57,,WARNING,18:04:35,A2:HIGH|A2:HIGH,$51.3K / $51.3K
CFX_USDT,CHECKED,00:45:27,,CHECKED,03:05:18,,CHECKED,04:32:40,,CHECKED,06:10:55,,CHECKED,07:02:13,,CHECKED,08:37:54,,CHECKED,10:13:12,,CHECKED,11:12:57,,CHECKED,12:02:27,,CHECKED,12:53:14,,CHECKED,14:24:00,,WARNING,15:11:34,A2:HIGH,CHECKED,16:09:35,,CHECKED,17:04:57,,CHECKED,18:04:35,,$12.7K / $13.3K
