Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),DEPTH
AAVE_USDT,CHECKED,01:45:57,,$12.0K / $12.0K
AxCNH_USDT,CHECKED,01:45:57,A4:MEDIUM,$297 / $340
ADA_USDT,CHECKED,01:45:57,,$34.2K / $47.1K
ALGO_USDT,SKIPPED,,,
BCH_USDT,CHECKED,01:45:57,,$8.3K / $12.0K
BNB_USDT,CHECKED,01:45:57,,$24.9K / $37.7K
BONK_USDT,CHECKED,01:45:57,A4:MEDIUM,$4.3K / $4.8K
BTC_USDT,CHECKED,01:45:57,,$2.36M / $3.20M
CAKE_USDT,CHECKED,01:45:57,,$30.4K / $39.7K
CFX_USDT,CHECKED,01:45:57,,$7.0K / $13.0K
DASH_USDT,CHECKED,01:45:57,,$38.5K / $44.4K
DOT_USDT,CHECKED,01:45:57,,$11.1K / $14.3K
DOGE_USDT,CHECKED,01:45:57,,$15.4K / $19.1K
ETH_USDT,CHECKED,01:45:57,,$138.5K / $181.5K
FARTCOIN_USDT,CHECKED,01:45:57,,$26.4K / $30.8K
FLOKI_USDT,CHECKED,01:45:57,,$8.9K / $13.4K
HYPE_USDT,CHECKED,01:45:57,A2:HIGH,$26.6K / $32.4K
LINK_USDT,CHECKED,01:45:57,,$27.4K / $27.8K
LSK_USDT,CHECKED,01:45:57,A4:MEDIUM,$151 / $222
LTC_USDT,CHECKED,01:45:57,,$102.6K / $102.6K
NEAR_USDT,SKIPPED,,,
NOS_USDT,SKIPPED,,,
PEPE_USDT,CHECKED,01:45:57,,$26.7K / $34.8K
POL_USDT,CHECKED,01:45:57,,$122.2K / $129.1K
RENDER_USDT,SKIPPED,,,
Sonic_USDT,SKIPPED,,,
SHIB_USDT,CHECKED,01:45:57,,$39.1K / $39.1K
SLP_USDT,SKIPPED,,,
SOL_USDT,CHECKED,01:45:57,,$54.1K / $72.8K
STRK_USDT,SKIPPED,,,
SUI_USDT,CHECKED,01:45:57,A4:MEDIUM,$3.3K / $3.4K
TON_USDT,CHECKED,01:45:57,A2:HIGH|A4:MEDIUM,$675 / $1.3K
TRX_USDT,CHECKED,01:45:57,,$506.3K / $506.3K
USDC_USDT,CHECKED,01:45:57,,$698.2K / $698.2K
WIF_USDT,SKIPPED,,,
XLM_USDT,CHECKED,01:45:57,,$104.0K / $104.0K
XRP_USDT,CHECKED,01:45:57,,$116.6K / $116.6K
XYO_USDT,CHECKED,01:45:57,A4:MEDIUM,$1.1K / $1.4K
ZKSync_USDT,SKIPPED,,,
BTC_NGN,CHECKED,01:45:57,,$2384.84M / $2384.84M
USDT_NGN,CHECKED,01:45:57,A2:HIGH,$3441.41M / $5469.45M
ETH_NGN,CHECKED,01:45:57,,$1462.17M / $1462.17M
TRX_NGN,CHECKED,01:45:57,,$957.55M / $957.55M
XRP_NGN,CHECKED,01:45:57,,$241.25M / $241.25M
DASH_NGN,CHECKED,01:45:57,,$64.39M / $64.39M
LTC_NGN,CHECKED,01:45:57,,$274.96M / $274.96M
SOL_NGN,CHECKED,01:45:57,,$307.62M / $307.62M
USDC_NGN,CHECKED,01:45:57,A2:HIGH,$1672.36M / $2226.08M
USDT_GHS,CHECKED,01:45:57,,$3.62M / $4.85M
