Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),DEPTH
AAVE_USDT,CHECKED,01:35:05,,$20.2K / $20.2K
AxCNH_USDT,CHECKED,01:35:05,A4:MEDIUM,$197 / $224
ADA_USDT,CHECKED,01:35:05,,$41.8K / $53.5K
ALGO_USDT,SKIPPED,,,
BCH_USDT,CHECKED,01:35:05,,$9.2K / $12.0K
BNB_USDT,CHECKED,01:35:05,,$67.1K / $67.1K
BONK_USDT,CHECKED,01:35:05,A4:MEDIUM,$4.3K / $4.8K
BTC_USDT,CHECKED,01:35:05,,$2.26M / $3.06M
CAKE_USDT,CHECKED,01:35:05,,$54.2K / $74.7K
CFX_USDT,CHECKED,01:35:05,,$17.7K / $20.0K
DASH_USDT,CHECKED,01:35:05,,$42.9K / $46.9K
DOT_USDT,SKIPPED,,,
DOGE_USDT,CHECKED,01:35:05,,$9.5K / $14.3K
ETH_USDT,CHECKED,01:35:05,,$211.6K / $263.3K
FARTCOIN_USDT,CHECKED,01:35:05,,$13.7K / $13.7K
FLOKI_USDT,CHECKED,01:35:05,,$14.7K / $17.1K
HYPE_USDT,CHECKED,01:35:05,A2:HIGH,$26.5K / $43.5K
LINK_USDT,CHECKED,01:35:05,,$45.2K / $45.2K
LSK_USDT,SKIPPED,,,
LTC_USDT,CHECKED,01:35:05,,$77.5K / $77.5K
NEAR_USDT,SKIPPED,,,
NOS_USDT,SKIPPED,,,
PEPE_USDT,CHECKED,01:35:05,,$29.6K / $37.6K
POL_USDT,CHECKED,01:35:05,,$129.3K / $134.3K
RENDER_USDT,SKIPPED,,,
Sonic_USDT,SKIPPED,,,
SHIB_USDT,CHECKED,01:35:05,,$40.3K / $40.3K
SLP_USDT,SKIPPED,,,
SOL_USDT,CHECKED,01:35:05,,$73.1K / $99.0K
STRK_USDT,SKIPPED,,,
SUI_USDT,CHECKED,01:35:05,,$5.8K / $6.4K
TON_USDT,CHECKED,01:35:05,,$6.2K / $7.2K
TRX_USDT,SKIPPED,,,
USDC_USDT,CHECKED,01:35:05,,$974.0K / $1.44M
WIF_USDT,SKIPPED,,,
XLM_USDT,CHECKED,01:35:05,,$62.5K / $62.5K
XRP_USDT,CHECKED,01:35:05,,$50.9K / $50.9K
XYO_USDT,CHECKED,01:35:05,A4:MEDIUM,$1.4K / $1.7K
ZKSync_USDT,SKIPPED,,,
BTC_NGN,CHECKED,01:35:05,,$3145.60M / $3145.60M
USDT_NGN,CHECKED,01:35:05,A2:HIGH,$941.81M / $942.30M
ETH_NGN,CHECKED,01:35:05,,$1364.32M / $1364.32M
TRX_NGN,CHECKED,01:35:05,,$622.54M / $622.54M
XRP_NGN,CHECKED,01:35:05,,$109.85M / $109.85M
DASH_NGN,CHECKED,01:35:05,,$46.67M / $46.67M
LTC_NGN,CHECKED,01:35:05,,$249.77M / $249.77M
SOL_NGN,CHECKED,01:35:05,,$301.75M / $301.75M
USDC_NGN,CHECKED,01:35:05,,$5691.03M / $5691.03M
USDT_GHS,SKIPPED,,,
