Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),DEPTH
AAVE_USDT,CHECKED,01:16:01,,CHECKED,06:13:33,,CHECKED,11:34:44,,CHECKED,17:37:45,,$10.2K / $11.0K
AxCNH_USDT,CHECKED,01:16:01,A4:MEDIUM,CHECKED,06:13:33,A4:MEDIUM,CHECKED,11:34:44,A4:MEDIUM,CHECKED,17:37:45,A4:MEDIUM,$181 / $198
ADA_USDT,CHECKED,01:16:01,,CHECKED,06:13:33,,CHECKED,11:34:44,,CHECKED,17:37:45,,$28.7K / $35.8K
ALGO_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BCH_USDT,CHECKED,01:16:01,,CHECKED,06:13:33,,CHECKED,11:34:44,A4:MEDIUM,CHECKED,17:37:45,A4:MEDIUM,$4.4K / $6.6K
BNB_USDT,CHECKED,01:16:01,,CHECKED,06:13:33,,CHECKED,11:34:44,,CHECKED,17:37:45,,$43.8K / $43.8K
BONK_USDT,CHECKED,01:16:01,A4:MEDIUM,CHECKED,06:13:33,A4:MEDIUM,CHECKED,11:34:44,A4:MEDIUM,CHECKED,17:37:45,A4:MEDIUM,$312 / $406
BTC_USDT,CHECKED,01:16:01,,CHECKED,06:13:33,,CHECKED,11:34:44,,CHECKED,17:37:45,,$976.2K / $1.19M
CAKE_USDT,CHECKED,01:16:01,,SKIPPED,,,WARNING,11:34:44,A2:HIGH,CHECKED,17:37:45,,$24.9K / $31.0K
CFX_USDT,CHECKED,01:16:01,,CHECKED,06:13:33,,CHECKED,11:34:44,,CHECKED,17:37:45,,$10.5K / $13.1K
DASH_USDT,CHECKED,01:16:01,,CHECKED,06:13:33,,CHECKED,11:34:44,,CHECKED,17:37:45,,$31.2K / $36.3K
DOT_USDT,WARNING,01:16:01,A2:HIGH|A2:HIGH|A4:MEDIUM,CHECKED,06:13:33,,CHECKED,11:34:44,,CHECKED,17:37:45,,$8.1K / $8.1K
DOGE_USDT,WARNING,01:16:01,A2:HIGH,CHECKED,06:13:33,,CHECKED,11:34:44,,CHECKED,17:37:45,,$11.5K / $14.6K
ETH_USDT,CHECKED,01:16:01,,CHECKED,06:13:33,,CHECKED,11:34:44,,CHECKED,17:37:45,,$157.4K / $196.2K
FARTCOIN_USDT,CHECKED,01:16:01,,CHECKED,06:13:33,,CHECKED,11:34:44,,CHECKED,17:37:45,,$7.2K / $9.0K
FLOKI_USDT,CHECKED,01:16:01,,CHECKED,06:13:33,,CHECKED,11:34:44,,CHECKED,17:37:45,,$6.6K / $7.5K
HYPE_USDT,WARNING,01:16:01,A2:HIGH,SKIPPED,,,WARNING,11:34:44,A2:HIGH,WARNING,17:37:45,A2:HIGH,$66.4K / $72.1K
LINK_USDT,CHECKED,01:16:01,,CHECKED,06:13:33,,CHECKED,11:34:44,,CHECKED,17:37:45,,$33.4K / $33.4K
LSK_USDT,CHECKED,01:16:01,A4:MEDIUM,SKIPPED,,,CHECKED,11:34:44,A4:MEDIUM,CHECKED,17:37:45,A4:MEDIUM,$196 / $263
LTC_USDT,CHECKED,01:16:01,,CHECKED,06:13:33,,CHECKED,11:34:44,,CHECKED,17:37:45,,$55.0K / $55.0K
NEAR_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
NOS_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
PEPE_USDT,CHECKED,01:16:01,,CHECKED,06:13:33,,CHECKED,11:34:44,,CHECKED,17:37:45,,$29.8K / $44.6K
POL_USDT,CHECKED,01:16:01,,CHECKED,06:13:33,,CHECKED,11:34:44,,CHECKED,17:37:45,,$80.4K / $80.4K
RENDER_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
Sonic_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SHIB_USDT,CHECKED,01:16:01,,CHECKED,06:13:33,,CHECKED,11:34:44,,CHECKED,17:37:45,,$30.1K / $30.1K
SLP_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SOL_USDT,CHECKED,01:16:01,,CHECKED,06:13:33,,CHECKED,11:34:44,,CHECKED,17:37:45,,$56.6K / $75.3K
STRK_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SUI_USDT,CHECKED,01:16:01,A4:MEDIUM,CHECKED,06:13:33,A4:MEDIUM,CHECKED,11:34:44,A4:MEDIUM,CHECKED,17:37:45,A4:MEDIUM,$3.5K / $3.8K
TON_USDT,CHECKED,01:16:01,A4:MEDIUM,CHECKED,06:13:33,,CHECKED,11:34:44,A4:MEDIUM,CHECKED,17:37:45,A4:MEDIUM,$2.4K / $3.9K
TRX_USDT,CHECKED,01:16:01,,CHECKED,06:13:33,,CHECKED,11:34:44,,CHECKED,17:37:45,,$437.3K / $437.3K
USDC_USDT,CHECKED,01:16:01,,CHECKED,06:13:33,A2:HIGH,CHECKED,11:34:44,,CHECKED,17:37:45,,$641.5K / $1.00M
WIF_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
XLM_USDT,CHECKED,01:16:01,,CHECKED,06:13:33,,CHECKED,11:34:44,,CHECKED,17:37:45,,$58.0K / $58.0K
XRP_USDT,CHECKED,01:16:01,,CHECKED,06:13:33,,CHECKED,11:34:44,,CHECKED,17:37:45,,$8.0K / $10.5K
XYO_USDT,CHECKED,01:16:01,A4:MEDIUM,CHECKED,06:13:33,A4:MEDIUM,CHECKED,11:34:44,A4:MEDIUM,CHECKED,17:37:45,A4:MEDIUM,$844 / $1.1K
ZKSync_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BTC_NGN,CHECKED,01:16:01,,CHECKED,06:13:33,,CHECKED,11:34:44,,CHECKED,17:37:45,,$860.14M / $1012.88M
USDT_NGN,CHECKED,01:16:01,A2:HIGH,CHECKED,06:13:33,A2:HIGH,CHECKED,11:34:44,A2:HIGH,CHECKED,17:37:45,A2:HIGH,$961.34M / $2197.72M
ETH_NGN,CHECKED,01:16:01,,CHECKED,06:13:33,,CHECKED,11:34:44,,CHECKED,17:37:45,,$1347.03M / $1347.03M
TRX_NGN,CHECKED,01:16:01,,CHECKED,06:13:33,,CHECKED,11:34:44,,CHECKED,17:37:45,,$363.82M / $512.71M
XRP_NGN,CHECKED,01:16:01,,CHECKED,06:13:33,,CHECKED,11:34:44,,CHECKED,17:37:45,,$143.29M / $143.29M
DASH_NGN,CHECKED,01:16:01,,CHECKED,06:13:33,,CHECKED,11:34:44,,CHECKED,17:37:45,,$68.51M / $68.51M
LTC_NGN,CHECKED,01:16:01,,CHECKED,06:13:33,,CHECKED,11:34:44,,CHECKED,17:37:45,,$222.55M / $222.55M
SOL_NGN,CHECKED,01:16:01,,CHECKED,06:13:33,,CHECKED,11:34:44,,CHECKED,17:37:45,,$152.22M / $152.22M
USDC_NGN,CHECKED,01:16:01,A2:HIGH,CHECKED,06:13:33,A2:HIGH,CHECKED,11:34:44,,CHECKED,17:37:45,,$3148.65M / $3148.65M
USDT_GHS,CHECKED,01:16:01,,CHECKED,06:13:33,,CHECKED,11:34:44,,CHECKED,17:37:45,,$2.70M / $3.40M
