Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),DEPTH
AAVE_USDT,CHECKED,00:19:08,,CHECKED,01:18:15,,$10.4K / $10.4K
AxCNH_USDT,CHECKED,00:19:08,A4:MEDIUM,CHECKED,01:18:15,A4:MEDIUM,$259 / $296
ADA_USDT,CHECKED,00:19:08,,CHECKED,01:18:15,A2:HIGH,$25.4K / $31.4K
ALGO_USDT,SKIPPED,,,SKIPPED,,,
BCH_USDT,CHECKED,00:19:08,,CHECKED,01:18:15,A4:MEDIUM,$3.6K / $4.7K
BNB_USDT,CHECKED,00:19:08,,CHECKED,01:18:15,,$47.9K / $47.9K
BONK_USDT,CHECKED,00:19:08,A4:MEDIUM,CHECKED,01:18:15,A4:MEDIUM,$2.5K / $2.7K
BTC_USDT,CHECKED,00:19:08,,CHECKED,01:18:15,,$842.1K / $1.12M
CAKE_USDT,CHECKED,00:19:08,,CHECKED,01:18:15,,$17.9K / $21.9K
CFX_USDT,CHECKED,00:19:08,,CHECKED,01:18:15,,$10.2K / $12.2K
DASH_USDT,CHECKED,00:19:08,,CHECKED,01:18:15,,$22.9K / $24.7K
DOT_USDT,CHECKED,00:19:08,,CHECKED,01:18:15,,$12.4K / $13.7K
DOGE_USDT,CHECKED,00:19:08,,CHECKED,01:18:15,,$13.2K / $17.3K
ETH_USDT,CHECKED,00:19:08,,CHECKED,01:18:15,,$144.8K / $173.6K
FARTCOIN_USDT,CHECKED,00:19:08,,CHECKED,01:18:15,,$15.6K / $17.8K
FLOKI_USDT,CHECKED,00:19:08,,CHECKED,01:18:15,,$22.0K / $29.0K
HYPE_USDT,SKIPPED,,,SKIPPED,,,
LINK_USDT,CHECKED,00:19:08,,CHECKED,01:18:15,,$20.6K / $26.7K
LSK_USDT,CHECKED,00:19:08,,CHECKED,01:18:15,A4:MEDIUM,$4.8K / $5.6K
LTC_USDT,CHECKED,00:19:08,,CHECKED,01:18:15,,$44.7K / $44.7K
NEAR_USDT,SKIPPED,,,SKIPPED,,,
NOS_USDT,SKIPPED,,,SKIPPED,,,
PEPE_USDT,CHECKED,00:19:08,,CHECKED,01:18:15,,$11.8K / $17.3K
POL_USDT,CHECKED,00:19:08,,CHECKED,01:18:15,,$54.9K / $63.5K
RENDER_USDT,SKIPPED,,,SKIPPED,,,
Sonic_USDT,SKIPPED,,,SKIPPED,,,
SHIB_USDT,CHECKED,00:19:08,,CHECKED,01:18:15,,$39.1K / $39.1K
SLP_USDT,SKIPPED,,,SKIPPED,,,
SOL_USDT,CHECKED,00:19:08,,CHECKED,01:18:15,,$21.4K / $25.9K
STRK_USDT,SKIPPED,,,SKIPPED,,,
SUI_USDT,CHECKED,00:19:08,A4:MEDIUM,CHECKED,01:18:15,A4:MEDIUM,$2.8K / $3.2K
TON_USDT,CHECKED,00:19:08,A4:MEDIUM,CHECKED,01:18:15,A4:MEDIUM,$3.4K / $3.6K
TRX_USDT,CHECKED,00:19:08,,CHECKED,01:18:15,,$351.2K / $351.2K
USDC_USDT,CHECKED,00:19:08,,CHECKED,01:18:15,,$508.1K / $744.5K
WIF_USDT,SKIPPED,,,SKIPPED,,,
XLM_USDT,CHECKED,00:19:08,,CHECKED,01:18:15,,$71.5K / $71.5K
XRP_USDT,CHECKED,00:19:08,,CHECKED,01:18:15,,$45.6K / $45.6K
XYO_USDT,CHECKED,00:19:08,A4:MEDIUM,CHECKED,01:18:15,A2:HIGH|A4:MEDIUM,$1.1K / $1.5K
ZKSync_USDT,SKIPPED,,,SKIPPED,,,
BTC_NGN,CHECKED,00:19:08,,CHECKED,01:18:15,,$992.49M / $992.49M
USDT_NGN,CHECKED,00:19:08,A2:HIGH,CHECKED,01:18:15,A2:HIGH,$699.71M / $2237.00M
ETH_NGN,CHECKED,00:19:08,,CHECKED,01:18:15,,$2166.11M / $2166.11M
TRX_NGN,CHECKED,00:19:08,,CHECKED,01:18:15,,$651.12M / $651.12M
XRP_NGN,CHECKED,00:19:08,,CHECKED,01:18:15,,$186.01M / $186.01M
DASH_NGN,CHECKED,00:19:08,,CHECKED,01:18:15,,$23.58M / $23.58M
LTC_NGN,CHECKED,00:19:08,,CHECKED,01:18:15,,$241.73M / $241.73M
SOL_NGN,CHECKED,00:19:08,,CHECKED,01:18:15,,$122.89M / $122.89M
USDC_NGN,CHECKED,00:19:08,A2:HIGH,CHECKED,01:18:15,A2:HIGH,$3846.79M / $5276.53M
USDT_GHS,CHECKED,00:19:08,,CHECKED,01:18:15,,$4.28M / $5.28M
