Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),DEPTH
AAVE_USDT,CHECKED,01:22:05,,$6.9K / $6.9K
AxCNH_USDT,CHECKED,01:22:05,A4:MEDIUM,$171 / $193
ADA_USDT,CHECKED,01:22:05,,$36.1K / $49.3K
ALGO_USDT,SKIPPED,,,
BCH_USDT,CHECKED,01:22:05,A4:MEDIUM,$3.7K / $5.2K
BNB_USDT,CHECKED,01:22:05,,$42.4K / $42.4K
BONK_USDT,CHECKED,01:22:05,A4:MEDIUM,$4.2K / $4.7K
BTC_USDT,CHECKED,01:22:05,,$1.24M / $1.64M
CAKE_USDT,CHECKED,01:22:05,,$29.8K / $37.3K
CFX_USDT,CHECKED,01:22:05,,$19.7K / $21.8K
DASH_USDT,CHECKED,01:22:05,,$26.1K / $29.5K
DOT_USDT,CHECKED,01:22:05,,$10.9K / $13.0K
DOGE_USDT,CHECKED,01:22:05,,$15.6K / $21.8K
ETH_USDT,CHECKED,01:22:05,,$129.7K / $129.7K
FARTCOIN_USDT,CHECKED,01:22:05,,$22.6K / $26.1K
FLOKI_USDT,CHECKED,01:22:05,,$15.7K / $18.7K
HYPE_USDT,SKIPPED,,,
LINK_USDT,CHECKED,01:22:05,,$40.8K / $44.9K
LSK_USDT,CHECKED,01:22:05,A4:MEDIUM,$3.5K / $5.6K
LTC_USDT,CHECKED,01:22:05,,$93.0K / $93.0K
NEAR_USDT,SKIPPED,,,
NOS_USDT,SKIPPED,,,
PEPE_USDT,CHECKED,01:22:05,,$21.7K / $28.6K
POL_USDT,CHECKED,01:22:05,,$111.6K / $132.7K
RENDER_USDT,SKIPPED,,,
Sonic_USDT,SKIPPED,,,
SHIB_USDT,CHECKED,01:22:05,,$35.9K / $35.9K
SLP_USDT,SKIPPED,,,
SOL_USDT,CHECKED,01:22:05,,$36.5K / $46.2K
STRK_USDT,SKIPPED,,,
SUI_USDT,CHECKED,01:22:05,,$5.1K / $5.5K
TON_USDT,CHECKED,01:22:05,A4:MEDIUM,$4.1K / $5.9K
TRX_USDT,CHECKED,01:22:05,,$476.1K / $476.1K
USDC_USDT,CHECKED,01:22:05,,$1.06M / $1.54M
WIF_USDT,SKIPPED,,,
XLM_USDT,CHECKED,01:22:05,,$103.4K / $103.4K
XRP_USDT,CHECKED,01:22:05,,$98.9K / $98.9K
XYO_USDT,CHECKED,01:22:05,A4:MEDIUM,$1.3K / $1.7K
ZKSync_USDT,SKIPPED,,,
BTC_NGN,CHECKED,01:22:05,,$3546.33M / $3546.33M
USDT_NGN,CHECKED,01:22:05,A2:HIGH,$211.02M / $211.02M
ETH_NGN,CHECKED,01:22:05,,$2122.12M / $2122.12M
TRX_NGN,CHECKED,01:22:05,,$623.79M / $623.79M
XRP_NGN,CHECKED,01:22:05,,$155.82M / $155.82M
DASH_NGN,CHECKED,01:22:05,,$27.21M / $27.21M
LTC_NGN,CHECKED,01:22:05,,$270.17M / $270.17M
SOL_NGN,CHECKED,01:22:05,,$155.74M / $155.74M
USDC_NGN,CHECKED,01:22:05,A2:HIGH,$924.40M / $1206.70M
USDT_GHS,CHECKED,01:22:05,,$4.79M / $5.96M
