Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),ISSUES (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),ISSUES (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),ISSUES (CHECK 9),DEPTH
AAVE_USDT,CHECKED,00:42:23,,CHECKED,05:33:48,,CHECKED,09:12:26,,CHECKED,11:32:18,,CHECKED,13:51:29,,CHECKED,16:02:19,,CHECKED,17:39:08,,CHECKED,19:42:21,,CHECKED,21:39:41,,$8.8K / $8.8K
AxCNH_USDT,CHECKED,00:42:23,A4:MEDIUM,CHECKED,05:33:48,A4:MEDIUM,CHECKED,09:12:26,A4:MEDIUM,CHECKED,11:32:18,A4:MEDIUM,CHECKED,13:51:29,A4:MEDIUM,CHECKED,16:02:19,A4:MEDIUM,CHECKED,17:39:08,A4:MEDIUM,CHECKED,19:42:21,A4:MEDIUM,CHECKED,21:39:41,A4:MEDIUM,$161 / $170
ADA_USDT,CHECKED,00:42:23,,CHECKED,05:33:48,,CHECKED,09:12:26,,CHECKED,11:32:18,,CHECKED,13:51:29,,CHECKED,16:02:19,,CHECKED,17:39:08,,CHECKED,19:42:21,,CHECKED,21:39:41,,$15.2K / $20.5K
ALGO_USDT,CHECKED,00:42:23,,CHECKED,05:33:48,,CHECKED,09:12:26,,CHECKED,11:32:18,,CHECKED,13:51:29,,CHECKED,16:02:19,,CHECKED,17:39:08,,CHECKED,19:42:21,,CHECKED,21:39:41,,$25.0K / $27.5K
BCH_USDT,CHECKED,00:42:23,A4:MEDIUM,CHECKED,05:33:48,A4:MEDIUM,SKIPPED,,,CHECKED,11:32:18,,CHECKED,13:51:29,,CHECKED,16:02:19,,CHECKED,17:39:08,,CHECKED,19:42:21,,CHECKED,21:39:41,,$7.6K / $10.1K
BNB_USDT,CHECKED,00:42:23,,CHECKED,05:33:48,,CHECKED,09:12:26,,CHECKED,11:32:18,,CHECKED,13:51:29,,CHECKED,16:02:19,,CHECKED,17:39:08,,CHECKED,19:42:21,,CHECKED,21:39:41,,$73.7K / $73.7K
BONK_USDT,CHECKED,00:42:23,,CHECKED,05:33:48,,CHECKED,09:12:26,,CHECKED,11:32:18,,CHECKED,13:51:29,,CHECKED,16:02:19,,CHECKED,17:39:08,A4:MEDIUM,CHECKED,19:42:21,,CHECKED,21:39:41,,$6.6K / $7.3K
BTC_USDT,CHECKED,00:42:23,,CHECKED,05:33:48,,CHECKED,09:12:26,,SKIPPED,,,CHECKED,13:51:29,,CHECKED,16:02:19,,CHECKED,17:39:08,,CHECKED,19:42:21,,CHECKED,21:39:41,,$938.4K / $1.31M
CAKE_USDT,CHECKED,00:42:23,,CHECKED,05:33:48,,CHECKED,09:12:26,,CHECKED,11:32:18,,CHECKED,13:51:29,,CHECKED,16:02:19,,CHECKED,17:39:08,,CHECKED,19:42:21,,CHECKED,21:39:41,,$32.0K / $43.1K
CFX_USDT,CHECKED,00:42:23,,CHECKED,05:33:48,,CHECKED,09:12:26,,CHECKED,11:32:18,,CHECKED,13:51:29,,CHECKED,16:02:19,,CHECKED,17:39:08,,CHECKED,19:42:21,,CHECKED,21:39:41,,$23.6K / $25.3K
