Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),ISSUES (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),ISSUES (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),ISSUES (CHECK 9),DEPTH
AAVE_USDT,CHECKED,02:07:19,,CHECKED,06:01:18,,CHECKED,09:11:18,,CHECKED,11:33:11,,CHECKED,13:42:54,,CHECKED,15:52:24,,CHECKED,17:33:58,,SKIPPED,,,CHECKED,20:45:47,,$7.5K / $7.5K
AxCNH_USDT,CHECKED,02:07:19,A4:MEDIUM,CHECKED,06:01:18,A4:MEDIUM,CHECKED,09:11:18,A4:MEDIUM,CHECKED,11:33:11,A4:MEDIUM,CHECKED,13:42:54,A4:MEDIUM,CHECKED,15:52:24,A4:MEDIUM,CHECKED,17:33:58,A4:MEDIUM,CHECKED,19:20:50,A4:MEDIUM,WARNING,20:45:47,A2:HIGH|A4:MEDIUM,$93 / $93
ADA_USDT,CHECKED,02:07:19,,CHECKED,06:01:18,,CHECKED,09:11:18,,CHECKED,11:33:11,,CHECKED,13:42:54,,CHECKED,15:52:24,,CHECKED,17:33:58,,CHECKED,19:20:50,A2:HIGH,CHECKED,20:45:47,,$17.6K / $26.1K
ALGO_USDT,CHECKED,02:07:19,,CHECKED,06:01:18,,CHECKED,09:11:18,,CHECKED,11:33:11,,CHECKED,13:42:54,,CHECKED,15:52:24,,CHECKED,17:33:58,,SKIPPED,,,CHECKED,20:45:47,,$27.8K / $29.7K
BCH_USDT,CHECKED,02:07:19,,CHECKED,06:01:18,,CHECKED,09:11:18,A4:MEDIUM,CHECKED,11:33:11,A4:MEDIUM,CHECKED,13:42:54,,CHECKED,15:52:24,,CHECKED,17:33:58,A4:MEDIUM,SKIPPED,,,CHECKED,20:45:47,,$9.1K / $12.3K
BNB_USDT,CHECKED,02:07:19,,CHECKED,06:01:18,,CHECKED,09:11:18,,WARNING,11:33:11,A3:CRITICAL|A2:HIGH,CHECKED,13:42:54,,CHECKED,15:52:24,,CHECKED,17:33:58,,CHECKED,19:20:50,,CHECKED,20:45:47,,$39.5K / $39.5K
BONK_USDT,CHECKED,02:07:19,A4:MEDIUM,CHECKED,06:01:18,A4:MEDIUM,CHECKED,09:11:18,A4:MEDIUM,CHECKED,11:33:11,,CHECKED,13:42:54,,CHECKED,15:52:24,,CHECKED,17:33:58,A4:MEDIUM,CHECKED,19:20:50,A4:MEDIUM,CHECKED,20:45:47,A4:MEDIUM,$4.7K / $5.2K
BTC_USDT,CHECKED,02:07:19,,CHECKED,06:01:18,,SKIPPED,,,CHECKED,11:33:11,,CHECKED,13:42:54,,CHECKED,15:52:24,,CHECKED,17:33:58,,CHECKED,19:20:50,,CHECKED,20:45:47,,$1.18M / $1.31M
CAKE_USDT,CHECKED,02:07:19,,CHECKED,06:01:18,,CHECKED,09:11:18,,CHECKED,11:33:11,,WARNING,13:42:54,A2:HIGH,CHECKED,15:52:24,,CHECKED,17:33:58,,CHECKED,19:20:50,,CHECKED,20:45:47,,$16.6K / $20.2K
CFX_USDT,CHECKED,02:07:19,,CHECKED,06:01:18,,CHECKED,09:11:18,,CHECKED,11:33:11,,CHECKED,13:42:54,,CHECKED,15:52:24,,CHECKED,17:33:58,,CHECKED,19:20:50,,SKIPPED,,,$15.1K / $17.3K
