Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),DEPTH
AAVE_USDT,CHECKED,01:24:42,,CHECKED,06:13:15,,CHECKED,11:55:40,,$12.3K / $12.3K
AxCNH_USDT,CHECKED,01:24:42,A4:MEDIUM,SKIPPED,,,CHECKED,11:55:40,A4:MEDIUM,$187 / $203
ADA_USDT,WARNING,01:24:42,A2:HIGH,CHECKED,06:13:15,,CHECKED,11:55:40,,$19.6K / $25.7K
ALGO_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BCH_USDT,CHECKED,01:24:42,,CHECKED,06:13:15,,CHECKED,11:55:40,A4:MEDIUM,$4.9K / $6.1K
BNB_USDT,CHECKED,01:24:42,,SKIPPED,,,CHECKED,11:55:40,,$50.9K / $50.9K
BONK_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BTC_USDT,SKIPPED,,,CHECKED,06:13:15,,CHECKED,11:55:40,,$1.24M / $1.49M
CAKE_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
CFX_USDT,CHECKED,01:24:42,,CHECKED,06:13:15,,CHECKED,11:55:40,,$22.8K / $27.5K
DASH_USDT,SKIPPED,,,SKIPPED,,,CHECKED,11:55:40,,$20.5K / $23.7K
DOT_USDT,CHECKED,01:24:42,,CHECKED,06:13:15,,SKIPPED,,,$8.6K / $8.6K
DOGE_USDT,CHECKED,01:24:42,,CHECKED,06:13:15,,CHECKED,11:55:40,A2:HIGH,$21.1K / $21.1K
ETH_USDT,SKIPPED,,,CHECKED,06:13:15,,CHECKED,11:55:40,,$153.9K / $206.3K
FARTCOIN_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
FLOKI_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
HYPE_USDT,CHECKED,01:24:42,A2:HIGH,SKIPPED,,,WARNING,11:55:40,A2:HIGH,$40.4K / $54.8K
LINK_USDT,CHECKED,01:24:42,,CHECKED,06:13:15,,CHECKED,11:55:40,A2:HIGH,$34.0K / $34.0K
LSK_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
LTC_USDT,CHECKED,01:24:42,,CHECKED,06:13:15,,CHECKED,11:55:40,,$74.6K / $74.6K
NEAR_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
NOS_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
PEPE_USDT,CHECKED,01:24:42,,CHECKED,06:13:15,,CHECKED,11:55:40,,$15.5K / $19.9K
POL_USDT,CHECKED,01:24:42,,CHECKED,06:13:15,,CHECKED,11:55:40,,$113.0K / $113.0K
RENDER_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
Sonic_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SHIB_USDT,CHECKED,01:24:42,,CHECKED,06:13:15,,CHECKED,11:55:40,,$16.5K / $16.5K
SLP_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SOL_USDT,CHECKED,01:24:42,,CHECKED,06:13:15,,CHECKED,11:55:40,,$51.6K / $60.4K
STRK_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SUI_USDT,CHECKED,01:24:42,A4:MEDIUM,CHECKED,06:13:15,A4:MEDIUM,CHECKED,11:55:40,A4:MEDIUM,$4.1K / $4.8K
TON_USDT,CHECKED,01:24:42,A4:MEDIUM,CHECKED,06:13:15,,CHECKED,11:55:40,A4:MEDIUM,$4.7K / $5.7K
TRX_USDT,CHECKED,01:24:42,,CHECKED,06:13:15,,CHECKED,11:55:40,,$349.7K / $349.7K
