Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),DEPTH
AAVE_USDT,CHECKED,00:04:54,,CHECKED,02:09:01,,CHECKED,07:14:58,,CHECKED,12:13:52,,CHECKED,18:15:42,,CHECKED,20:22:16,,$11.3K / $11.3K
AxCNH_USDT,CHECKED,00:04:54,A4:MEDIUM,CHECKED,02:09:01,A4:MEDIUM,CHECKED,07:14:58,A4:MEDIUM,CHECKED,12:13:52,A4:MEDIUM,CHECKED,18:15:42,A4:MEDIUM,CHECKED,20:22:16,A4:MEDIUM,$205 / $223
ADA_USDT,CHECKED,00:04:54,,CHECKED,02:09:01,A2:HIGH,CHECKED,07:14:58,,CHECKED,12:13:52,,CHECKED,18:15:42,,CHECKED,20:22:16,,$40.6K / $55.4K
ALGO_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BCH_USDT,CHECKED,00:04:54,,CHECKED,02:09:01,A4:MEDIUM,CHECKED,07:14:58,,CHECKED,12:13:52,A4:MEDIUM,CHECKED,18:15:42,A4:MEDIUM,CHECKED,20:22:16,,$10.6K / $12.4K
BNB_USDT,CHECKED,00:04:54,,CHECKED,02:09:01,,CHECKED,07:14:58,,CHECKED,12:13:52,,CHECKED,18:15:42,,CHECKED,20:22:16,,$47.6K / $47.6K
BONK_USDT,CHECKED,00:04:54,A4:MEDIUM,CHECKED,02:09:01,A4:MEDIUM,CHECKED,07:14:58,A4:MEDIUM,CHECKED,12:13:52,A4:MEDIUM,CHECKED,18:15:42,A4:MEDIUM,CHECKED,20:22:16,A4:MEDIUM,$3.9K / $4.4K
BTC_USDT,CHECKED,00:04:54,,CHECKED,02:09:01,,CHECKED,07:14:58,,CHECKED,12:13:52,,CHECKED,18:15:42,,CHECKED,20:22:16,,$1.50M / $1.91M
CAKE_USDT,CHECKED,00:04:54,,CHECKED,02:09:01,,CHECKED,07:14:58,,CHECKED,12:13:52,,CHECKED,18:15:42,,WARNING,20:22:16,A2:HIGH,$49.2K / $71.4K
CFX_USDT,CHECKED,00:04:54,,CHECKED,02:09:01,,CHECKED,07:14:58,,CHECKED,12:13:52,,CHECKED,18:15:42,,CHECKED,20:22:16,,$17.4K / $18.7K
