Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),DEPTH
AAVE_USDT,CHECKED,01:33:28,,$11.7K / $11.7K
AxCNH_USDT,CHECKED,01:33:28,A4:MEDIUM,$139 / $147
ADA_USDT,WARNING,01:33:28,A2:HIGH|A2:HIGH,$22.2K / $22.2K
ALGO_USDT,SKIPPED,,,
BCH_USDT,CHECKED,01:33:28,A2:HIGH,$10.0K / $11.8K
BNB_USDT,CHECKED,01:33:28,,$44.9K / $44.9K
BONK_USDT,SKIPPED,,,
BTC_USDT,CHECKED,01:33:28,A2:HIGH,$1.76M / $1.76M
CAKE_USDT,SKIPPED,,,
CFX_USDT,CHECKED,01:33:28,,$21.7K / $23.1K
DASH_USDT,CHECKED,01:33:28,,$40.3K / $42.2K
DOT_USDT,CHECKED,01:33:28,,$10.0K / $10.0K
DOGE_USDT,CHECKED,01:33:28,,$7.7K / $8.8K
ETH_USDT,CHECKED,01:33:28,,$140.5K / $183.2K
FARTCOIN_USDT,SKIPPED,,,
FLOKI_USDT,SKIPPED,,,
HYPE_USDT,CHECKED,01:33:28,,$153.0K / $166.0K
LINK_USDT,CHECKED,01:33:28,,$36.8K / $36.8K
LSK_USDT,SKIPPED,,,
LTC_USDT,CHECKED,01:33:28,,$44.2K / $56.5K
NEAR_USDT,SKIPPED,,,
NOS_USDT,SKIPPED,,,
PEPE_USDT,CHECKED,01:33:28,,$13.2K / $17.3K
POL_USDT,CHECKED,01:33:28,,$83.7K / $90.5K
RENDER_USDT,SKIPPED,,,
Sonic_USDT,SKIPPED,,,
SHIB_USDT,CHECKED,01:33:28,,$28.2K / $28.2K
SLP_USDT,SKIPPED,,,
SOL_USDT,CHECKED,01:33:28,,$48.7K / $58.8K
STRK_USDT,SKIPPED,,,
SUI_USDT,CHECKED,01:33:28,A4:MEDIUM,$3.1K / $3.5K
TON_USDT,CHECKED,01:33:28,A2:HIGH|A4:MEDIUM,$1.5K / $1.5K
TRX_USDT,CHECKED,01:33:28,,$323.9K / $483.3K
USDC_USDT,CHECKED,01:33:28,,$514.9K / $701.5K
WIF_USDT,SKIPPED,,,
XLM_USDT,CHECKED,01:33:28,,$80.5K / $95.6K
XRP_USDT,CHECKED,01:33:28,,$63.7K / $81.6K
XYO_USDT,CHECKED,01:33:28,A4:MEDIUM,$1.5K / $2.2K
ZKSync_USDT,SKIPPED,,,
BTC_NGN,CHECKED,01:33:28,,$2323.86M / $2323.86M
USDT_NGN,CHECKED,01:33:28,A2:HIGH,$2030.41M / $2030.51M
ETH_NGN,CHECKED,01:33:28,,$1396.68M / $1396.68M
TRX_NGN,SKIPPED,,,
XRP_NGN,CHECKED,01:33:28,,$116.08M / $116.08M
DASH_NGN,CHECKED,01:33:28,,$40.75M / $40.75M
LTC_NGN,CHECKED,01:33:28,,$146.88M / $146.88M
SOL_NGN,CHECKED,01:33:28,,$154.37M / $154.37M
USDC_NGN,CHECKED,01:33:28,,$3600.17M / $3600.17M
USDT_GHS,CHECKED,01:33:28,,$3.35M / $4.26M
