Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),DEPTH
AAVE_USDT,CHECKED,02:43:35,,$23.3K / $24.4K
AxCNH_USDT,CHECKED,02:43:35,A4:MEDIUM,$196 / $215
ADA_USDT,SKIPPED,,,
ALGO_USDT,SKIPPED,,,
BCH_USDT,CHECKED,02:43:35,,$11.9K / $16.5K
BNB_USDT,SKIPPED,,,
BONK_USDT,SKIPPED,,,
BTC_USDT,SKIPPED,,,
CAKE_USDT,SKIPPED,,,
CFX_USDT,CHECKED,02:43:35,,$27.8K / $31.1K
DASH_USDT,CHECKED,02:43:35,,$35.9K / $38.9K
DOT_USDT,CHECKED,02:43:35,,$15.0K / $15.0K
DOGE_USDT,CHECKED,02:43:35,,$13.8K / $18.3K
ETH_USDT,CHECKED,02:43:35,,$196.9K / $196.9K
FARTCOIN_USDT,SKIPPED,,,
FLOKI_USDT,SKIPPED,,,
HYPE_USDT,WARNING,02:43:35,A2:HIGH,$62.5K / $72.7K
LINK_USDT,CHECKED,02:43:35,,$36.8K / $36.8K
LSK_USDT,SKIPPED,,,
LTC_USDT,CHECKED,02:43:35,,$68.6K / $68.6K
NEAR_USDT,SKIPPED,,,
NOS_USDT,SKIPPED,,,
PEPE_USDT,CHECKED,02:43:35,,$28.8K / $38.0K
POL_USDT,CHECKED,02:43:35,,$139.6K / $139.6K
RENDER_USDT,SKIPPED,,,
Sonic_USDT,SKIPPED,,,
SHIB_USDT,CHECKED,02:43:35,,$40.8K / $41.7K
SLP_USDT,SKIPPED,,,
SOL_USDT,CHECKED,02:43:35,,$107.9K / $139.5K
STRK_USDT,SKIPPED,,,
SUI_USDT,CHECKED,02:43:35,,$5.1K / $5.1K
TON_USDT,SKIPPED,,,
TRX_USDT,CHECKED,02:43:35,,$705.5K / $705.5K
USDC_USDT,CHECKED,02:43:35,,$1.00M / $1.44M
WIF_USDT,SKIPPED,,,
XLM_USDT,CHECKED,02:43:35,,$87.7K / $87.7K
XRP_USDT,CHECKED,02:43:35,,$80.6K / $80.6K
XYO_USDT,CHECKED,02:43:35,A4:MEDIUM,$1.8K / $2.3K
ZKSync_USDT,SKIPPED,,,
BTC_NGN,CHECKED,02:43:35,,$5121.96M / $5121.96M
USDT_NGN,CHECKED,02:43:35,A2:HIGH,$1759.70M / $3896.86M
ETH_NGN,CHECKED,02:43:35,,$1577.87M / $1577.87M
TRX_NGN,CHECKED,02:43:35,,$948.53M / $948.53M
XRP_NGN,CHECKED,02:43:35,,$144.78M / $144.78M
DASH_NGN,CHECKED,02:43:35,,$81.69M / $81.69M
LTC_NGN,CHECKED,02:43:35,,$206.41M / $206.41M
SOL_NGN,CHECKED,02:43:35,,$178.24M / $178.24M
USDC_NGN,CHECKED,02:43:35,A2:HIGH,$2143.46M / $2143.46M
USDT_GHS,CHECKED,02:43:35,,$3.78M / $4.69M
