Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),DEPTH
AAVE_USDT,CHECKED,02:35:33,,CHECKED,07:43:49,,CHECKED,11:13:49,,CHECKED,13:05:29,,CHECKED,15:23:35,,CHECKED,16:48:41,,$6.4K / $6.4K
AxCNH_USDT,CHECKED,02:35:33,A4:MEDIUM,CHECKED,07:43:49,A4:MEDIUM,CHECKED,11:13:49,A4:MEDIUM,CHECKED,13:05:29,A4:MEDIUM,CHECKED,15:23:35,A4:MEDIUM,CHECKED,16:48:41,A4:MEDIUM,$234 / $282
ADA_USDT,CHECKED,02:35:33,,CHECKED,07:43:49,,CHECKED,11:13:49,,CHECKED,13:05:29,,CHECKED,15:23:35,,CHECKED,16:48:41,,$14.9K / $20.0K
ALGO_USDT,CHECKED,02:35:33,,CHECKED,07:43:49,,CHECKED,11:13:49,,CHECKED,13:05:29,,CHECKED,15:23:35,,CHECKED,16:48:41,,$37.5K / $41.6K
BCH_USDT,CHECKED,02:35:33,,CHECKED,07:43:49,,CHECKED,11:13:49,,SKIPPED,,,CHECKED,15:23:35,,CHECKED,16:48:41,,$6.7K / $8.7K
BNB_USDT,CHECKED,02:35:33,,CHECKED,07:43:49,,CHECKED,11:13:49,,CHECKED,13:05:29,,CHECKED,15:23:35,,CHECKED,16:48:41,,$70.6K / $70.6K
BONK_USDT,CHECKED,02:35:33,,CHECKED,07:43:49,,CHECKED,11:13:49,,CHECKED,13:05:29,,CHECKED,15:23:35,,CHECKED,16:48:41,A4:MEDIUM,$4.1K / $4.4K
BTC_USDT,CHECKED,02:35:33,,CHECKED,07:43:49,A2:HIGH,CHECKED,11:13:49,,CHECKED,13:05:29,,CHECKED,15:23:35,,CHECKED,16:48:41,,$1.48M / $1.48M
CAKE_USDT,CHECKED,02:35:33,,CHECKED,07:43:49,,CHECKED,11:13:49,,CHECKED,13:05:29,,CHECKED,15:23:35,,CHECKED,16:48:41,,$30.8K / $40.6K
CFX_USDT,CHECKED,02:35:33,,CHECKED,07:43:49,,CHECKED,11:13:49,,CHECKED,13:05:29,,CHECKED,15:23:35,,CHECKED,16:48:41,,$21.7K / $23.8K
DASH_USDT,CHECKED,02:35:33,,CHECKED,07:43:49,,CHECKED,11:13:49,,CHECKED,13:05:29,A4:MEDIUM,CHECKED,15:23:35,,CHECKED,16:48:41,,$15.0K / $16.9K
DOT_USDT,CHECKED,02:35:33,,CHECKED,07:43:49,,CHECKED,11:13:49,,CHECKED,13:05:29,A2:HIGH,CHECKED,15:23:35,,CHECKED,16:48:41,,$12.6K / $14.8K
