Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),DEPTH
AAVE_USDT,SKIPPED,,,CHECKED,08:57:49,,CHECKED,14:19:41,,WARNING,18:23:02,A3:CRITICAL|A2:HIGH,CHECKED,21:03:21,,$10.3K / $10.3K
AxCNH_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,CHECKED,18:23:02,A4:MEDIUM,SKIPPED,,,$321 / $366
ADA_USDT,SKIPPED,,,SKIPPED,,,CHECKED,14:19:41,,CHECKED,18:23:02,A2:HIGH,SKIPPED,,,$48.1K / $57.6K
ALGO_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BCH_USDT,CHECKED,02:47:26,,SKIPPED,,,SKIPPED,,,SKIPPED,,,CHECKED,21:03:21,,$6.1K / $8.4K
BNB_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,CHECKED,21:03:21,,$46.2K / $46.2K
BONK_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BTC_USDT,CHECKED,02:47:26,,CHECKED,08:57:49,,CHECKED,14:19:41,,CHECKED,18:23:02,,CHECKED,21:03:21,,$1.77M / $1.77M
CAKE_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
CFX_USDT,SKIPPED,,,CHECKED,08:57:49,,CHECKED,14:19:41,,CHECKED,18:23:02,,CHECKED,21:03:21,,$19.2K / $21.0K
DASH_USDT,CHECKED,02:47:26,,CHECKED,08:57:49,,CHECKED,14:19:41,,CHECKED,18:23:02,,CHECKED,21:03:21,,$40.1K / $50.0K
DOT_USDT,CHECKED,02:47:26,,SKIPPED,,,CHECKED,14:19:41,,CHECKED,18:23:02,,CHECKED,21:03:21,,$11.1K / $11.1K
DOGE_USDT,CHECKED,02:47:26,,CHECKED,08:57:49,,CHECKED,14:19:41,,CHECKED,18:23:02,,CHECKED,21:03:21,,$15.1K / $21.4K
ETH_USDT,CHECKED,02:47:26,,CHECKED,08:57:49,,CHECKED,14:19:41,,CHECKED,18:23:02,,CHECKED,21:03:21,,$148.5K / $178.8K
FARTCOIN_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
FLOKI_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
HYPE_USDT,CHECKED,02:47:26,A2:HIGH,WARNING,08:57:49,A2:HIGH,WARNING,14:19:41,A2:HIGH,WARNING,18:23:02,A2:HIGH,WARNING,21:03:21,A2:HIGH,$26.4K / $35.0K
