Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),ISSUES (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),ISSUES (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),ISSUES (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),ISSUES (CHECK 10),STATUS (CHECK 11),TIME (CHECK 11),ISSUES (CHECK 11),STATUS (CHECK 12),TIME (CHECK 12),ISSUES (CHECK 12),STATUS (CHECK 13),TIME (CHECK 13),ISSUES (CHECK 13),STATUS (CHECK 14),TIME (CHECK 14),ISSUES (CHECK 14),STATUS (CHECK 15),TIME (CHECK 15),ISSUES (CHECK 15),STATUS (CHECK 16),TIME (CHECK 16),ISSUES (CHECK 16),STATUS (CHECK 17),TIME (CHECK 17),ISSUES (CHECK 17),STATUS (CHECK 18),TIME (CHECK 18),ISSUES (CHECK 18),STATUS (CHECK 19),TIME (CHECK 19),ISSUES (CHECK 19),STATUS (CHECK 20),TIME (CHECK 20),ISSUES (CHECK 20),DEPTH
DASH_USDT,CHECKED,00:46:56,,CHECKED,03:00:29,,CHECKED,04:18:25,,CHECKED,05:08:37,,CHECKED,06:01:58,,CHECKED,06:55:15,,CHECKED,08:16:36,,CHECKED,09:06:50,,CHECKED,10:05:20,,CHECKED,10:58:52,,CHECKED,12:00:46,,SKIPPED,,,CHECKED,14:21:32,,CHECKED,15:10:10,,CHECKED,16:04:02,,CHECKED,16:58:12,,CHECKED,18:01:22,,CHECKED,18:55:27,,CHECKED,20:10:46,,CHECKED,20:54:46,,$11.3K / $13.5K
DOT_USDT,CHECKED,00:46:56,,CHECKED,03:00:29,,CHECKED,04:18:25,,CHECKED,05:08:37,,CHECKED,06:01:58,,CHECKED,06:55:15,,CHECKED,08:16:36,,CHECKED,09:06:50,,CHECKED,10:05:20,,WARNING,10:58:52,A3:CRITICAL|A2:HIGH|A2:HIGH,SKIPPED,,,SKIPPED,,,CHECKED,14:21:32,,CHECKED,15:10:10,,CHECKED,16:04:02,,CHECKED,16:58:12,,CHECKED,18:01:22,,CHECKED,18:55:27,,CHECKED,20:10:46,A2:HIGH,CHECKED,20:54:46,,$6.4K / $7.1K
DOGE_USDT,CHECKED,00:46:56,,CHECKED,03:00:29,,WARNING,04:18:25,A2:HIGH,CHECKED,05:08:37,,CHECKED,06:01:58,,CHECKED,06:55:15,,CHECKED,08:16:36,,WARNING,09:06:50,A2:HIGH,WARNING,10:05:20,A2:HIGH,WARNING,10:58:52,A3:CRITICAL|A2:HIGH|A2:HIGH,SKIPPED,,,SKIPPED,,,CHECKED,14:21:32,,CHECKED,15:10:10,A2:HIGH,CHECKED,16:04:02,,CHECKED,16:58:12,,CHECKED,18:01:22,,CHECKED,18:55:27,,WARNING,20:10:46,A2:HIGH,CHECKED,20:54:46,,$8.1K / $11.0K
ETH_USDT,CHECKED,00:46:56,,CHECKED,03:00:29,,CHECKED,04:18:25,,CHECKED,05:08:37,,CHECKED,06:01:58,,CHECKED,06:55:15,,CHECKED,08:16:36,,CHECKED,09:06:50,A2:HIGH,CHECKED,10:05:20,,CHECKED,10:58:52,,SKIPPED,,,SKIPPED,,,CHECKED,14:21:32,,CHECKED,15:10:10,,CHECKED,16:04:02,,WARNING,16:58:12,A3:CRITICAL|A2:HIGH|A2:HIGH,CHECKED,18:01:22,,CHECKED,18:55:27,,CHECKED,20:10:46,,CHECKED,20:54:46,,$176.9K / $176.9K
FARTCOIN_USDT,CHECKED,00:46:56,,CHECKED,03:00:29,,CHECKED,04:18:25,,CHECKED,05:08:37,,CHECKED,06:01:58,,CHECKED,06:55:15,,CHECKED,08:16:36,,CHECKED,09:06:50,,CHECKED,10:05:20,,CHECKED,10:58:52,,CHECKED,12:00:46,,SKIPPED,,,CHECKED,14:21:32,,CHECKED,15:10:10,,CHECKED,16:04:02,,CHECKED,16:58:12,,CHECKED,18:01:22,,CHECKED,18:55:27,,CHECKED,20:10:46,,CHECKED,20:54:46,,$13.1K / $16.3K
FLOKI_USDT,CHECKED,00:46:56,,WARNING,03:00:29,A2:HIGH,CHECKED,04:18:25,,CHECKED,05:08:37,,CHECKED,06:01:58,,CHECKED,06:55:15,,CHECKED,08:16:36,,CHECKED,09:06:50,,WARNING,10:05:20,A2:HIGH|A2:HIGH,CHECKED,10:58:52,,SKIPPED,,,SKIPPED,,,CHECKED,14:21:32,,CHECKED,15:10:10,,CHECKED,16:04:02,,CHECKED,16:58:12,A2:HIGH|A4:MEDIUM,CHECKED,18:01:22,,CHECKED,18:55:27,,CHECKED,20:10:46,,CHECKED,20:54:46,,$12.3K / $14.4K
HYPE_USDT,WARNING,00:46:56,A2:HIGH,WARNING,03:00:29,A2:HIGH,WARNING,04:18:25,A2:HIGH,CHECKED,05:08:37,,WARNING,06:01:58,A2:HIGH,WARNING,06:55:15,A2:HIGH,WARNING,08:16:36,A2:HIGH,CHECKED,09:06:50,A2:HIGH,WARNING,10:05:20,A2:HIGH,WARNING,10:58:52,A2:HIGH,SKIPPED,,,SKIPPED,,,CHECKED,14:21:32,A2:HIGH,CHECKED,15:10:10,A2:HIGH,CHECKED,16:04:02,A2:HIGH,WARNING,16:58:12,A2:HIGH,WARNING,18:01:22,A2:HIGH,WARNING,18:55:27,A2:HIGH,WARNING,20:10:46,A2:HIGH,CHECKED,20:54:46,A2:HIGH,$18.3K / $29.6K
LINK_USDT,CHECKED,00:46:56,A2:HIGH,CHECKED,03:00:29,,CHECKED,04:18:25,,WARNING,05:08:37,A2:HIGH|A2:HIGH,CHECKED,06:01:58,,CHECKED,06:55:15,,CHECKED,08:16:36,,CHECKED,09:06:50,,CHECKED,10:05:20,,CHECKED,10:58:52,,SKIPPED,,,SKIPPED,,,CHECKED,14:21:32,,CHECKED,15:10:10,,CHECKED,16:04:02,,CHECKED,16:58:12,,CHECKED,18:01:22,,CHECKED,18:55:27,,CHECKED,20:10:46,,CHECKED,20:54:46,,$26.1K / $26.1K
LSK_USDT,CHECKED,00:46:56,,CHECKED,03:00:29,,CHECKED,04:18:25,,CHECKED,05:08:37,,CHECKED,06:01:58,A4:MEDIUM,CHECKED,06:55:15,,CHECKED,08:16:36,,CHECKED,09:06:50,,CHECKED,10:05:20,,CHECKED,10:58:52,,SKIPPED,,,SKIPPED,,,CHECKED,14:21:32,,CHECKED,15:10:10,,CHECKED,16:04:02,A4:MEDIUM,CHECKED,16:58:12,,CHECKED,18:01:22,A4:MEDIUM,CHECKED,18:55:27,,CHECKED,20:10:46,,SKIPPED,,,$5.3K / $6.4K
LTC_USDT,CHECKED,00:46:56,,CHECKED,03:00:29,,CHECKED,04:18:25,,CHECKED,05:08:37,,CHECKED,06:01:58,,CHECKED,06:55:15,,CHECKED,08:16:36,,CHECKED,09:06:50,,CHECKED,10:05:20,,CHECKED,10:58:52,,SKIPPED,,,SKIPPED,,,CHECKED,14:21:32,,CHECKED,15:10:10,,CHECKED,16:04:02,,WARNING,16:58:12,A3:CRITICAL|A2:HIGH|A2:HIGH,CHECKED,18:01:22,,CHECKED,18:55:27,,CHECKED,20:10:46,,CHECKED,20:54:46,,$61.4K / $61.4K
NEAR_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
NOS_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
PEPE_USDT,CHECKED,00:46:56,,CHECKED,03:00:29,,CHECKED,04:18:25,,WARNING,05:08:37,A2:HIGH,CHECKED,06:01:58,,CHECKED,06:55:15,,CHECKED,08:16:36,,CHECKED,09:06:50,,CHECKED,10:05:20,,CHECKED,10:58:52,,SKIPPED,,,SKIPPED,,,CHECKED,14:21:32,,CHECKED,15:10:10,,CHECKED,16:04:02,,WARNING,16:58:12,A2:HIGH|A2:HIGH,WARNING,18:01:22,A2:HIGH|A2:HIGH,CHECKED,18:55:27,,CHECKED,20:10:46,,CHECKED,20:54:46,,$15.4K / $21.0K
POL_USDT,CHECKED,00:46:56,,CHECKED,03:00:29,,CHECKED,04:18:25,,CHECKED,05:08:37,,CHECKED,06:01:58,,CHECKED,06:55:15,,CHECKED,08:16:36,,CHECKED,09:06:50,,CHECKED,10:05:20,,CHECKED,10:58:52,,SKIPPED,,,SKIPPED,,,CHECKED,14:21:32,,CHECKED,15:10:10,,CHECKED,16:04:02,,CHECKED,16:58:12,,CHECKED,18:01:22,,CHECKED,18:55:27,,CHECKED,20:10:46,,CHECKED,20:54:46,,$124.9K / $139.6K
RENDER_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
Sonic_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SHIB_USDT,CHECKED,00:46:56,,CHECKED,03:00:29,,CHECKED,04:18:25,,CHECKED,05:08:37,,CHECKED,06:01:58,,CHECKED,06:55:15,,CHECKED,08:16:36,,CHECKED,09:06:50,,CHECKED,10:05:20,,WARNING,10:58:52,A3:CRITICAL|A2:HIGH|A2:HIGH,SKIPPED,,,SKIPPED,,,CHECKED,14:21:32,,CHECKED,15:10:10,,CHECKED,16:04:02,,CHECKED,16:58:12,,CHECKED,18:01:22,,CHECKED,18:55:27,,CHECKED,20:10:46,,CHECKED,20:54:46,,$24.4K / $24.4K
SLP_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SOL_USDT,CHECKED,00:46:56,,CHECKED,03:00:29,,WARNING,04:18:25,A2:HIGH,CHECKED,05:08:37,,CHECKED,06:01:58,,CHECKED,06:55:15,,CHECKED,08:16:36,,CHECKED,09:06:50,,CHECKED,10:05:20,,CHECKED,10:58:52,,SKIPPED,,,SKIPPED,,,CHECKED,14:21:32,,CHECKED,15:10:10,,CHECKED,16:04:02,,CHECKED,16:58:12,,CHECKED,18:01:22,,CHECKED,18:55:27,,CHECKED,20:10:46,,CHECKED,20:54:46,,$39.2K / $54.2K
STRK_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SUI_USDT,CHECKED,00:46:56,A4:MEDIUM,CHECKED,03:00:29,A4:MEDIUM,CHECKED,04:18:25,A4:MEDIUM,CHECKED,05:08:37,A4:MEDIUM,CHECKED,06:01:58,A4:MEDIUM,CHECKED,06:55:15,A4:MEDIUM,CHECKED,08:16:36,A4:MEDIUM,CHECKED,09:06:50,A4:MEDIUM,CHECKED,10:05:20,A4:MEDIUM,CHECKED,10:58:52,A4:MEDIUM,SKIPPED,,,SKIPPED,,,CHECKED,14:21:32,A4:MEDIUM,CHECKED,15:10:10,A4:MEDIUM,CHECKED,16:04:02,A4:MEDIUM,WARNING,16:58:12,A3:CRITICAL|A2:HIGH|A2:HIGH,CHECKED,18:01:22,A4:MEDIUM,CHECKED,18:55:27,A4:MEDIUM,CHECKED,20:10:46,A4:MEDIUM,CHECKED,20:54:46,A4:MEDIUM,$3.1K / $3.3K
TON_USDT,CHECKED,00:46:56,A4:MEDIUM,CHECKED,03:00:29,A4:MEDIUM,CHECKED,04:18:25,A4:MEDIUM,CHECKED,05:08:37,A4:MEDIUM,CHECKED,06:01:58,,CHECKED,06:55:15,A4:MEDIUM,CHECKED,08:16:36,A4:MEDIUM,CHECKED,09:06:50,,CHECKED,10:05:20,A4:MEDIUM,CHECKED,10:58:52,A4:MEDIUM,SKIPPED,,,SKIPPED,,,CHECKED,14:21:32,A4:MEDIUM,CHECKED,15:10:10,,CHECKED,16:04:02,,CHECKED,16:58:12,A4:MEDIUM,CHECKED,18:01:22,A4:MEDIUM,CHECKED,18:55:27,A4:MEDIUM,WARNING,20:10:46,A2:HIGH,WARNING,20:54:46,A2:HIGH,$8.1K / $8.1K
TRX_USDT,CHECKED,00:46:56,,CHECKED,03:00:29,,CHECKED,04:18:25,,CHECKED,05:08:37,,CHECKED,06:01:58,,CHECKED,06:55:15,,CHECKED,08:16:36,,WARNING,09:06:50,A3:CRITICAL|A2:HIGH|A2:HIGH,CHECKED,10:05:20,,CHECKED,10:58:52,,SKIPPED,,,SKIPPED,,,CHECKED,14:21:32,,CHECKED,15:10:10,,CHECKED,16:04:02,,CHECKED,16:58:12,,CHECKED,18:01:22,,CHECKED,18:55:27,,CHECKED,20:10:46,,CHECKED,20:54:46,,$496.6K / $496.6K
USDC_USDT,CHECKED,00:46:56,,CHECKED,03:00:29,A2:HIGH,CHECKED,04:18:25,,CHECKED,05:08:37,,CHECKED,06:01:58,,CHECKED,06:55:15,,CHECKED,08:16:36,,CHECKED,09:06:50,,CHECKED,10:05:20,,CHECKED,10:58:52,,SKIPPED,,,SKIPPED,,,CHECKED,14:21:32,,CHECKED,15:10:10,,CHECKED,16:04:02,,CHECKED,16:58:12,,CHECKED,18:01:22,,CHECKED,18:55:27,,CHECKED,20:10:46,,CHECKED,20:54:46,,$701.2K / $701.2K
WIF_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
XLM_USDT,CHECKED,00:46:56,,CHECKED,03:00:29,,CHECKED,04:18:25,,CHECKED,05:08:37,A2:HIGH,CHECKED,06:01:58,,CHECKED,06:55:15,,CHECKED,08:16:36,,WARNING,09:06:50,A2:HIGH|A2:HIGH,CHECKED,10:05:20,,WARNING,10:58:52,A2:HIGH|A2:HIGH|A4:MEDIUM,SKIPPED,,,SKIPPED,,,CHECKED,14:21:32,,CHECKED,15:10:10,,CHECKED,16:04:02,,CHECKED,16:58:12,,CHECKED,18:01:22,,CHECKED,18:55:27,,CHECKED,20:10:46,,CHECKED,20:54:46,,$55.2K / $55.2K
XRP_USDT,CHECKED,00:46:56,,CHECKED,03:00:29,,CHECKED,04:18:25,,CHECKED,05:08:37,,CHECKED,06:01:58,,CHECKED,06:55:15,,CHECKED,08:16:36,,CHECKED,09:06:50,,CHECKED,10:05:20,,CHECKED,10:58:52,,SKIPPED,,,SKIPPED,,,CHECKED,14:21:32,,CHECKED,15:10:10,,CHECKED,16:04:02,,CHECKED,16:58:12,,CHECKED,18:01:22,,CHECKED,18:55:27,,CHECKED,20:10:46,,CHECKED,20:54:46,,$68.4K / $75.4K
XYO_USDT,CHECKED,00:46:56,A4:MEDIUM,CHECKED,03:00:29,A4:MEDIUM,CHECKED,04:18:25,A4:MEDIUM,CHECKED,05:08:37,A4:MEDIUM,CHECKED,06:01:58,A4:MEDIUM,CHECKED,06:55:15,A4:MEDIUM,CHECKED,08:16:36,A4:MEDIUM,CHECKED,09:06:50,A4:MEDIUM,CHECKED,10:05:20,A4:MEDIUM,CHECKED,10:58:52,A4:MEDIUM,SKIPPED,,,SKIPPED,,,CHECKED,14:21:32,A4:MEDIUM,CHECKED,15:10:10,A4:MEDIUM,CHECKED,16:04:02,A4:MEDIUM,WARNING,16:58:12,A3:CRITICAL|A2:HIGH|A2:HIGH,CHECKED,18:01:22,A4:MEDIUM,CHECKED,18:55:27,A4:MEDIUM,CHECKED,20:10:46,A4:MEDIUM,CHECKED,20:54:46,A2:HIGH|A4:MEDIUM,$372 / $449
ZKSync_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BTC_NGN,CHECKED,00:46:56,,CHECKED,03:00:29,,CHECKED,04:18:25,,CHECKED,05:08:37,,CHECKED,06:01:58,,CHECKED,06:55:15,,CHECKED,08:16:36,,CHECKED,09:06:50,,CHECKED,10:05:20,,CHECKED,10:58:52,,SKIPPED,,,SKIPPED,,,CHECKED,14:21:32,,CHECKED,15:10:10,,CHECKED,16:04:02,,CHECKED,16:58:12,,CHECKED,18:01:22,,CHECKED,18:55:27,,CHECKED,20:10:46,,CHECKED,20:54:46,,$2389.95M / $2389.95M
USDT_NGN,CHECKED,00:46:56,A2:HIGH,CHECKED,03:00:29,A2:HIGH,CHECKED,04:18:25,A2:HIGH,CHECKED,05:08:37,A2:HIGH,CHECKED,06:01:58,A2:HIGH,CHECKED,06:55:15,A2:HIGH,CHECKED,08:16:36,A2:HIGH,CHECKED,09:06:50,A2:HIGH,CHECKED,10:05:20,A2:HIGH,CHECKED,10:58:52,A2:HIGH,SKIPPED,,,SKIPPED,,,CHECKED,14:21:32,A2:HIGH,CHECKED,15:10:10,A2:HIGH,CHECKED,16:04:02,A2:HIGH,CHECKED,16:58:12,A2:HIGH,CHECKED,18:01:22,A2:HIGH,CHECKED,18:55:27,A2:HIGH,CHECKED,20:10:46,A2:HIGH,CHECKED,20:54:46,A2:HIGH,$1070.09M / $1533.62M
ETH_NGN,CHECKED,00:46:56,,CHECKED,03:00:29,,CHECKED,04:18:25,,CHECKED,05:08:37,,CHECKED,06:01:58,,CHECKED,06:55:15,,CHECKED,08:16:36,,CHECKED,09:06:50,,CHECKED,10:05:20,,CHECKED,10:58:52,,SKIPPED,,,SKIPPED,,,CHECKED,14:21:32,,CHECKED,15:10:10,,CHECKED,16:04:02,,CHECKED,16:58:12,,CHECKED,18:01:22,,CHECKED,18:55:27,,CHECKED,20:10:46,,CHECKED,20:54:46,,$1387.57M / $1387.57M
