Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),DEPTH
AAVE_USDT,CHECKED,01:47:49,,CHECKED,07:11:10,,$10.6K / $12.6K
AxCNH_USDT,CHECKED,01:47:49,A4:MEDIUM,CHECKED,07:11:10,A4:MEDIUM,$279 / $313
ADA_USDT,CHECKED,01:47:49,,CHECKED,07:11:10,,$25.1K / $37.2K
ALGO_USDT,SKIPPED,,,SKIPPED,,,
BCH_USDT,CHECKED,01:47:49,A4:MEDIUM,SKIPPED,,,$3.4K / $5.4K
BNB_USDT,CHECKED,01:47:49,,CHECKED,07:11:10,,$86.9K / $86.9K
BONK_USDT,SKIPPED,,,SKIPPED,,,
BTC_USDT,CHECKED,01:47:49,,CHECKED,07:11:10,,$1.77M / $1.77M
CAKE_USDT,SKIPPED,,,SKIPPED,,,
CFX_USDT,CHECKED,01:47:49,,CHECKED,07:11:10,,$14.4K / $16.2K
DASH_USDT,CHECKED,01:47:49,,CHECKED,07:11:10,,$30.5K / $32.1K
DOT_USDT,CHECKED,01:47:49,,CHECKED,07:11:10,,$9.5K / $9.5K
DOGE_USDT,CHECKED,01:47:49,A2:HIGH,SKIPPED,,,$30.5K / $30.5K
ETH_USDT,SKIPPED,,,CHECKED,07:11:10,,$174.1K / $217.4K
FARTCOIN_USDT,SKIPPED,,,SKIPPED,,,
FLOKI_USDT,SKIPPED,,,SKIPPED,,,
HYPE_USDT,SKIPPED,,,WARNING,07:11:10,A2:HIGH,$40.9K / $59.3K
LINK_USDT,CHECKED,01:47:49,,CHECKED,07:11:10,,$52.7K / $52.7K
LSK_USDT,SKIPPED,,,SKIPPED,,,
LTC_USDT,CHECKED,01:47:49,,CHECKED,07:11:10,,$129.8K / $129.8K
NEAR_USDT,SKIPPED,,,SKIPPED,,,
NOS_USDT,SKIPPED,,,SKIPPED,,,
PEPE_USDT,CHECKED,01:47:49,,CHECKED,07:11:10,,$16.9K / $26.6K
POL_USDT,CHECKED,01:47:49,,CHECKED,07:11:10,,$101.8K / $110.1K
RENDER_USDT,SKIPPED,,,SKIPPED,,,
Sonic_USDT,SKIPPED,,,SKIPPED,,,
SHIB_USDT,CHECKED,01:47:49,,CHECKED,07:11:10,,$25.2K / $27.3K
SLP_USDT,SKIPPED,,,SKIPPED,,,
SOL_USDT,CHECKED,01:47:49,,CHECKED,07:11:10,,$43.7K / $67.6K
STRK_USDT,SKIPPED,,,SKIPPED,,,
SUI_USDT,CHECKED,01:47:49,,SKIPPED,,,$5.2K / $5.2K
TON_USDT,CHECKED,01:47:49,A4:MEDIUM,CHECKED,07:11:10,,$10.2K / $12.2K
TRX_USDT,CHECKED,01:47:49,,CHECKED,07:11:10,,$455.0K / $455.0K
USDC_USDT,CHECKED,01:47:49,,CHECKED,07:11:10,,$1.06M / $1.58M
WIF_USDT,SKIPPED,,,SKIPPED,,,
XLM_USDT,CHECKED,01:47:49,,CHECKED,07:11:10,,$75.3K / $97.6K
XRP_USDT,CHECKED,01:47:49,,CHECKED,07:11:10,,$71.4K / $71.4K
XYO_USDT,CHECKED,01:47:49,A4:MEDIUM,CHECKED,07:11:10,A4:MEDIUM,$2.1K / $2.6K
ZKSync_USDT,SKIPPED,,,SKIPPED,,,
BTC_NGN,CHECKED,01:47:49,,CHECKED,07:11:10,,$2527.22M / $2527.22M
USDT_NGN,CHECKED,01:47:49,A2:HIGH,CHECKED,07:11:10,A2:HIGH,$245.16M / $245.16M
ETH_NGN,CHECKED,01:47:49,,CHECKED,07:11:10,,$1499.20M / $1499.20M
TRX_NGN,CHECKED,01:47:49,,CHECKED,07:11:10,,$711.60M / $711.60M
XRP_NGN,CHECKED,01:47:49,,CHECKED,07:11:10,,$133.91M / $133.91M
DASH_NGN,CHECKED,01:47:49,,CHECKED,07:11:10,,$76.34M / $76.34M
LTC_NGN,CHECKED,01:47:49,,CHECKED,07:11:10,,$137.54M / $137.54M
SOL_NGN,CHECKED,01:47:49,,CHECKED,07:11:10,,$169.91M / $169.91M
USDC_NGN,CHECKED,01:47:49,A2:HIGH,CHECKED,07:11:10,A2:HIGH,$3160.63M / $3160.63M
USDT_GHS,CHECKED,01:47:49,,CHECKED,07:11:10,,$2.13M / $2.73M
