Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),ISSUES (CHECK 7),DEPTH
AAVE_USDT,CHECKED,00:31:54,,CHECKED,04:56:32,,CHECKED,07:49:40,,CHECKED,10:49:40,,CHECKED,13:08:29,,CHECKED,15:33:58,,CHECKED,17:54:08,,$11.8K / $11.8K
AxCNH_USDT,CHECKED,00:31:54,A4:MEDIUM,CHECKED,04:56:32,A4:MEDIUM,CHECKED,07:49:40,A4:MEDIUM,CHECKED,10:49:40,A4:MEDIUM,CHECKED,13:08:29,A4:MEDIUM,CHECKED,15:33:58,A4:MEDIUM,CHECKED,17:54:08,A4:MEDIUM,$199 / $222
ADA_USDT,CHECKED,00:31:54,,CHECKED,04:56:32,,CHECKED,07:49:40,,CHECKED,10:49:40,,CHECKED,13:08:29,,CHECKED,15:33:58,,WARNING,17:54:08,A2:HIGH,$31.5K / $31.5K
ALGO_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BCH_USDT,CHECKED,00:31:54,,CHECKED,04:56:32,A4:MEDIUM,CHECKED,07:49:40,,CHECKED,10:49:40,,CHECKED,13:08:29,,CHECKED,15:33:58,,CHECKED,17:54:08,,$6.8K / $9.1K
BNB_USDT,CHECKED,00:31:54,,CHECKED,04:56:32,,CHECKED,07:49:40,,CHECKED,10:49:40,,CHECKED,13:08:29,,CHECKED,15:33:58,,CHECKED,17:54:08,,$36.3K / $36.3K
BONK_USDT,CHECKED,00:31:54,,CHECKED,04:56:32,A4:MEDIUM,CHECKED,07:49:40,A4:MEDIUM,CHECKED,10:49:40,A4:MEDIUM,CHECKED,13:08:29,A4:MEDIUM,CHECKED,15:33:58,A4:MEDIUM,CHECKED,17:54:08,A4:MEDIUM,$4.5K / $5.2K
BTC_USDT,CHECKED,00:31:54,,CHECKED,04:56:32,,CHECKED,07:49:40,,CHECKED,10:49:40,,CHECKED,13:08:29,A2:HIGH,CHECKED,15:33:58,,CHECKED,17:54:08,,$777.6K / $1.17M
CAKE_USDT,CHECKED,00:31:54,,CHECKED,04:56:32,,CHECKED,07:49:40,,CHECKED,10:49:40,,CHECKED,13:08:29,,WARNING,15:33:58,A2:HIGH,WARNING,17:54:08,A2:HIGH,$58.2K / $69.5K
CFX_USDT,CHECKED,00:31:54,,CHECKED,04:56:32,,CHECKED,07:49:40,,CHECKED,10:49:40,,CHECKED,13:08:29,,CHECKED,15:33:58,,CHECKED,17:54:08,,$21.0K / $23.6K
DASH_USDT,CHECKED,00:31:54,,CHECKED,04:56:32,,CHECKED,07:49:40,,CHECKED,10:49:40,,CHECKED,13:08:29,,CHECKED,15:33:58,,CHECKED,17:54:08,,$19.1K / $22.2K
DOT_USDT,CHECKED,00:31:54,,CHECKED,04:56:32,,CHECKED,07:49:40,,CHECKED,10:49:40,A2:HIGH|A4:MEDIUM,CHECKED,13:08:29,,CHECKED,15:33:58,,CHECKED,17:54:08,,$8.0K / $9.3K
DOGE_USDT,CHECKED,00:31:54,,CHECKED,04:56:32,,CHECKED,07:49:40,,CHECKED,10:49:40,,CHECKED,13:08:29,,CHECKED,15:33:58,,CHECKED,17:54:08,,$10.4K / $14.0K
ETH_USDT,CHECKED,00:31:54,,CHECKED,04:56:32,,CHECKED,07:49:40,,CHECKED,10:49:40,,CHECKED,13:08:29,,CHECKED,15:33:58,,CHECKED,17:54:08,,$124.6K / $170.9K
FARTCOIN_USDT,CHECKED,00:31:54,,CHECKED,04:56:32,,CHECKED,07:49:40,,CHECKED,10:49:40,,CHECKED,13:08:29,,CHECKED,15:33:58,,CHECKED,17:54:08,,$27.2K / $29.8K
FLOKI_USDT,CHECKED,00:31:54,,CHECKED,04:56:32,,CHECKED,07:49:40,,CHECKED,10:49:40,,CHECKED,13:08:29,,CHECKED,15:33:58,,CHECKED,17:54:08,,$7.6K / $9.3K
HYPE_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
LINK_USDT,CHECKED,00:31:54,,CHECKED,04:56:32,,CHECKED,07:49:40,,CHECKED,10:49:40,,CHECKED,13:08:29,,CHECKED,15:33:58,,CHECKED,17:54:08,,$21.9K / $22.7K
