Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),DEPTH
AAVE_USDT,CHECKED,01:24:35,,CHECKED,05:58:49,,CHECKED,10:56:12,,SKIPPED,,,CHECKED,22:46:38,,$8.7K / $8.7K
AxCNH_USDT,CHECKED,01:24:35,A4:MEDIUM,CHECKED,05:58:49,A4:MEDIUM,CHECKED,10:56:12,A4:MEDIUM,CHECKED,20:27:45,A4:MEDIUM,CHECKED,22:46:38,A4:MEDIUM,$151 / $151
ADA_USDT,CHECKED,01:24:35,,CHECKED,05:58:49,,CHECKED,10:56:12,,CHECKED,20:27:45,,CHECKED,22:46:38,,$27.1K / $29.5K
ALGO_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BCH_USDT,CHECKED,01:24:35,,CHECKED,05:58:49,,CHECKED,10:56:12,,CHECKED,20:27:45,A4:MEDIUM,CHECKED,22:46:38,A2:HIGH,$5.3K / $6.6K
BNB_USDT,CHECKED,01:24:35,,CHECKED,05:58:49,,CHECKED,10:56:12,,CHECKED,20:27:45,,CHECKED,22:46:38,,$46.9K / $47.3K
BONK_USDT,CHECKED,01:24:35,A4:MEDIUM,CHECKED,05:58:49,,CHECKED,10:56:12,A4:MEDIUM,SKIPPED,,,WARNING,22:46:38,A2:HIGH|A4:MEDIUM,$3.2K / $3.2K
BTC_USDT,CHECKED,01:24:35,,CHECKED,05:58:49,,CHECKED,10:56:12,,SKIPPED,,,CHECKED,22:46:38,,$1.62M / $1.95M
CAKE_USDT,CHECKED,01:24:35,,CHECKED,05:58:49,,CHECKED,10:56:12,,SKIPPED,,,CHECKED,22:46:38,,$30.4K / $38.5K
CFX_USDT,CHECKED,01:24:35,,CHECKED,05:58:49,,CHECKED,10:56:12,,CHECKED,20:27:45,,CHECKED,22:46:38,,$13.9K / $14.7K
DASH_USDT,CHECKED,01:24:35,,CHECKED,05:58:49,,CHECKED,10:56:12,,CHECKED,20:27:45,,CHECKED,22:46:38,,$45.6K / $49.3K
DOT_USDT,CHECKED,01:24:35,,CHECKED,05:58:49,,CHECKED,10:56:12,,SKIPPED,,,CHECKED,22:46:38,,$9.4K / $10.8K
DOGE_USDT,CHECKED,01:24:35,,CHECKED,05:58:49,,CHECKED,10:56:12,A2:HIGH,WARNING,20:27:45,A2:HIGH,CHECKED,22:46:38,A2:HIGH,$15.1K / $17.8K
ETH_USDT,CHECKED,01:24:35,,CHECKED,05:58:49,,CHECKED,10:56:12,,CHECKED,20:27:45,A2:HIGH,CHECKED,22:46:38,,$155.7K / $200.4K
FARTCOIN_USDT,CHECKED,01:24:35,,CHECKED,05:58:49,,CHECKED,10:56:12,,CHECKED,20:27:45,,CHECKED,22:46:38,,$6.6K / $10.0K
FLOKI_USDT,CHECKED,01:24:35,,CHECKED,05:58:49,,CHECKED,10:56:12,,CHECKED,20:27:45,,CHECKED,22:46:38,,$8.7K / $9.7K
HYPE_USDT,CHECKED,01:24:35,A2:HIGH,WARNING,05:58:49,A2:HIGH,WARNING,10:56:12,A2:HIGH,CHECKED,20:27:45,A2:HIGH,WARNING,22:46:38,A2:HIGH,$16.9K / $16.9K
LINK_USDT,CHECKED,01:24:35,,CHECKED,05:58:49,,CHECKED,10:56:12,,SKIPPED,,,CHECKED,22:46:38,,$34.1K / $34.1K
LSK_USDT,CHECKED,01:24:35,A4:MEDIUM,CHECKED,05:58:49,A4:MEDIUM,CHECKED,10:56:12,A4:MEDIUM,SKIPPED,,,CHECKED,22:46:38,A4:MEDIUM,$245 / $298
LTC_USDT,CHECKED,01:24:35,,CHECKED,05:58:49,,CHECKED,10:56:12,,CHECKED,20:27:45,,CHECKED,22:46:38,,$43.0K / $43.0K
NEAR_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
NOS_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
PEPE_USDT,CHECKED,01:24:35,,CHECKED,05:58:49,,CHECKED,10:56:12,,SKIPPED,,,CHECKED,22:46:38,,$11.7K / $14.0K
POL_USDT,CHECKED,01:24:35,,CHECKED,05:58:49,,CHECKED,10:56:12,,CHECKED,20:27:45,A2:HIGH,CHECKED,22:46:38,,$89.0K / $93.4K
RENDER_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
Sonic_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SHIB_USDT,CHECKED,01:24:35,,CHECKED,05:58:49,,CHECKED,10:56:12,,CHECKED,20:27:45,,CHECKED,22:46:38,,$33.9K / $42.9K
SLP_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SOL_USDT,CHECKED,01:24:35,,CHECKED,05:58:49,,CHECKED,10:56:12,,CHECKED,20:27:45,,CHECKED,22:46:38,,$32.5K / $32.5K
STRK_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SUI_USDT,CHECKED,01:24:35,A4:MEDIUM,CHECKED,05:58:49,A4:MEDIUM,CHECKED,10:56:12,,CHECKED,20:27:45,A4:MEDIUM,CHECKED,22:46:38,A4:MEDIUM,$2.8K / $3.7K
TON_USDT,CHECKED,01:24:35,A4:MEDIUM,CHECKED,05:58:49,A4:MEDIUM,CHECKED,10:56:12,A4:MEDIUM,CHECKED,20:27:45,A4:MEDIUM,CHECKED,22:46:38,A4:MEDIUM,$1.9K / $2.6K
TRX_USDT,CHECKED,01:24:35,,CHECKED,05:58:49,,CHECKED,10:56:12,,CHECKED,20:27:45,A2:HIGH,CHECKED,22:46:38,,$461.3K / $461.3K
USDC_USDT,CHECKED,01:24:35,,CHECKED,05:58:49,,CHECKED,10:56:12,,CHECKED,20:27:45,,CHECKED,22:46:38,A2:HIGH,$1.07M / $2.02M
WIF_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
XLM_USDT,CHECKED,01:24:35,,CHECKED,05:58:49,,CHECKED,10:56:12,,SKIPPED,,,CHECKED,22:46:38,,$29.9K / $29.9K
XRP_USDT,CHECKED,01:24:35,,CHECKED,05:58:49,,CHECKED,10:56:12,,CHECKED,20:27:45,,CHECKED,22:46:38,,$87.6K / $87.6K
