Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),ISSUES (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),ISSUES (CHECK 8),DEPTH
AAVE_USDT,CHECKED,00:44:37,,CHECKED,05:32:46,,CHECKED,09:49:57,,CHECKED,13:15:29,,CHECKED,16:10:57,,CHECKED,18:17:41,,CHECKED,19:55:40,,CHECKED,21:50:46,,$7.5K / $7.5K
AxCNH_USDT,CHECKED,00:44:37,A4:MEDIUM,CHECKED,05:32:46,A4:MEDIUM,CHECKED,09:49:57,A4:MEDIUM,CHECKED,13:15:29,A4:MEDIUM,CHECKED,16:10:57,A4:MEDIUM,CHECKED,18:17:41,A4:MEDIUM,CHECKED,19:55:40,A4:MEDIUM,CHECKED,21:50:46,A4:MEDIUM,$130 / $145
ADA_USDT,CHECKED,00:44:37,,CHECKED,05:32:46,,CHECKED,09:49:57,,CHECKED,13:15:29,,CHECKED,16:10:57,,CHECKED,18:17:41,,CHECKED,19:55:40,,CHECKED,21:50:46,,$22.3K / $29.1K
ALGO_USDT,CHECKED,00:44:37,,CHECKED,05:32:46,,CHECKED,09:49:57,,CHECKED,13:15:29,,CHECKED,16:10:57,,CHECKED,18:17:41,,CHECKED,19:55:40,,CHECKED,21:50:46,,$24.1K / $25.7K
BCH_USDT,CHECKED,00:44:37,A4:MEDIUM,CHECKED,05:32:46,A4:MEDIUM,CHECKED,09:49:57,,CHECKED,13:15:29,,CHECKED,16:10:57,,CHECKED,18:17:41,,CHECKED,19:55:40,A4:MEDIUM,CHECKED,21:50:46,A4:MEDIUM,$4.2K / $5.3K
BNB_USDT,SKIPPED,,,CHECKED,05:32:46,,CHECKED,09:49:57,,CHECKED,13:15:29,,CHECKED,16:10:57,,CHECKED,18:17:41,,CHECKED,19:55:40,,CHECKED,21:50:46,,$44.4K / $44.4K
BONK_USDT,CHECKED,00:44:37,,CHECKED,05:32:46,A4:MEDIUM,CHECKED,09:49:57,,CHECKED,13:15:29,A4:MEDIUM,CHECKED,16:10:57,,CHECKED,18:17:41,A4:MEDIUM,CHECKED,19:55:40,,CHECKED,21:50:46,,$7.6K / $8.1K
BTC_USDT,CHECKED,00:44:37,,CHECKED,05:32:46,,CHECKED,09:49:57,,CHECKED,13:15:29,,CHECKED,16:10:57,,CHECKED,18:17:41,,CHECKED,19:55:40,,CHECKED,21:50:46,,$1.44M / $1.79M
CAKE_USDT,CHECKED,00:44:37,,WARNING,05:32:46,A3:CRITICAL|A2:HIGH,CHECKED,09:49:57,,CHECKED,13:15:29,,CHECKED,16:10:57,,CHECKED,18:17:41,,CHECKED,19:55:40,,CHECKED,21:50:46,,$13.9K / $21.2K
CFX_USDT,CHECKED,00:44:37,,CHECKED,05:32:46,,CHECKED,09:49:57,,CHECKED,13:15:29,,CHECKED,16:10:57,,CHECKED,18:17:41,,CHECKED,19:55:40,,CHECKED,21:50:46,,$8.3K / $9.3K
DASH_USDT,CHECKED,00:44:37,,CHECKED,05:32:46,,CHECKED,09:49:57,,CHECKED,13:15:29,,CHECKED,16:10:57,,CHECKED,18:17:41,,CHECKED,19:55:40,,CHECKED,21:50:46,,$31.1K / $34.5K
DOT_USDT,CHECKED,00:44:37,,CHECKED,05:32:46,,CHECKED,09:49:57,,CHECKED,13:15:29,,CHECKED,16:10:57,,CHECKED,18:17:41,,CHECKED,19:55:40,,CHECKED,21:50:46,,$8.8K / $9.4K
DOGE_USDT,CHECKED,00:44:37,,CHECKED,05:32:46,,CHECKED,09:49:57,,CHECKED,13:15:29,,CHECKED,16:10:57,,CHECKED,18:17:41,,CHECKED,19:55:40,,CHECKED,21:50:46,,$9.7K / $12.1K
ETH_USDT,CHECKED,00:44:37,,CHECKED,05:32:46,,CHECKED,09:49:57,,CHECKED,13:15:29,,CHECKED,16:10:57,,CHECKED,18:17:41,,CHECKED,19:55:40,,CHECKED,21:50:46,,$96.2K / $108.8K
FARTCOIN_USDT,CHECKED,00:44:37,,CHECKED,05:32:46,,CHECKED,09:49:57,,CHECKED,13:15:29,,CHECKED,16:10:57,,CHECKED,18:17:41,,CHECKED,19:55:40,,CHECKED,21:50:46,,$20.0K / $20.7K
FLOKI_USDT,CHECKED,00:44:37,,CHECKED,05:32:46,,CHECKED,09:49:57,,CHECKED,13:15:29,,CHECKED,16:10:57,,CHECKED,18:17:41,,CHECKED,19:55:40,,WARNING,21:50:46,A2:HIGH|A2:HIGH,$17.5K / $17.5K
HYPE_USDT,CHECKED,00:44:37,A2:HIGH|A4:MEDIUM,WARNING,05:32:46,A2:HIGH|A4:MEDIUM,WARNING,09:49:57,A2:HIGH|A4:MEDIUM,WARNING,13:15:29,A2:HIGH|A4:MEDIUM,WARNING,16:10:57,A2:HIGH|A4:MEDIUM,WARNING,18:17:41,A2:HIGH|A4:MEDIUM,WARNING,19:55:40,A2:HIGH|A4:MEDIUM,WARNING,21:50:46,A2:HIGH|A4:MEDIUM,$698 / $1.0K
LINK_USDT,CHECKED,00:44:37,,CHECKED,05:32:46,,WARNING,09:49:57,A2:HIGH|A2:HIGH,CHECKED,13:15:29,,CHECKED,16:10:57,A2:HIGH,CHECKED,18:17:41,,CHECKED,19:55:40,,CHECKED,21:50:46,,$18.0K / $32.6K
LSK_USDT,CHECKED,00:44:37,,CHECKED,05:32:46,,CHECKED,09:49:57,,CHECKED,13:15:29,A4:MEDIUM,CHECKED,16:10:57,,CHECKED,18:17:41,,CHECKED,19:55:40,,CHECKED,21:50:46,,$6.0K / $7.5K
LTC_USDT,CHECKED,00:44:37,,CHECKED,05:32:46,,WARNING,09:49:57,A2:HIGH|A2:HIGH,CHECKED,13:15:29,,CHECKED,16:10:57,,CHECKED,18:17:41,,CHECKED,19:55:40,,CHECKED,21:50:46,,$86.3K / $86.3K
