Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),DEPTH
AAVE_USDT,CHECKED,02:40:36,A2:HIGH|A4:MEDIUM,$4.4K / $4.4K
AxCNH_USDT,WARNING,02:40:36,A3:CRITICAL|A2:HIGH,$0 / $0
ADA_USDT,CHECKED,02:40:36,,$21.8K / $27.9K
ALGO_USDT,CHECKED,02:40:36,,$21.4K / $22.3K
BCH_USDT,CHECKED,02:40:36,A4:MEDIUM,$4.5K / $5.3K
BNB_USDT,CHECKED,02:40:36,,$38.0K / $38.0K
BONK_USDT,CHECKED,02:40:36,A4:MEDIUM,$4.7K / $5.2K
BTC_USDT,CHECKED,02:40:36,,$946.9K / $1.15M
CAKE_USDT,CHECKED,02:40:36,,$32.7K / $39.1K
CFX_USDT,CHECKED,02:40:36,,$14.7K / $15.4K
DASH_USDT,CHECKED,02:40:36,,$12.6K / $13.8K
DOT_USDT,WARNING,02:40:36,A3:CRITICAL|A2:HIGH,$0 / $0
DOGE_USDT,CHECKED,02:40:36,,$8.2K / $11.3K
ETH_USDT,CHECKED,02:40:36,,$151.8K / $151.8K
FARTCOIN_USDT,CHECKED,02:40:36,,$13.7K / $15.2K
FLOKI_USDT,WARNING,02:40:36,A3:CRITICAL|A2:HIGH,$0 / $0
HYPE_USDT,WARNING,02:40:36,A2:HIGH|A4:MEDIUM,$1.7K / $2.2K
LINK_USDT,CHECKED,02:40:36,,$20.9K / $24.5K
LSK_USDT,CHECKED,02:40:36,A4:MEDIUM,$4.9K / $6.5K
LTC_USDT,CHECKED,02:40:36,,$48.9K / $48.9K
NEAR_USDT,SKIPPED,,,
NOS_USDT,SKIPPED,,,
PEPE_USDT,CHECKED,02:40:36,,$14.0K / $19.5K
POL_USDT,CHECKED,02:40:36,,$70.4K / $92.3K
RENDER_USDT,CHECKED,02:40:36,A4:MEDIUM,$4.4K / $5.1K
Sonic_USDT,SKIPPED,,,
SHIB_USDT,CHECKED,02:40:36,,$22.3K / $22.3K
SLP_USDT,CHECKED,02:40:36,,$5.4K / $5.8K
SOL_USDT,CHECKED,02:40:36,,$22.5K / $30.0K
STRK_USDT,SKIPPED,,,
SUI_USDT,CHECKED,02:40:36,A4:MEDIUM,$3.3K / $3.8K
TON_USDT,CHECKED,02:40:36,A4:MEDIUM,$2.2K / $3.2K
TRX_USDT,CHECKED,02:40:36,,$453.9K / $453.9K
USDC_USDT,CHECKED,02:40:36,,$1.45M / $1.45M
WIF_USDT,CHECKED,02:40:36,A4:MEDIUM,$4.4K / $5.3K
XLM_USDT,CHECKED,02:40:36,,$122.0K / $122.0K
XRP_USDT,CHECKED,02:40:36,,$51.0K / $51.0K
XYO_USDT,CHECKED,02:40:36,A4:MEDIUM,$1.7K / $2.0K
ZKSync_USDT,SKIPPED,,,
BTC_NGN,CHECKED,02:40:36,,$1670.46M / $1670.46M
USDT_NGN,CHECKED,02:40:36,,$2521.20M / $2521.20M
ETH_NGN,CHECKED,02:40:36,,$1030.41M / $1030.41M
TRX_NGN,CHECKED,02:40:36,,$459.03M / $459.03M
XRP_NGN,CHECKED,02:40:36,,$87.39M / $87.39M
DASH_NGN,CHECKED,02:40:36,,$28.78M / $28.78M
LTC_NGN,CHECKED,02:40:36,,$122.94M / $122.94M
SOL_NGN,CHECKED,02:40:36,,$105.08M / $105.08M
USDC_NGN,CHECKED,02:40:36,A2:HIGH,$337.98M / $1661.12M
USDT_GHS,CHECKED,02:40:36,,$2.41M / $3.05M
