Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),DEPTH
AAVE_USDT,CHECKED,06:34:01,,$10.7K / $11.2K
AxCNH_USDT,CHECKED,06:34:01,A4:MEDIUM,$173 / $201
ADA_USDT,CHECKED,06:34:01,,$23.6K / $33.1K
ALGO_USDT,SKIPPED,,,
BCH_USDT,CHECKED,06:34:01,A4:MEDIUM,$4.5K / $6.7K
BNB_USDT,CHECKED,06:34:01,,$51.3K / $51.3K
BONK_USDT,CHECKED,06:34:01,A4:MEDIUM,$3.0K / $3.2K
BTC_USDT,CHECKED,06:34:01,,$1.01M / $1.30M
CAKE_USDT,CHECKED,06:34:01,,$20.2K / $24.1K
CFX_USDT,CHECKED,06:34:01,,$16.2K / $18.6K
DASH_USDT,CHECKED,06:34:01,,$19.8K / $21.2K
DOT_USDT,CHECKED,06:34:01,,$7.1K / $7.5K
DOGE_USDT,CHECKED,06:34:01,,$9.7K / $13.4K
ETH_USDT,CHECKED,06:34:01,,$87.3K / $174.4K
FARTCOIN_USDT,CHECKED,06:34:01,,$36.0K / $40.0K
FLOKI_USDT,CHECKED,06:34:01,,$8.4K / $9.7K
HYPE_USDT,WARNING,06:34:01,A2:HIGH,$32.3K / $36.0K
LINK_USDT,CHECKED,06:34:01,,$35.2K / $35.2K
LSK_USDT,CHECKED,06:34:01,A4:MEDIUM,$4.0K / $5.0K
LTC_USDT,CHECKED,06:34:01,,$36.4K / $51.6K
NEAR_USDT,SKIPPED,,,
NOS_USDT,SKIPPED,,,
PEPE_USDT,CHECKED,06:34:01,,$13.4K / $16.8K
POL_USDT,CHECKED,06:34:01,,$71.8K / $71.8K
RENDER_USDT,SKIPPED,,,
Sonic_USDT,SKIPPED,,,
SHIB_USDT,CHECKED,06:34:01,,$33.7K / $33.7K
SLP_USDT,SKIPPED,,,
SOL_USDT,CHECKED,06:34:01,,$88.5K / $115.1K
STRK_USDT,SKIPPED,,,
SUI_USDT,CHECKED,06:34:01,A4:MEDIUM,$3.4K / $3.8K
TON_USDT,CHECKED,06:34:01,A4:MEDIUM,$1.2K / $1.8K
TRX_USDT,CHECKED,06:34:01,,$374.3K / $374.3K
USDC_USDT,CHECKED,06:34:01,,$482.6K / $750.5K
WIF_USDT,SKIPPED,,,
XLM_USDT,CHECKED,06:34:01,,$58.8K / $58.8K
XRP_USDT,CHECKED,06:34:01,,$92.0K / $92.0K
XYO_USDT,CHECKED,06:34:01,A4:MEDIUM,$1.3K / $1.8K
ZKSync_USDT,SKIPPED,,,
BTC_NGN,CHECKED,06:34:01,,$2460.75M / $2460.75M
USDT_NGN,CHECKED,06:34:01,A2:HIGH,$631.85M / $673.38M
ETH_NGN,CHECKED,06:34:01,,$1571.48M / $1571.48M
TRX_NGN,CHECKED,06:34:01,,$594.69M / $594.69M
XRP_NGN,CHECKED,06:34:01,,$137.91M / $137.91M
DASH_NGN,CHECKED,06:34:01,,$31.18M / $31.18M
LTC_NGN,CHECKED,06:34:01,,$142.91M / $142.91M
SOL_NGN,CHECKED,06:34:01,,$160.12M / $160.12M
USDC_NGN,CHECKED,06:34:01,,$3155.82M / $3155.82M
USDT_GHS,CHECKED,06:34:01,,$2.75M / $3.30M
