Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),DEPTH
AAVE_USDT,CHECKED,02:22:34,,CHECKED,07:05:25,,CHECKED,12:16:13,,CHECKED,15:36:29,,$11.7K / $11.7K
AxCNH_USDT,CHECKED,02:22:34,A4:MEDIUM,CHECKED,07:05:25,A4:MEDIUM,SKIPPED,,,CHECKED,15:36:29,A4:MEDIUM,$274 / $306
ADA_USDT,CHECKED,02:22:34,,WARNING,07:05:25,A2:HIGH,CHECKED,12:16:13,,CHECKED,15:36:29,,$50.2K / $59.8K
ALGO_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BCH_USDT,CHECKED,02:22:34,,CHECKED,07:05:25,,CHECKED,12:16:13,,CHECKED,15:36:29,A4:MEDIUM,$4.8K / $6.2K
BNB_USDT,SKIPPED,,,CHECKED,07:05:25,,CHECKED,12:16:13,,CHECKED,15:36:29,,$48.0K / $48.0K
BONK_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BTC_USDT,CHECKED,02:22:34,A2:HIGH,CHECKED,07:05:25,,CHECKED,12:16:13,,CHECKED,15:36:29,,$2.26M / $2.81M
CAKE_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
CFX_USDT,CHECKED,02:22:34,,CHECKED,07:05:25,,CHECKED,12:16:13,,CHECKED,15:36:29,,$8.5K / $9.9K
DASH_USDT,CHECKED,02:22:34,,CHECKED,07:05:25,,CHECKED,12:16:13,,CHECKED,15:36:29,,$35.7K / $44.6K
DOT_USDT,CHECKED,02:22:34,,CHECKED,07:05:25,,SKIPPED,,,CHECKED,15:36:29,,$14.1K / $14.1K
DOGE_USDT,CHECKED,02:22:34,,CHECKED,07:05:25,,CHECKED,12:16:13,,CHECKED,15:36:29,,$16.5K / $21.3K
ETH_USDT,CHECKED,02:22:34,,CHECKED,07:05:25,,CHECKED,12:16:13,,CHECKED,15:36:29,,$145.9K / $183.0K
