Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),DEPTH
AAVE_USDT,CHECKED,01:28:07,,$17.2K / $17.2K
AxCNH_USDT,CHECKED,01:28:07,A4:MEDIUM,$289 / $322
ADA_USDT,CHECKED,01:28:07,,$38.3K / $48.6K
ALGO_USDT,SKIPPED,,,
BCH_USDT,CHECKED,01:28:07,,$6.8K / $8.6K
BNB_USDT,CHECKED,01:28:07,,$90.6K / $90.6K
BONK_USDT,CHECKED,01:28:07,A4:MEDIUM,$3.8K / $4.0K
BTC_USDT,CHECKED,01:28:07,,$561.4K / $646.6K
CAKE_USDT,CHECKED,01:28:07,,$46.5K / $63.7K
CFX_USDT,CHECKED,01:28:07,,$21.3K / $23.6K
DASH_USDT,CHECKED,01:28:07,,$38.6K / $40.5K
DOT_USDT,CHECKED,01:28:07,,$12.9K / $12.9K
DOGE_USDT,CHECKED,01:28:07,,$21.1K / $26.7K
ETH_USDT,WARNING,01:28:07,A3:CRITICAL|A2:HIGH,$0 / $0
FARTCOIN_USDT,CHECKED,01:28:07,,$24.1K / $26.8K
FLOKI_USDT,CHECKED,01:28:07,,$10.2K / $14.6K
HYPE_USDT,CHECKED,01:28:07,A2:HIGH,$23.5K / $23.5K
LINK_USDT,CHECKED,01:28:07,,$43.0K / $43.0K
LSK_USDT,CHECKED,01:28:07,A4:MEDIUM,$278 / $464
LTC_USDT,CHECKED,01:28:07,,$78.1K / $78.1K
NEAR_USDT,SKIPPED,,,
NOS_USDT,SKIPPED,,,
PEPE_USDT,CHECKED,01:28:07,,$17.4K / $19.3K
POL_USDT,CHECKED,01:28:07,,$123.6K / $123.6K
RENDER_USDT,SKIPPED,,,
Sonic_USDT,SKIPPED,,,
SHIB_USDT,CHECKED,01:28:07,,$41.9K / $43.4K
SLP_USDT,SKIPPED,,,
SOL_USDT,CHECKED,01:28:07,,$77.5K / $108.0K
STRK_USDT,SKIPPED,,,
SUI_USDT,CHECKED,01:28:07,A4:MEDIUM,$2.9K / $2.9K
TON_USDT,CHECKED,01:28:07,,$5.1K / $7.7K
TRX_USDT,CHECKED,01:28:07,,$671.2K / $671.2K
USDC_USDT,CHECKED,01:28:07,,$712.8K / $1.10M
WIF_USDT,SKIPPED,,,
XLM_USDT,CHECKED,01:28:07,,$112.0K / $112.0K
XRP_USDT,CHECKED,01:28:07,,$92.5K / $92.5K
XYO_USDT,CHECKED,01:28:07,A4:MEDIUM,$1.6K / $2.1K
ZKSync_USDT,SKIPPED,,,
BTC_NGN,CHECKED,01:28:07,,$4812.44M / $4812.44M
USDT_NGN,CHECKED,01:28:07,A2:HIGH,$3458.49M / $5795.27M
ETH_NGN,CHECKED,01:28:07,,$1471.62M / $1471.62M
TRX_NGN,CHECKED,01:28:07,,$1036.49M / $1036.49M
XRP_NGN,CHECKED,01:28:07,,$257.86M / $257.86M
DASH_NGN,CHECKED,01:28:07,,$76.08M / $76.08M
LTC_NGN,CHECKED,01:28:07,,$176.78M / $176.78M
SOL_NGN,CHECKED,01:28:07,,$172.51M / $172.51M
USDC_NGN,CHECKED,01:28:07,,$4110.25M / $4110.25M
USDT_GHS,CHECKED,01:28:07,,$4.17M / $5.43M
