Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),DEPTH
AAVE_USDT,CHECKED,02:15:44,,$11.0K / $11.0K
AxCNH_USDT,CHECKED,02:15:44,A4:MEDIUM,$156 / $182
ADA_USDT,CHECKED,02:15:44,,$32.8K / $42.6K
ALGO_USDT,SKIPPED,,,
BCH_USDT,CHECKED,02:15:44,A4:MEDIUM,$3.9K / $6.1K
BNB_USDT,CHECKED,02:15:44,,$50.5K / $50.5K
BONK_USDT,CHECKED,02:15:44,A4:MEDIUM,$1.7K / $2.2K
BTC_USDT,CHECKED,02:15:44,,$1.19M / $1.52M
CAKE_USDT,CHECKED,02:15:44,,$35.6K / $43.6K
CFX_USDT,CHECKED,02:15:44,,$12.7K / $20.1K
DASH_USDT,CHECKED,02:15:44,,$32.9K / $35.8K
DOT_USDT,CHECKED,02:15:44,,$6.0K / $9.2K
DOGE_USDT,CHECKED,02:15:44,,$16.8K / $21.2K
ETH_USDT,CHECKED,02:15:44,,$145.1K / $202.6K
FARTCOIN_USDT,CHECKED,02:15:44,,$27.8K / $29.6K
FLOKI_USDT,CHECKED,02:15:44,,$7.4K / $9.3K
HYPE_USDT,WARNING,02:15:44,A2:HIGH|A2:HIGH,$67.7K / $67.7K
LINK_USDT,CHECKED,02:15:44,,$43.8K / $43.8K
LSK_USDT,CHECKED,02:15:44,A4:MEDIUM,$365 / $508
LTC_USDT,CHECKED,02:15:44,,$60.9K / $60.9K
NEAR_USDT,SKIPPED,,,
NOS_USDT,SKIPPED,,,
PEPE_USDT,CHECKED,02:15:44,,$30.5K / $35.0K
POL_USDT,CHECKED,02:15:44,,$136.7K / $142.1K
RENDER_USDT,SKIPPED,,,
Sonic_USDT,SKIPPED,,,
SHIB_USDT,CHECKED,02:15:44,,$19.7K / $24.0K
SLP_USDT,SKIPPED,,,
SOL_USDT,WARNING,02:15:44,A2:HIGH,$103.7K / $103.7K
STRK_USDT,SKIPPED,,,
SUI_USDT,CHECKED,02:15:44,,$5.4K / $5.9K
TON_USDT,CHECKED,02:15:44,,$5.9K / $6.7K
TRX_USDT,CHECKED,02:15:44,,$562.4K / $562.4K
USDC_USDT,CHECKED,02:15:44,,$886.3K / $886.3K
WIF_USDT,SKIPPED,,,
XLM_USDT,CHECKED,02:15:44,,$114.1K / $114.1K
XRP_USDT,CHECKED,02:15:44,,$89.4K / $89.4K
XYO_USDT,CHECKED,02:15:44,A4:MEDIUM,$1.9K / $2.2K
ZKSync_USDT,SKIPPED,,,
BTC_NGN,CHECKED,02:15:44,,$4722.19M / $4722.19M
USDT_NGN,CHECKED,02:15:44,A2:HIGH,$3678.27M / $3984.64M
ETH_NGN,CHECKED,02:15:44,,$1654.50M / $1654.50M
TRX_NGN,CHECKED,02:15:44,,$334.14M / $334.14M
XRP_NGN,CHECKED,02:15:44,,$117.32M / $117.32M
DASH_NGN,CHECKED,02:15:44,,$62.79M / $62.79M
LTC_NGN,CHECKED,02:15:44,,$277.11M / $277.11M
SOL_NGN,CHECKED,02:15:44,,$165.39M / $165.39M
USDC_NGN,CHECKED,02:15:44,,$3304.16M / $3304.16M
USDT_GHS,CHECKED,02:15:44,,$4.32M / $5.37M
