Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),DEPTH
AAVE_USDT,CHECKED,01:27:00,,CHECKED,05:57:38,,CHECKED,10:58:17,,$12.1K / $12.1K
AxCNH_USDT,CHECKED,01:27:00,A4:MEDIUM,CHECKED,05:57:38,A4:MEDIUM,CHECKED,10:58:17,A4:MEDIUM,$263 / $303
ADA_USDT,CHECKED,01:27:00,,CHECKED,05:57:38,,CHECKED,10:58:17,,$43.5K / $57.9K
ALGO_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BCH_USDT,CHECKED,01:27:00,,CHECKED,05:57:38,,CHECKED,10:58:17,,$6.2K / $8.3K
BNB_USDT,CHECKED,01:27:00,,CHECKED,05:57:38,,CHECKED,10:58:17,,$44.1K / $44.1K
BONK_USDT,CHECKED,01:27:00,,CHECKED,05:57:38,A4:MEDIUM,CHECKED,10:58:17,,$5.1K / $5.8K
BTC_USDT,CHECKED,01:27:00,,CHECKED,05:57:38,,CHECKED,10:58:17,,$1.61M / $1.61M
CAKE_USDT,CHECKED,01:27:00,,CHECKED,05:57:38,,CHECKED,10:58:17,,$44.1K / $62.4K
CFX_USDT,CHECKED,01:27:00,,CHECKED,05:57:38,,CHECKED,10:58:17,,$25.2K / $27.1K
DASH_USDT,CHECKED,01:27:00,,CHECKED,05:57:38,,CHECKED,10:58:17,,$57.1K / $62.3K
DOT_USDT,CHECKED,01:27:00,,CHECKED,05:57:38,,CHECKED,10:58:17,,$10.9K / $10.9K
DOGE_USDT,CHECKED,01:27:00,,CHECKED,05:57:38,,CHECKED,10:58:17,,$26.0K / $36.4K
ETH_USDT,CHECKED,01:27:00,,CHECKED,05:57:38,,CHECKED,10:58:17,,$302.6K / $398.9K
FARTCOIN_USDT,CHECKED,01:27:00,,CHECKED,05:57:38,,CHECKED,10:58:17,,$26.9K / $31.2K
FLOKI_USDT,CHECKED,01:27:00,,CHECKED,05:57:38,,CHECKED,10:58:17,,$11.8K / $14.8K
HYPE_USDT,CHECKED,01:27:00,A2:HIGH,WARNING,05:57:38,A2:HIGH,CHECKED,10:58:17,A2:HIGH,$20.2K / $32.8K
