Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),DEPTH
AAVE_USDT,CHECKED,00:36:41,,CHECKED,05:50:23,,$12.7K / $12.7K
AxCNH_USDT,CHECKED,00:36:41,A4:MEDIUM,CHECKED,05:50:23,A4:MEDIUM,$126 / $135
ADA_USDT,CHECKED,00:36:41,,CHECKED,05:50:23,,$38.6K / $47.3K
ALGO_USDT,WARNING,00:36:41,A3:CRITICAL|A2:HIGH,CHECKED,05:50:23,,$27.0K / $30.2K
BCH_USDT,CHECKED,00:36:41,,CHECKED,05:50:23,,$5.2K / $6.4K
BNB_USDT,CHECKED,00:36:41,,WARNING,05:50:23,A3:CRITICAL|A2:HIGH,$0 / $0
BONK_USDT,CHECKED,00:36:41,,CHECKED,05:50:23,,$7.8K / $9.1K
BTC_USDT,CHECKED,00:36:41,,CHECKED,05:50:23,,$1.07M / $1.44M
CAKE_USDT,CHECKED,00:36:41,,CHECKED,05:50:23,,$38.0K / $51.2K
CFX_USDT,CHECKED,00:36:41,,CHECKED,05:50:23,,$17.6K / $17.6K
DASH_USDT,CHECKED,00:36:41,,CHECKED,05:50:23,,$27.1K / $30.1K
DOT_USDT,CHECKED,00:36:41,,CHECKED,05:50:23,,$12.3K / $12.8K
DOGE_USDT,CHECKED,00:36:41,,CHECKED,05:50:23,,$15.0K / $19.4K
ETH_USDT,CHECKED,00:36:41,,CHECKED,05:50:23,,$106.5K / $125.8K
FARTCOIN_USDT,CHECKED,00:36:41,,CHECKED,05:50:23,,$16.1K / $18.4K
FLOKI_USDT,CHECKED,00:36:41,,CHECKED,05:50:23,,$9.4K / $10.4K
HYPE_USDT,WARNING,00:36:41,A2:HIGH|A4:MEDIUM,WARNING,05:50:23,A2:HIGH|A4:MEDIUM,$1.6K / $2.1K
LINK_USDT,CHECKED,00:36:41,,CHECKED,05:50:23,,$20.2K / $26.1K
LSK_USDT,CHECKED,00:36:41,,CHECKED,05:50:23,,$8.5K / $10.1K
LTC_USDT,CHECKED,00:36:41,,CHECKED,05:50:23,,$88.8K / $88.8K
NEAR_USDT,SKIPPED,,,SKIPPED,,,
NOS_USDT,SKIPPED,,,SKIPPED,,,
PEPE_USDT,CHECKED,00:36:41,,CHECKED,05:50:23,,$20.5K / $24.3K
POL_USDT,CHECKED,00:36:41,,CHECKED,05:50:23,,$108.5K / $137.8K
RENDER_USDT,CHECKED,00:36:41,,CHECKED,05:50:23,,$9.2K / $10.6K
Sonic_USDT,SKIPPED,,,SKIPPED,,,
SHIB_USDT,CHECKED,00:36:41,,CHECKED,05:50:23,,$23.3K / $27.8K
SLP_USDT,CHECKED,00:36:41,,CHECKED,05:50:23,A4:MEDIUM,$4.5K / $4.5K
SOL_USDT,WARNING,00:36:41,A2:HIGH,CHECKED,05:50:23,,$23.9K / $28.5K
STRK_USDT,SKIPPED,,,SKIPPED,,,
SUI_USDT,CHECKED,00:36:41,A4:MEDIUM,CHECKED,05:50:23,A4:MEDIUM,$3.6K / $3.6K
TON_USDT,CHECKED,00:36:41,A4:MEDIUM,CHECKED,05:50:23,A4:MEDIUM,$3.2K / $4.2K
TRX_USDT,CHECKED,00:36:41,,CHECKED,05:50:23,,$679.6K / $679.6K
USDC_USDT,CHECKED,00:36:41,,CHECKED,05:50:23,,$1.63M / $2.52M
WIF_USDT,CHECKED,00:36:41,A4:MEDIUM,CHECKED,05:50:23,A4:MEDIUM,$4.5K / $4.7K
XLM_USDT,CHECKED,00:36:41,,CHECKED,05:50:23,,$77.9K / $77.9K
XRP_USDT,CHECKED,00:36:41,A2:HIGH,CHECKED,05:50:23,,$66.2K / $66.2K
XYO_USDT,CHECKED,00:36:41,A4:MEDIUM,CHECKED,05:50:23,A4:MEDIUM,$750 / $995
ZKSync_USDT,SKIPPED,,,SKIPPED,,,
BTC_NGN,CHECKED,00:36:41,,CHECKED,05:50:23,,$2007.33M / $2007.33M
USDT_NGN,CHECKED,00:36:41,A2:HIGH,CHECKED,05:50:23,A2:HIGH,$126.62M / $126.62M
ETH_NGN,CHECKED,00:36:41,,CHECKED,05:50:23,,$2167.26M / $2167.26M
TRX_NGN,CHECKED,00:36:41,,CHECKED,05:50:23,,$491.53M / $491.53M
XRP_NGN,CHECKED,00:36:41,,CHECKED,05:50:23,,$127.35M / $127.35M
DASH_NGN,CHECKED,00:36:41,,CHECKED,05:50:23,,$41.91M / $41.91M
LTC_NGN,CHECKED,00:36:41,,CHECKED,05:50:23,,$244.68M / $244.68M
SOL_NGN,CHECKED,00:36:41,,CHECKED,05:50:23,,$104.23M / $104.23M
USDC_NGN,CHECKED,00:36:41,A2:HIGH,CHECKED,05:50:23,,$2491.96M / $2491.96M
USDT_GHS,CHECKED,00:36:41,,CHECKED,05:50:23,,$4.68M / $5.76M
