Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),DEPTH
AAVE_USDT,CHECKED,00:33:52,,CHECKED,05:43:06,,CHECKED,09:44:07,,$6.7K / $6.7K
AxCNH_USDT,CHECKED,00:33:52,A4:MEDIUM,CHECKED,05:43:06,A4:MEDIUM,CHECKED,09:44:07,A4:MEDIUM,$155 / $171
ADA_USDT,CHECKED,00:33:52,,CHECKED,05:43:06,,CHECKED,09:44:07,,$14.6K / $18.2K
ALGO_USDT,CHECKED,00:33:52,,CHECKED,05:43:06,,CHECKED,09:44:07,,$34.2K / $36.9K
BCH_USDT,CHECKED,00:33:52,A4:MEDIUM,CHECKED,05:43:06,,CHECKED,09:44:07,,$5.7K / $7.2K
BNB_USDT,CHECKED,00:33:52,,CHECKED,05:43:06,,CHECKED,09:44:07,,$33.2K / $33.2K
BONK_USDT,CHECKED,00:33:52,A4:MEDIUM,CHECKED,05:43:06,,CHECKED,09:44:07,,$6.9K / $7.4K
BTC_USDT,CHECKED,00:33:52,,CHECKED,05:43:06,,CHECKED,09:44:07,,$917.1K / $1.18M
CAKE_USDT,CHECKED,00:33:52,,CHECKED,05:43:06,,CHECKED,09:44:07,,$17.8K / $24.1K
CFX_USDT,CHECKED,00:33:52,,CHECKED,05:43:06,,CHECKED,09:44:07,,$13.1K / $14.1K
DASH_USDT,CHECKED,00:33:52,,CHECKED,05:43:06,,CHECKED,09:44:07,,$14.4K / $16.3K
DOT_USDT,CHECKED,00:33:52,,CHECKED,05:43:06,,CHECKED,09:44:07,,$9.6K / $10.9K
DOGE_USDT,CHECKED,00:33:52,,CHECKED,05:43:06,,CHECKED,09:44:07,,$14.1K / $18.2K
ETH_USDT,CHECKED,00:33:52,,CHECKED,05:43:06,A2:HIGH,CHECKED,09:44:07,,$35.6K / $56.1K
FARTCOIN_USDT,CHECKED,00:33:52,,CHECKED,05:43:06,,CHECKED,09:44:07,,$17.4K / $18.8K
FLOKI_USDT,CHECKED,00:33:52,,CHECKED,05:43:06,,CHECKED,09:44:07,,$5.9K / $8.7K
HYPE_USDT,CHECKED,00:33:52,A2:HIGH|A4:MEDIUM,CHECKED,05:43:06,A2:HIGH|A4:MEDIUM,WARNING,09:44:07,A2:HIGH|A4:MEDIUM,$433 / $646
LINK_USDT,CHECKED,00:33:52,,CHECKED,05:43:06,,CHECKED,09:44:07,,$17.9K / $24.4K
LSK_USDT,CHECKED,00:33:52,A4:MEDIUM,CHECKED,05:43:06,,CHECKED,09:44:07,,$6.2K / $7.7K
LTC_USDT,CHECKED,00:33:52,A2:HIGH,CHECKED,05:43:06,,CHECKED,09:44:07,,$42.5K / $42.5K
NEAR_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
NOS_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
PEPE_USDT,CHECKED,00:33:52,,CHECKED,05:43:06,,CHECKED,09:44:07,,$9.6K / $12.6K
POL_USDT,CHECKED,00:33:52,,WARNING,05:43:06,A3:CRITICAL|A2:HIGH|A2:HIGH,CHECKED,09:44:07,,$71.7K / $82.5K
RENDER_USDT,CHECKED,00:33:52,,CHECKED,05:43:06,,CHECKED,09:44:07,,$6.7K / $7.7K
Sonic_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SHIB_USDT,CHECKED,00:33:52,,CHECKED,05:43:06,,CHECKED,09:44:07,,$17.3K / $17.3K
SLP_USDT,CHECKED,00:33:52,A4:MEDIUM,CHECKED,05:43:06,,CHECKED,09:44:07,,$7.0K / $7.8K
SOL_USDT,CHECKED,00:33:52,,CHECKED,05:43:06,,WARNING,09:44:07,A2:HIGH,$24.3K / $24.3K
STRK_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SUI_USDT,CHECKED,00:33:52,A4:MEDIUM,CHECKED,05:43:06,A4:MEDIUM,CHECKED,09:44:07,A4:MEDIUM,$4.9K / $5.4K
TON_USDT,CHECKED,00:33:52,A4:MEDIUM,CHECKED,05:43:06,A4:MEDIUM,CHECKED,09:44:07,A4:MEDIUM,$2.3K / $3.6K
TRX_USDT,CHECKED,00:33:52,,CHECKED,05:43:06,,CHECKED,09:44:07,A2:HIGH,$254.8K / $254.8K
USDC_USDT,CHECKED,00:33:52,,CHECKED,05:43:06,A2:HIGH,CHECKED,09:44:07,,$1.27M / $1.76M
WIF_USDT,CHECKED,00:33:52,,WARNING,05:43:06,A2:HIGH|A4:MEDIUM,CHECKED,09:44:07,,$5.7K / $6.3K
XLM_USDT,CHECKED,00:33:52,,CHECKED,05:43:06,,CHECKED,09:44:07,,$70.2K / $70.2K
XRP_USDT,CHECKED,00:33:52,,CHECKED,05:43:06,,CHECKED,09:44:07,,$31.6K / $31.6K
XYO_USDT,CHECKED,00:33:52,A4:MEDIUM,CHECKED,05:43:06,A4:MEDIUM,CHECKED,09:44:07,A4:MEDIUM,$1.7K / $2.2K
ZKSync_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BTC_NGN,CHECKED,00:33:52,,CHECKED,05:43:06,,CHECKED,09:44:07,,$2132.26M / $2132.26M
USDT_NGN,CHECKED,00:33:52,A2:HIGH,CHECKED,05:43:06,A2:HIGH,CHECKED,09:44:07,A2:HIGH,$992.75M / $2270.88M
ETH_NGN,CHECKED,00:33:52,,CHECKED,05:43:06,,CHECKED,09:44:07,,$988.12M / $988.12M
TRX_NGN,CHECKED,00:33:52,,CHECKED,05:43:06,,CHECKED,09:44:07,,$473.72M / $473.72M
XRP_NGN,CHECKED,00:33:52,,CHECKED,05:43:06,,CHECKED,09:44:07,,$174.27M / $174.27M
DASH_NGN,CHECKED,00:33:52,,CHECKED,05:43:06,,CHECKED,09:44:07,,$31.98M / $31.98M
LTC_NGN,CHECKED,00:33:52,,CHECKED,05:43:06,,CHECKED,09:44:07,,$120.97M / $120.97M
SOL_NGN,CHECKED,00:33:52,,CHECKED,05:43:06,,CHECKED,09:44:07,,$196.94M / $196.94M
USDC_NGN,CHECKED,00:33:52,A2:HIGH,CHECKED,05:43:06,A2:HIGH,CHECKED,09:44:07,,$3240.12M / $3240.12M
USDT_GHS,CHECKED,00:33:52,,CHECKED,05:43:06,,CHECKED,09:44:07,,$2.30M / $3.02M
