Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),ISSUES (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),ISSUES (CHECK 8),DEPTH
AAVE_USDT,CHECKED,00:16:21,,CHECKED,01:18:43,,CHECKED,05:10:08,,CHECKED,08:48:49,,CHECKED,12:37:10,,CHECKED,16:20:28,,CHECKED,18:29:42,,CHECKED,19:56:32,,$12.3K / $12.3K
AxCNH_USDT,CHECKED,00:16:21,A4:MEDIUM,CHECKED,01:18:43,A4:MEDIUM,CHECKED,05:10:08,A4:MEDIUM,CHECKED,08:48:49,A4:MEDIUM,CHECKED,12:37:10,A4:MEDIUM,CHECKED,16:20:28,A4:MEDIUM,CHECKED,18:29:42,A4:MEDIUM,CHECKED,19:56:32,A4:MEDIUM,$270 / $297
ADA_USDT,CHECKED,00:16:21,,CHECKED,01:18:43,,CHECKED,05:10:08,,CHECKED,08:48:49,,CHECKED,12:37:10,,CHECKED,16:20:28,,CHECKED,18:29:42,,CHECKED,19:56:32,,$26.3K / $33.3K
ALGO_USDT,CHECKED,00:16:21,,CHECKED,01:18:43,,CHECKED,05:10:08,,CHECKED,08:48:49,,CHECKED,12:37:10,,CHECKED,16:20:28,,CHECKED,18:29:42,,CHECKED,19:56:32,,$37.3K / $39.1K
BCH_USDT,CHECKED,00:16:21,,CHECKED,01:18:43,A4:MEDIUM,CHECKED,05:10:08,,WARNING,08:48:49,A2:HIGH,CHECKED,12:37:10,,CHECKED,16:20:28,A4:MEDIUM,CHECKED,18:29:42,A4:MEDIUM,CHECKED,19:56:32,,$11.7K / $14.8K
BNB_USDT,CHECKED,00:16:21,,CHECKED,01:18:43,,CHECKED,05:10:08,,CHECKED,08:48:49,,CHECKED,12:37:10,,CHECKED,16:20:28,,CHECKED,18:29:42,,CHECKED,19:56:32,,$40.1K / $40.1K
BONK_USDT,CHECKED,00:16:21,A4:MEDIUM,CHECKED,01:18:43,A4:MEDIUM,CHECKED,05:10:08,A4:MEDIUM,CHECKED,08:48:49,A4:MEDIUM,CHECKED,12:37:10,,CHECKED,16:20:28,A4:MEDIUM,CHECKED,18:29:42,A4:MEDIUM,CHECKED,19:56:32,,$5.5K / $5.8K
BTC_USDT,CHECKED,00:16:21,,CHECKED,01:18:43,,CHECKED,05:10:08,,CHECKED,08:48:49,,CHECKED,12:37:10,,CHECKED,16:20:28,,CHECKED,18:29:42,,CHECKED,19:56:32,A2:HIGH,$68.2K / $68.2K
CAKE_USDT,CHECKED,00:16:21,,CHECKED,01:18:43,,WARNING,05:10:08,A2:HIGH,CHECKED,08:48:49,,CHECKED,12:37:10,,CHECKED,16:20:28,,CHECKED,18:29:42,,CHECKED,19:56:32,,$25.3K / $32.7K
CFX_USDT,CHECKED,00:16:21,,CHECKED,01:18:43,,CHECKED,05:10:08,,CHECKED,08:48:49,,CHECKED,12:37:10,,CHECKED,16:20:28,,CHECKED,18:29:42,,CHECKED,19:56:32,,$22.2K / $23.8K
DASH_USDT,CHECKED,00:16:21,,CHECKED,01:18:43,,CHECKED,05:10:08,,WARNING,08:48:49,A2:HIGH,CHECKED,12:37:10,,SKIPPED,,,CHECKED,18:29:42,,CHECKED,19:56:32,,$11.0K / $15.4K
DOT_USDT,CHECKED,00:16:21,,CHECKED,01:18:43,,CHECKED,05:10:08,,SKIPPED,,,CHECKED,12:37:10,,CHECKED,16:20:28,,CHECKED,18:29:42,,CHECKED,19:56:32,,$8.5K / $8.5K
DOGE_USDT,CHECKED,00:16:21,,CHECKED,01:18:43,,CHECKED,05:10:08,,CHECKED,08:48:49,,CHECKED,12:37:10,,CHECKED,16:20:28,,CHECKED,18:29:42,,CHECKED,19:56:32,,$8.8K / $12.1K
ETH_USDT,CHECKED,00:16:21,A2:HIGH,CHECKED,01:18:43,,CHECKED,05:10:08,,CHECKED,08:48:49,,CHECKED,12:37:10,,CHECKED,16:20:28,,CHECKED,18:29:42,,CHECKED,19:56:32,,$184.1K / $244.6K
FARTCOIN_USDT,CHECKED,00:16:21,,CHECKED,01:18:43,,CHECKED,05:10:08,,CHECKED,08:48:49,,CHECKED,12:37:10,,CHECKED,16:20:28,,CHECKED,18:29:42,,CHECKED,19:56:32,,$7.4K / $9.6K
FLOKI_USDT,CHECKED,00:16:21,,CHECKED,01:18:43,,CHECKED,05:10:08,,CHECKED,08:48:49,,CHECKED,12:37:10,,CHECKED,16:20:28,,CHECKED,18:29:42,,CHECKED,19:56:32,,$8.4K / $10.9K
HYPE_USDT,CHECKED,00:16:21,A2:HIGH|A4:MEDIUM,WARNING,01:18:43,A2:HIGH|A4:MEDIUM,WARNING,05:10:08,A2:HIGH|A4:MEDIUM,CHECKED,08:48:49,A2:HIGH|A4:MEDIUM,WARNING,12:37:10,A2:HIGH|A4:MEDIUM,CHECKED,16:20:28,A2:HIGH|A4:MEDIUM,WARNING,18:29:42,A2:HIGH|A4:MEDIUM,CHECKED,19:56:32,A2:HIGH|A4:MEDIUM,$1.2K / $1.5K
LINK_USDT,CHECKED,00:16:21,,CHECKED,01:18:43,,CHECKED,05:10:08,,CHECKED,08:48:49,,CHECKED,12:37:10,,CHECKED,16:20:28,,CHECKED,18:29:42,,CHECKED,19:56:32,,$43.0K / $47.7K
LSK_USDT,CHECKED,00:16:21,,CHECKED,01:18:43,,CHECKED,05:10:08,,CHECKED,08:48:49,,CHECKED,12:37:10,,CHECKED,16:20:28,,CHECKED,18:29:42,,CHECKED,19:56:32,,$5.8K / $8.0K
LTC_USDT,CHECKED,00:16:21,,CHECKED,01:18:43,,CHECKED,05:10:08,,CHECKED,08:48:49,,CHECKED,12:37:10,,CHECKED,16:20:28,,CHECKED,18:29:42,,CHECKED,19:56:32,,$85.6K / $85.6K
NEAR_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
NOS_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
PEPE_USDT,CHECKED,00:16:21,,CHECKED,01:18:43,,CHECKED,05:10:08,,CHECKED,08:48:49,,WARNING,12:37:10,A3:CRITICAL|A2:HIGH,CHECKED,16:20:28,,CHECKED,18:29:42,,CHECKED,19:56:32,,$15.9K / $20.8K
