Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),DEPTH
AAVE_USDT,CHECKED,00:20:32,,CHECKED,01:21:34,,CHECKED,05:04:19,,CHECKED,08:07:48,,CHECKED,10:30:15,,$7.4K / $7.4K
AxCNH_USDT,CHECKED,00:20:32,A4:MEDIUM,CHECKED,01:21:34,A4:MEDIUM,CHECKED,05:04:19,A4:MEDIUM,CHECKED,08:07:48,A4:MEDIUM,CHECKED,10:30:15,A4:MEDIUM,$232 / $252
ADA_USDT,CHECKED,00:20:32,,CHECKED,01:21:34,,CHECKED,05:04:19,,CHECKED,08:07:48,,CHECKED,10:30:15,,$39.1K / $50.2K
ALGO_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BCH_USDT,CHECKED,00:20:32,,CHECKED,01:21:34,,CHECKED,05:04:19,,CHECKED,08:07:48,,CHECKED,10:30:15,A4:MEDIUM,$4.8K / $6.6K
BNB_USDT,CHECKED,00:20:32,,CHECKED,01:21:34,,CHECKED,05:04:19,,CHECKED,08:07:48,,CHECKED,10:30:15,,$76.7K / $76.7K
BONK_USDT,CHECKED,00:20:32,A4:MEDIUM,CHECKED,01:21:34,A4:MEDIUM,CHECKED,05:04:19,A4:MEDIUM,CHECKED,08:07:48,A4:MEDIUM,CHECKED,10:30:15,A4:MEDIUM,$4.9K / $5.3K
BTC_USDT,CHECKED,00:20:32,,CHECKED,01:21:34,,CHECKED,05:04:19,,CHECKED,08:07:48,,CHECKED,10:30:15,,$1.20M / $1.20M
CAKE_USDT,CHECKED,00:20:32,,CHECKED,01:21:34,,CHECKED,05:04:19,,CHECKED,08:07:48,,CHECKED,10:30:15,,$23.9K / $31.7K
CFX_USDT,CHECKED,00:20:32,,CHECKED,01:21:34,,CHECKED,05:04:19,,CHECKED,08:07:48,,CHECKED,10:30:15,,$16.6K / $18.4K
DASH_USDT,CHECKED,00:20:32,,CHECKED,01:21:34,,CHECKED,05:04:19,,CHECKED,08:07:48,,CHECKED,10:30:15,,$18.5K / $19.8K
DOT_USDT,CHECKED,00:20:32,,CHECKED,01:21:34,,CHECKED,05:04:19,,CHECKED,08:07:48,,CHECKED,10:30:15,,$6.6K / $9.5K
DOGE_USDT,CHECKED,00:20:32,,CHECKED,01:21:34,,CHECKED,05:04:19,,CHECKED,08:07:48,,CHECKED,10:30:15,,$16.9K / $20.9K
ETH_USDT,CHECKED,00:20:32,,CHECKED,01:21:34,,CHECKED,05:04:19,,CHECKED,08:07:48,,CHECKED,10:30:15,,$124.7K / $124.7K
FARTCOIN_USDT,CHECKED,00:20:32,,CHECKED,01:21:34,,CHECKED,05:04:19,,CHECKED,08:07:48,,CHECKED,10:30:15,,$16.3K / $17.3K
FLOKI_USDT,CHECKED,00:20:32,,CHECKED,01:21:34,,CHECKED,05:04:19,,CHECKED,08:07:48,,CHECKED,10:30:15,,$13.5K / $15.9K
HYPE_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
LINK_USDT,CHECKED,00:20:32,,CHECKED,01:21:34,,CHECKED,05:04:19,,CHECKED,08:07:48,,CHECKED,10:30:15,,$45.8K / $48.0K
LSK_USDT,CHECKED,00:20:32,,CHECKED,01:21:34,,CHECKED,05:04:19,,CHECKED,08:07:48,,CHECKED,10:30:15,,$7.9K / $10.5K
LTC_USDT,CHECKED,00:20:32,,CHECKED,01:21:34,,CHECKED,05:04:19,,CHECKED,08:07:48,,CHECKED,10:30:15,,$50.9K / $50.9K
NEAR_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
NOS_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
PEPE_USDT,CHECKED,00:20:32,,CHECKED,01:21:34,,CHECKED,05:04:19,,CHECKED,08:07:48,,CHECKED,10:30:15,,$19.5K / $26.1K
POL_USDT,CHECKED,00:20:32,,CHECKED,01:21:34,,CHECKED,05:04:19,,CHECKED,08:07:48,,CHECKED,10:30:15,,$108.6K / $138.2K
RENDER_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
Sonic_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SHIB_USDT,CHECKED,00:20:32,,CHECKED,01:21:34,,CHECKED,05:04:19,,CHECKED,08:07:48,,CHECKED,10:30:15,,$26.7K / $26.7K
SLP_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SOL_USDT,CHECKED,00:20:32,,CHECKED,01:21:34,,CHECKED,05:04:19,,CHECKED,08:07:48,,CHECKED,10:30:15,,$10.1K / $15.9K
STRK_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SUI_USDT,CHECKED,00:20:32,A4:MEDIUM,CHECKED,01:21:34,A4:MEDIUM,CHECKED,05:04:19,A4:MEDIUM,CHECKED,08:07:48,,CHECKED,10:30:15,,$5.7K / $6.5K
TON_USDT,CHECKED,00:20:32,A4:MEDIUM,CHECKED,01:21:34,A4:MEDIUM,CHECKED,05:04:19,,CHECKED,08:07:48,A4:MEDIUM,CHECKED,10:30:15,,$5.8K / $6.9K
TRX_USDT,CHECKED,00:20:32,,CHECKED,01:21:34,,CHECKED,05:04:19,,CHECKED,08:07:48,,CHECKED,10:30:15,,$675.9K / $675.9K
USDC_USDT,CHECKED,00:20:32,,CHECKED,01:21:34,,CHECKED,05:04:19,,CHECKED,08:07:48,,CHECKED,10:30:15,,$659.6K / $659.6K
WIF_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
XLM_USDT,CHECKED,00:20:32,,CHECKED,01:21:34,,CHECKED,05:04:19,,CHECKED,08:07:48,,CHECKED,10:30:15,,$112.7K / $112.7K
XRP_USDT,CHECKED,00:20:32,,CHECKED,01:21:34,,CHECKED,05:04:19,,CHECKED,08:07:48,,CHECKED,10:30:15,,$83.6K / $83.6K
XYO_USDT,CHECKED,00:20:32,A4:MEDIUM,CHECKED,01:21:34,A4:MEDIUM,CHECKED,05:04:19,A4:MEDIUM,CHECKED,08:07:48,A4:MEDIUM,CHECKED,10:30:15,A4:MEDIUM,$1.5K / $2.0K
ZKSync_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BTC_NGN,CHECKED,00:20:32,,CHECKED,01:21:34,,CHECKED,05:04:19,,CHECKED,08:07:48,,CHECKED,10:30:15,,$1649.35M / $1649.35M
USDT_NGN,CHECKED,00:20:32,A2:HIGH,CHECKED,01:21:34,A2:HIGH,CHECKED,05:04:19,A2:HIGH,CHECKED,08:07:48,A2:HIGH,CHECKED,10:30:15,A2:HIGH,$5247.82M / $5751.08M
ETH_NGN,CHECKED,00:20:32,,CHECKED,01:21:34,,CHECKED,05:04:19,,CHECKED,08:07:48,,CHECKED,10:30:15,,$1341.07M / $1341.07M
TRX_NGN,CHECKED,00:20:32,,CHECKED,01:21:34,,CHECKED,05:04:19,,CHECKED,08:07:48,,CHECKED,10:30:15,,$928.15M / $928.15M
XRP_NGN,CHECKED,00:20:32,,CHECKED,01:21:34,,CHECKED,05:04:19,,CHECKED,08:07:48,,CHECKED,10:30:15,,$184.21M / $184.21M
DASH_NGN,CHECKED,00:20:32,,CHECKED,01:21:34,,CHECKED,05:04:19,,CHECKED,08:07:48,,CHECKED,10:30:15,,$43.25M / $43.25M
LTC_NGN,CHECKED,00:20:32,,CHECKED,01:21:34,,CHECKED,05:04:19,,CHECKED,08:07:48,,CHECKED,10:30:15,,$225.62M / $225.62M
SOL_NGN,CHECKED,00:20:32,,CHECKED,01:21:34,,CHECKED,05:04:19,,CHECKED,08:07:48,,CHECKED,10:30:15,,$127.35M / $127.35M
USDC_NGN,CHECKED,00:20:32,A2:HIGH,CHECKED,01:21:34,A2:HIGH,CHECKED,05:04:19,,CHECKED,08:07:48,,CHECKED,10:30:15,,$4020.46M / $4020.46M
USDT_GHS,CHECKED,00:20:32,,CHECKED,01:21:34,,CHECKED,05:04:19,,CHECKED,08:07:48,,CHECKED,10:30:15,,$5.17M / $6.09M
