Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),DEPTH
AAVE_USDT,CHECKED,00:17:17,,CHECKED,02:39:23,,CHECKED,08:57:35,,CHECKED,14:44:52,,CHECKED,19:24:20,,CHECKED,22:34:40,,$11.7K / $11.7K
AxCNH_USDT,SKIPPED,,,CHECKED,02:39:23,A4:MEDIUM,CHECKED,08:57:35,A4:MEDIUM,CHECKED,14:44:52,A4:MEDIUM,CHECKED,19:24:20,A4:MEDIUM,CHECKED,22:34:40,A4:MEDIUM,$252 / $291
ADA_USDT,CHECKED,00:17:17,,CHECKED,02:39:23,,CHECKED,08:57:35,,SKIPPED,,,CHECKED,19:24:20,,CHECKED,22:34:40,,$23.9K / $30.1K
ALGO_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BCH_USDT,CHECKED,00:17:17,A4:MEDIUM,CHECKED,02:39:23,,CHECKED,08:57:35,,CHECKED,14:44:52,,CHECKED,19:24:20,,CHECKED,22:34:40,,$7.9K / $9.9K
BNB_USDT,CHECKED,00:17:17,,CHECKED,02:39:23,,CHECKED,08:57:35,,CHECKED,14:44:52,,CHECKED,19:24:20,,CHECKED,22:34:40,,$47.8K / $47.8K
BONK_USDT,CHECKED,00:17:17,A4:MEDIUM,CHECKED,02:39:23,A4:MEDIUM,CHECKED,08:57:35,A4:MEDIUM,CHECKED,14:44:52,A4:MEDIUM,SKIPPED,,,CHECKED,22:34:40,A4:MEDIUM,$4.3K / $4.7K
BTC_USDT,CHECKED,00:17:17,A2:HIGH,CHECKED,02:39:23,,CHECKED,08:57:35,,CHECKED,14:44:52,,CHECKED,19:24:20,,CHECKED,22:34:40,,$2.01M / $2.98M
CAKE_USDT,CHECKED,00:17:17,,CHECKED,02:39:23,,CHECKED,08:57:35,,CHECKED,14:44:52,,CHECKED,19:24:20,,CHECKED,22:34:40,,$58.4K / $75.2K
CFX_USDT,CHECKED,00:17:17,,CHECKED,02:39:23,,CHECKED,08:57:35,,CHECKED,14:44:52,,CHECKED,19:24:20,,CHECKED,22:34:40,,$21.2K / $23.1K
DASH_USDT,CHECKED,00:17:17,,CHECKED,02:39:23,,CHECKED,08:57:35,,CHECKED,14:44:52,,CHECKED,19:24:20,,CHECKED,22:34:40,,$41.3K / $45.7K
DOT_USDT,CHECKED,00:17:17,,CHECKED,02:39:23,A2:HIGH,CHECKED,08:57:35,,CHECKED,14:44:52,,CHECKED,19:24:20,,CHECKED,22:34:40,,$15.1K / $15.1K
DOGE_USDT,WARNING,00:17:17,A2:HIGH,CHECKED,02:39:23,,CHECKED,08:57:35,,CHECKED,14:44:52,,CHECKED,19:24:20,,CHECKED,22:34:40,,$11.3K / $15.4K
ETH_USDT,CHECKED,00:17:17,,CHECKED,02:39:23,,CHECKED,08:57:35,,CHECKED,14:44:52,,CHECKED,19:24:20,,CHECKED,22:34:40,,$296.7K / $380.0K
FARTCOIN_USDT,CHECKED,00:17:17,,CHECKED,02:39:23,,CHECKED,08:57:35,,CHECKED,14:44:52,,CHECKED,19:24:20,,CHECKED,22:34:40,,$13.2K / $15.1K
FLOKI_USDT,CHECKED,00:17:17,,CHECKED,02:39:23,,CHECKED,08:57:35,,CHECKED,14:44:52,,CHECKED,19:24:20,,CHECKED,22:34:40,,$15.9K / $18.3K
HYPE_USDT,WARNING,00:17:17,A2:HIGH,WARNING,02:39:23,A2:HIGH,CHECKED,08:57:35,A2:HIGH,WARNING,14:44:52,A2:HIGH,CHECKED,19:24:20,A2:HIGH|A4:MEDIUM,CHECKED,22:34:40,A2:HIGH,$26.1K / $35.6K
LINK_USDT,CHECKED,00:17:17,,CHECKED,02:39:23,,CHECKED,08:57:35,A2:HIGH|A4:MEDIUM,CHECKED,14:44:52,,CHECKED,19:24:20,,CHECKED,22:34:40,,$50.2K / $50.2K
LSK_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
LTC_USDT,CHECKED,00:17:17,,CHECKED,02:39:23,,CHECKED,08:57:35,,CHECKED,14:44:52,,WARNING,19:24:20,A3:CRITICAL|A2:HIGH,CHECKED,22:34:40,,$61.4K / $61.4K
NEAR_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
NOS_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
PEPE_USDT,CHECKED,00:17:17,,CHECKED,02:39:23,,CHECKED,08:57:35,,CHECKED,14:44:52,,CHECKED,19:24:20,,CHECKED,22:34:40,,$26.0K / $34.7K
POL_USDT,CHECKED,00:17:17,,CHECKED,02:39:23,,CHECKED,08:57:35,,CHECKED,14:44:52,,CHECKED,19:24:20,,CHECKED,22:34:40,,$112.6K / $122.3K
RENDER_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
Sonic_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SHIB_USDT,CHECKED,00:17:17,,CHECKED,02:39:23,,CHECKED,08:57:35,,CHECKED,14:44:52,,CHECKED,19:24:20,,CHECKED,22:34:40,,$29.7K / $29.7K
SLP_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SOL_USDT,CHECKED,00:17:17,,CHECKED,02:39:23,,CHECKED,08:57:35,,CHECKED,14:44:52,,CHECKED,19:24:20,,CHECKED,22:34:40,,$75.2K / $107.5K
STRK_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
SUI_USDT,CHECKED,00:17:17,A4:MEDIUM,CHECKED,02:39:23,A4:MEDIUM,CHECKED,08:57:35,A4:MEDIUM,CHECKED,14:44:52,A4:MEDIUM,CHECKED,19:24:20,A4:MEDIUM,CHECKED,22:34:40,A4:MEDIUM,$2.4K / $2.9K
TON_USDT,CHECKED,00:17:17,,CHECKED,02:39:23,A4:MEDIUM,CHECKED,08:57:35,A4:MEDIUM,CHECKED,14:44:52,A4:MEDIUM,SKIPPED,,,CHECKED,22:34:40,,$5.5K / $6.7K
TRX_USDT,CHECKED,00:17:17,,CHECKED,02:39:23,,CHECKED,08:57:35,,CHECKED,14:44:52,,CHECKED,19:24:20,,CHECKED,22:34:40,,$700.1K / $700.1K
USDC_USDT,CHECKED,00:17:17,,CHECKED,02:39:23,,CHECKED,08:57:35,,CHECKED,14:44:52,,CHECKED,19:24:20,,CHECKED,22:34:40,,$808.0K / $808.0K
WIF_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
XLM_USDT,CHECKED,00:17:17,,CHECKED,02:39:23,,CHECKED,08:57:35,,CHECKED,14:44:52,,CHECKED,19:24:20,,CHECKED,22:34:40,A2:HIGH|A4:MEDIUM,$4.4K / $5.9K
XRP_USDT,CHECKED,00:17:17,,CHECKED,02:39:23,A2:HIGH,CHECKED,08:57:35,,CHECKED,14:44:52,,CHECKED,19:24:20,,CHECKED,22:34:40,,$99.0K / $99.0K
XYO_USDT,CHECKED,00:17:17,A4:MEDIUM,CHECKED,02:39:23,A4:MEDIUM,CHECKED,08:57:35,A4:MEDIUM,CHECKED,14:44:52,A2:HIGH|A4:MEDIUM,CHECKED,19:24:20,A4:MEDIUM,CHECKED,22:34:40,A4:MEDIUM,$1.5K / $2.0K
ZKSync_USDT,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,SKIPPED,,,
BTC_NGN,CHECKED,00:17:17,,CHECKED,02:39:23,,CHECKED,08:57:35,,CHECKED,14:44:52,,CHECKED,19:24:20,,CHECKED,22:34:40,,$2696.60M / $2696.60M
USDT_NGN,CHECKED,00:17:17,A2:HIGH,CHECKED,02:39:23,A2:HIGH,CHECKED,08:57:35,A2:HIGH,CHECKED,14:44:52,A2:HIGH,CHECKED,19:24:20,A2:HIGH,CHECKED,22:34:40,A2:HIGH,$601.74M / $601.74M
ETH_NGN,CHECKED,00:17:17,,CHECKED,02:39:23,,CHECKED,08:57:35,,CHECKED,14:44:52,,CHECKED,19:24:20,A2:HIGH,CHECKED,22:34:40,,$1319.25M / $1319.25M
TRX_NGN,CHECKED,00:17:17,,CHECKED,02:39:23,,CHECKED,08:57:35,,CHECKED,14:44:52,,CHECKED,19:24:20,,CHECKED,22:34:40,,$408.78M / $408.78M
XRP_NGN,CHECKED,00:17:17,,CHECKED,02:39:23,,CHECKED,08:57:35,,CHECKED,14:44:52,,CHECKED,19:24:20,,CHECKED,22:34:40,,$159.56M / $159.56M
DASH_NGN,CHECKED,00:17:17,,CHECKED,02:39:23,,CHECKED,08:57:35,A2:HIGH,CHECKED,14:44:52,,CHECKED,19:24:20,,CHECKED,22:34:40,,$37.29M / $43.61M
LTC_NGN,CHECKED,00:17:17,,CHECKED,02:39:23,,CHECKED,08:57:35,,CHECKED,14:44:52,,CHECKED,19:24:20,,CHECKED,22:34:40,,$137.37M / $137.37M
SOL_NGN,CHECKED,00:17:17,,CHECKED,02:39:23,,CHECKED,08:57:35,,CHECKED,14:44:52,,CHECKED,19:24:20,,CHECKED,22:34:40,,$280.45M / $280.45M
USDC_NGN,CHECKED,00:17:17,,CHECKED,02:39:23,A2:HIGH,CHECKED,08:57:35,A2:HIGH,CHECKED,14:44:52,,SKIPPED,,,CHECKED,22:34:40,A2:HIGH,$3348.03M / $3348.03M
