Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),ISSUES (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),ISSUES (CHECK 8),DEPTH
AAVE_USDT,CHECKED,02:47:46,,CHECKED,08:17:46,,CHECKED,11:56:00,,WARNING,14:26:07,A3:CRITICAL|A2:HIGH,CHECKED,16:25:20,,CHECKED,18:04:16,,SKIPPED,,,SKIPPED,,,$11.9K / $15.4K
AxCNH_USDT,CHECKED,02:47:46,A4:MEDIUM,CHECKED,08:17:46,A4:MEDIUM,SKIPPED,,,CHECKED,14:26:07,A4:MEDIUM,CHECKED,16:25:20,A4:MEDIUM,SKIPPED,,,CHECKED,20:01:34,A4:MEDIUM,CHECKED,21:56:11,A4:MEDIUM,$200 / $217
ADA_USDT,SKIPPED,,,CHECKED,08:17:46,,SKIPPED,,,CHECKED,14:26:07,,CHECKED,16:25:20,,SKIPPED,,,CHECKED,20:01:34,,CHECKED,21:56:11,,$74.9K / $109.3K
ALGO_USDT,CHECKED,02:47:46,,SKIPPED,,,CHECKED,11:56:00,,CHECKED,14:26:07,,CHECKED,16:25:20,,CHECKED,18:04:16,,CHECKED,20:01:34,,CHECKED,21:56:11,,$47.6K / $52.1K
BCH_USDT,CHECKED,02:47:46,,CHECKED,08:17:46,,CHECKED,11:56:00,,CHECKED,14:26:07,,SKIPPED,,,SKIPPED,,,CHECKED,20:01:34,,SKIPPED,,,$35.2K / $48.0K
BNB_USDT,CHECKED,02:47:46,,CHECKED,08:17:46,,CHECKED,11:56:00,,CHECKED,14:26:07,,CHECKED,16:25:20,,SKIPPED,,,SKIPPED,,,SKIPPED,,,$33.5K / $33.5K
BONK_USDT,CHECKED,02:47:46,,CHECKED,08:17:46,,WARNING,11:56:00,A2:HIGH|A4:MEDIUM,SKIPPED,,,SKIPPED,,,CHECKED,18:04:16,,SKIPPED,,,CHECKED,21:56:11,,$7.2K / $7.8K
BTC_USDT,CHECKED,02:47:46,A2:HIGH,CHECKED,08:17:46,A2:HIGH,SKIPPED,,,CHECKED,14:26:07,,CHECKED,16:25:20,,CHECKED,18:04:16,,CHECKED,20:01:34,,CHECKED,21:56:11,,$576.3K / $839.9K
CAKE_USDT,SKIPPED,,,CHECKED,08:17:46,,CHECKED,11:56:00,,SKIPPED,,,CHECKED,16:25:20,,CHECKED,18:04:16,,CHECKED,20:01:34,,SKIPPED,,,$16.6K / $25.7K
CFX_USDT,CHECKED,02:47:46,,CHECKED,08:17:46,,CHECKED,11:56:00,,CHECKED,14:26:07,,SKIPPED,,,CHECKED,18:04:16,,CHECKED,20:01:34,,CHECKED,21:56:11,,$20.3K / $22.7K
DASH_USDT,SKIPPED,,,CHECKED,08:17:46,,CHECKED,11:56:00,,CHECKED,14:26:07,,CHECKED,16:25:20,,SKIPPED,,,CHECKED,20:01:34,,CHECKED,21:56:11,,$15.1K / $19.4K
